bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B2;CD202;NIRRIG;24/02;39.216666666666676;39.76851791386113;-0.5518512471944561
B3;CD202;NIRRIG;24/02;39.519999999999996;37.575404137261636;1.9445958627383604
B4;CD202;NIRRIG;24/02;38.516666666666666;38.73090273619726;-0.2142360695305925
B1;BR16;IRRIG;26/02;42.699999999999996;40.81749602384276;1.8825039761572384
B2;BR16;IRRIG;26/02;38.92;40.63286292773645;-1.7128629277364453
B3;BR16;IRRIG;26/02;45.699999999999996;40.97961794211872;4.720382057881274
B4;BR16;IRRIG;26/02;42.88333333333333;40.14198551107758;2.7413478222557544
B1;BR16;NIRRIG;26/02;44.36;40.759344936658984;3.6006550633410157
B2;BR16;NIRRIG;26/02;42.0;40.98309083881009;1.0169091611899077
B3;BR16;NIRRIG;26/02;39.26666666666667;39.61171517952672;-0.34504851286004623
B4;BR16;NIRRIG;26/02;41.519999999999996;39.45018961055183;2.0698103894481648
B1;EMB48;IRRIG;26/02;40.43333333333334;40.65095309543642;-0.21761976210308376
B2;EMB48;IRRIG;26/02;36.11666666666667;38.85338711444793;-2.7367204477812663
B3;EMB48;IRRIG;26/02;37.333333333333336;37.8658906624244;-0.5325573290910626
B4;EMB48;IRRIG;26/02;38.1;36.14330499582667;1.9566950041733335
B1;EMB48;NIRRIG;26/02;39.833333333333336;37.238952935419896;2.59438039791344
B2;EMB48;NIRRIG;26/02;40.36666666666667;39.2168234861674;1.1498431804992677
B3;EMB48;NIRRIG;26/02;37.733333333333334;37.040062102546656;0.693271230786678
B4;EMB48;NIRRIG;26/02;38.083333333333336;37.688936458376205;0.39439687495713116
B1;CD202;IRRIG;26/02;38.916666666666664;38.40114072366733;0.5155259429993322
B2;CD202;IRRIG;26/02;38.86666666666667;38.919723345043074;-0.05305667837640726
B3;CD202;IRRIG;26/02;36.800000000000004;37.288482514572834;-0.48848251457283
B4;CD202;IRRIG;26/02;38.36666666666667;40.39480420872991;-2.0281375420632415
B1;CD202;NIRRIG;26/02;38.0;38.83423838767999;-0.8342383876799886
B2;CD202;NIRRIG;26/02;37.5;40.17352893868563;-2.673528938685628
B3;CD202;NIRRIG;26/02;38.239999999999995;37.83013236260097;0.40986763739902443
B4;CD202;NIRRIG;26/02;38.879999999999995;38.7237324128667;0.1562675871332928
B1;BR16;IRRIG;27/02;43.083333333333336;42.76781648618228;0.3155168471510592
B2;BR16;IRRIG;27/02;40.949999999999996;41.142600457701946;-0.19260045770194978
B3;BR16;IRRIG;27/02;44.6;40.374874920271424;4.225125079728578
B4;BR16;IRRIG;27/02;43.98;40.247216349262175;3.7327836507378223
B1;BR16;NIRRIG;27/02;43.81666666666667;41.36142424862976;2.45524241803691
B2;BR16;NIRRIG;27/02;42.84;42.023316710536164;0.816683289463839
B3;BR16;NIRRIG;27/02;40.78333333333334;39.87441676100664;0.9089165723266959
B4;BR16;NIRRIG;27/02;42.06666666666666;41.43506697457265;0.6315996920940137
B1;EMB48;IRRIG;27/02;40.92;40.0811154961728;0.8388845038272024
B2;EMB48;IRRIG;27/02;37.68333333333333;38.450208919485284;-0.7668755861519543
B3;EMB48;IRRIG;27/02;38.85;38.710636558526865;0.13936344147313662
B4;EMB48;IRRIG;27/02;39.839999999999996;37.55438820209901;2.285611797900984
B1;EMB48;NIRRIG;27/02;40.01666666666667;37.878594852967936;2.138071813698737
B2;EMB48;NIRRIG;27/02;40.7;40.332862671736265;0.3671373282637376
B3;EMB48;NIRRIG;27/02;38.483333333333334;39.067959344189106;-0.5846260108557715
B4;EMB48;NIRRIG;27/02;39.583333333333336;38.036105394729894;1.5472279386034415
B1;CD202;IRRIG;27/02;38.68333333333333;40.0775724149337;-1.394239081600368
B2;CD202;IRRIG;27/02;40.86666666666667;38.50947114940188;2.3571955172647847
B3;CD202;IRRIG;27/02;36.800000000000004;38.047349081421295;-1.2473490814212909
B4;CD202;IRRIG;27/02;38.61666666666666;41.04258705824075;-2.4259203915740883
B1;CD202;NIRRIG;27/02;37.61666666666667;40.23898556051599;-2.622318893849325
B2;CD202;NIRRIG;27/02;38.46666666666667;40.75673492801145;-2.2900682613447785
B3;CD202;NIRRIG;27/02;38.5;40.25968562803292;-1.7596856280329192
B4;CD202;NIRRIG;27/02;39.18333333333333;40.83131506371778;-1.6479817303844513
B1;BR16;IRRIG;02/03;42.800000000000004;44.18457541618854;-1.3845754161885324
B2;BR16;IRRIG;02/03;38.166666666666664;41.14662452622861;-2.9799578595619423
B3;BR16;IRRIG;02/03;43.400000000000006;41.44437582585924;1.955624174140766
B4;BR16;IRRIG;02/03;41.7;41.15280807790283;0.5471919220971699
B1;BR16;NIRRIG;02/03;44.550000000000004;42.903165031912216;1.6468349680877878
B2;BR16;NIRRIG;02/03;45.21666666666667;44.632239939629734;0.5844267270369343
B3;BR16;NIRRIG;02/03;44.599999999999994;44.49610180714127;0.10389819285872193
B4;BR16;NIRRIG;02/03;46.76666666666667;43.45507064462455;3.3115960220421243
B1;EMB48;IRRIG;02/03;40.11666666666667;41.17229213520077;-1.055625468534103
B2;EMB48;IRRIG;02/03;39.96;41.544738365413295;-1.584738365413294
B3;EMB48;IRRIG;02/03;38.99999999999999;41.69670077004827;-2.696700770048274
B4;EMB48;IRRIG;02/03;37.03333333333333;41.35905581262139;-4.325722479288061
B1;EMB48;NIRRIG;02/03;39.72;40.18004368997856;-0.46004368997856204
B2;EMB48;NIRRIG;02/03;41.53333333333333;40.254815747512275;1.2785175858210565
B3;EMB48;NIRRIG;02/03;39.699999999999996;41.18225686121411;-1.4822568612141112
B4;EMB48;NIRRIG;02/03;41.55;40.57616724703051;0.9738327529694857
B1;CD202;IRRIG;02/03;39.03333333333333;44.13434011903671;-5.101006785703376
B2;CD202;IRRIG;02/03;37.54;40.239150485265625;-2.6991504852656263
B3;CD202;IRRIG;02/03;39.96666666666667;40.51187920215669;-0.5452125354900232
B4;CD202;IRRIG;02/03;40.71666666666667;41.81471882411438;-1.098052157447711
B1;CD202;NIRRIG;02/03;39.36666666666667;40.14668070432787;-0.7800140376612035
B2;CD202;NIRRIG;02/03;36.65;41.00121964208475;-4.35121964208475
