number;value;params_componentes_finais;params_componentes_pre;params_janela_nm;params_limiar_spearman;params_limiar_vip;state
51;0.5820515949044146;3;8;12;0.7522073037530946;0.7557036109131178;COMPLETE
52;0.5710851649275117;3;8;10;0.7224183397609619;0.703518006939716;COMPLETE
53;0.3524631541242603;2;8;12;0.7558292173068593;0.5184180592338632;COMPLETE
54;0.5699020422670148;3;7;15;0.7766201979240412;0.635040699268361;COMPLETE
55;0.5580602566882853;4;8;18;0.6797056652217006;0.5868376644227463;COMPLETE
56;0.0503231812052064;8;7;6;0.7077768150237187;0.7767356706280641;COMPLETE
57;0.5819296320900612;3;8;9;0.6944168930771996;0.7357668831088319;COMPLETE
58;0.22278682497814462;2;3;21;0.6408133656738988;1.4898419513423904;COMPLETE
59;0.476794651029566;3;7;13;0.7261919386410698;0.8616127450343084;COMPLETE
60;0.1887371164772631;1;8;18;0.6224349000938;0.6786819321976688;COMPLETE
61;0.5827564789148572;3;8;9;0.6962254716115092;0.7494610885458431;COMPLETE
62;0.525181148829712;4;8;9;0.746502184756738;0.806561679759517;COMPLETE
63;0.2666309523046869;3;8;11;0.685189753318981;0.9321418977522812;COMPLETE
64;0.5873337130705311;3;4;16;0.7109797359402715;0.529892005128805;COMPLETE
65;0.5665956811260624;4;4;14;0.6720853193375463;0.525110261334467;COMPLETE
66;0.4689027554376417;2;4;16;0.7064400686264379;0.5919776277827465;COMPLETE
67;0.5774576481740459;3;5;21;0.6593630672112389;0.6360259827910838;COMPLETE
68;0.4927907777837981;2;3;23;0.6128097946248839;0.6057562465533505;COMPLETE
69;0.5531529117111376;4;4;20;0.7201327104532843;0.5706793175434688;COMPLETE
70;0.5884224628443104;3;5;17;0.6903405666845934;0.5357700045151258;COMPLETE
71;0.5884224628443104;3;5;17;0.6956505305832763;0.5448210519496116;COMPLETE
72;0.5836538715328881;3;5;15;0.6863381341424281;0.5329477482606065;COMPLETE
73;0.5879676652553203;3;5;17;0.6753498075047222;0.5438572679081627;COMPLETE
74;0.5877979642618321;3;5;19;0.7349634255508807;0.5518273652218811;COMPLETE
75;0.4410180521064777;2;5;19;0.7110376675357992;0.5012374994247536;COMPLETE
76;0.5841961936015827;3;5;17;0.7283658420343074;0.5540633870710656;COMPLETE
77;0.5671496833394164;4;5;18;0.7154316131217265;0.5336695987082981;COMPLETE
78;0.5007280454366083;2;4;23;0.7355876257036178;0.5720154089240262;COMPLETE
79;0.5763719723425293;3;6;19;0.7001863759860947;0.6520659631837721;COMPLETE
80;0.5505044588413756;4;5;16;0.7737715119725554;0.6207630334124439;COMPLETE
81;0.5826978191906949;3;4;17;0.6765682875971125;0.549960739402511;COMPLETE
82;0.5853053141190618;3;2;20;0.6672300109442255;0.5009010633775802;COMPLETE
83;0.5861339367426963;3;2;20;0.6905577777961446;0.5014809149969092;COMPLETE
84;0.5703591752734392;3;2;22;0.7434634304910875;0.5904547698115887;COMPLETE
85;0.09290134121909888;7;1;19;0.6862218507635675;0.5205157046475958;COMPLETE
86;0.5990307772859764;3;5;21;0.7598771139788498;0.5636190883610253;COMPLETE
87;0.5895614234914857;3;5;24;0.7644787034458679;0.5770590338962969;COMPLETE
88;0.4932615302912341;2;5;25;0.7885528442418318;0.5968296104915595;COMPLETE
89;0.5358367351304396;4;6;24;0.8106249402257816;0.561144060040429;COMPLETE
90;0.5768130355636709;3;5;21;0.7649180990252838;0.6221577066276189;COMPLETE
91;0.5965311943669125;3;4;26;0.7594919112432844;0.5439031461172498;COMPLETE
92;0.5933953839098302;3;5;25;0.7594678984387518;0.5789325041273458;COMPLETE
93;0.5772741280652907;3;5;28;0.7940720709981542;0.658318934728241;COMPLETE
94;0.5931267446671502;3;6;25;0.7597751925253021;0.5815985694563204;COMPLETE
95;0.5008115573593199;2;6;27;0.7585890557622561;0.578126560432816;COMPLETE
96;0.4419280182884877;4;6;25;0.7772457865199451;0.685413796120146;COMPLETE
97;0.5872785941530438;3;4;29;0.7650918737654142;0.6346572249763921;COMPLETE
98;0.47684003865300806;2;5;26;0.7841575261118675;1.0560518213444992;COMPLETE
99;0.5311790072191345;4;4;25;0.8073853634959725;0.61062887236678;COMPLETE
100;0.5909135898866941;3;5;26;0.7427644538386196;0.5768547368945964;COMPLETE
101;0.5909135898866941;3;5;26;0.7418130566320761;0.5679034090581626;COMPLETE
102;0.5827851280853256;3;5;27;0.7421469579517481;0.5778599452706008;COMPLETE
103;0.5720231177881523;3;6;26;0.7557439788522184;0.5981471766631563;COMPLETE
104;0.5721677520122943;3;5;23;0.7668773262369948;0.6496685281368244;COMPLETE
105;0.5057029455773564;3;4;24;0.7271644960146825;1.266720075209856;COMPLETE
106;0.4890471243518292;3;5;30;0.7508706903705842;1.1464375766451074;COMPLETE
107;0.4656564825556688;2;6;25;0.8219577733329726;0.5209373947877488;COMPLETE
108;0.5897178191481256;3;5;26;0.7854981350730367;0.5753780149260013;COMPLETE
109;0.5495763973661132;4;4;27;0.7790027291517808;0.6237673737181715;COMPLETE
110;0.5806774254921123;3;6;29;0.7938698808458939;0.565953968442445;COMPLETE
111;0.5917944860616052;3;5;26;0.770420437325535;0.5845624158395614;COMPLETE
112;0.5712042529801864;3;5;26;0.7702791894104004;0.6708158431918096;COMPLETE
113;0.5880114320846842;3;5;28;0.8004445861838961;0.6015474566399458;COMPLETE
114;0.5899113505411333;3;5;24;0.7594219319586376;0.5809834736619238;COMPLETE
115;0.4307030420786976;3;5;22;0.7833956416389557;1.3592849638748996;COMPLETE
116;0.5860462787745055;3;4;26;0.7439479879423586;0.631138348463158;COMPLETE
117;0.5835673004368409;3;5;23;0.7568868393509693;0.5623503972182011;COMPLETE
118;0.5385339257637913;2;5;25;0.7321504960667256;0.7087991829950185;COMPLETE
119;0.4794586378186193;4;4;26;0.7512748066915298;0.6086431679277893;COMPLETE
120;0.5791150788868351;3;6;27;0.7396706017675485;0.5853981734932214;COMPLETE
121;0.5899113505411333;3;5;24;0.7584859190007686;0.5767339338655468;COMPLETE
122;0.5946893362594945;3;5;24;0.7712426754740824;0.519893256559039;COMPLETE
123;0.5956270450817376;3;5;23;0.7720089166978947;0.5169610263793647;COMPLETE
124;0.5862717866091027;3;5;21;0.7723715156626898;0.5205424058253832;COMPLETE
125;0.563634459941118;3;5;22;0.9212231047049739;0.5372780402205117;COMPLETE
126;0.5982976838985727;3;5;23;0.7201045269599111;0.5201474105117253;COMPLETE
127;0.5947493314870118;3;4;23;0.7206006605569452;0.5184931139803133;COMPLETE
128;0.47953259154228944;2;3;23;0.718062223698498;0.5476426948273714;COMPLETE
129;0.5847795847827039;3;4;22;0.7252912068381914;0.5128215535339924;COMPLETE
130;0.5509655969239045;4;4;23;0.7494253071255573;0.5271439040764738;COMPLETE
131;0.5903946640059798;3;4;21;0.7347862761638969;0.5122253697400742;COMPLETE
132;0.5933373638280495;3;5;25;0.7419152134991981;0.556087612565424;COMPLETE
133;0.5944058543227233;3;5;25;0.770781283938935;0.5436957678923461;COMPLETE
134;0.5977465183825478;3;4;25;0.7729923014734562;0.5372024378807738;COMPLETE
135;0.5970701212760285;3;4;24;0.7807224943566229;0.5004171224170996;COMPLETE
136;0.5714168840418452;3;4;23;0.7969046945058127;0.5408662293559942;COMPLETE
137;0.5892121976996436;3;3;24;0.8151657036750501;0.515460152888745;COMPLETE
138;0.5809478719250727;3;4;20;0.8346436591011526;0.5014171987507973;COMPLETE
139;0.5888221309204538;3;4;22;0.7801333228869137;0.5501048206980598;COMPLETE
140;0.4853535625422627;2;4;23;0.7066221061409573;0.5285506099168066;COMPLETE
141;0.5947268834244094;3;4;25;0.7638586599920326;0.5517844373853594;COMPLETE
142;0.589723420896678;3;4;24;0.77766931234074;0.5525127180639775;COMPLETE
143;0.5984314327827305;3;4;22;0.7500172897896642;0.5012548739577325;COMPLETE
144;0.5992849685075483;3;3;22;0.7660007719575586;0.5003708532610907;COMPLETE
145;0.595589168347112;3;3;22;0.7684292734368249;0.529858458189214;COMPLETE
146;0.33234441828938954;5;3;22;0.7893448274938915;0.5051755510107435;COMPLETE
147;0.593773956365931;3;3;21;0.8034671956948928;0.5288644059834603;COMPLETE
148;0.5821826097636467;3;3;20;0.7505408315657833;0.5012053900802939;COMPLETE
149;0.595589168347112;3;4;22;0.7679559144209239;0.5234599687419791;COMPLETE
150;0.5951084542746995;3;3;21;0.7196576622589065;0.5340473560684295;COMPLETE
151;0.5926805661728627;3;3;21;0.7189750003993883;0.5001371466383866;COMPLETE
152;0.5840840625274115;3;3;20;0.723943489077741;0.534784960842459;COMPLETE
153;0.5758878003836942;3;3;22;0.7321800073027774;0.5308822971034378;COMPLETE
154;0.580629746868353;3;4;21;0.76299549317789;0.561288770541389;COMPLETE
155;0.5977998211591833;3;3;22;0.7891872721289788;0.521231229687413;COMPLETE
156;0.5927962469812318;3;3;21;0.7900239492157853;0.5180274234660716;COMPLETE
157;0.5863510601773777;3;2;22;0.5777216765924956;0.5338749358019886;COMPLETE
158;0.5335626449283212;4;3;23;0.7819396007098278;0.5002028217611894;COMPLETE
159;0.5769988710639874;3;3;20;0.7767768454298372;0.522267754844634;COMPLETE
160;0.47962412071480065;2;3;21;0.7116853038609696;0.5584001284869704;COMPLETE
161;0.595589168347112;3;4;22;0.7668532799639758;0.538270354055784;COMPLETE
162;0.5847323035866707;3;4;22;0.7504870365195375;0.5412935071245603;COMPLETE
163;0.594278496519677;3;4;23;0.7025499326683834;0.5173506095194206;COMPLETE
164;0.5676865674364884;3;3;20;0.7656774184445652;0.5999356575178838;COMPLETE
165;0.58725836083652;3;4;22;0.7530985999391492;0.538296801119861;COMPLETE
166;0.5833667035252648;3;2;19;0.7743486513700552;0.5012605058463824;COMPLETE
167;0.08116247984580272;6;3;23;0.787323264352567;0.5590190095746798;COMPLETE
168;0.5927962469812318;3;4;21;0.797333490540982;0.5228359307253274;COMPLETE
169;0.5994258636139779;3;8;22;0.7289850193966141;0.5626481391324323;COMPLETE
170;0.5994258636139779;3;8;22;0.7298744413908644;0.6044428279590033;COMPLETE
171;0.6005048537363409;3;8;22;0.7381429757318426;0.6066086140088028;COMPLETE
172;0.5998354216080513;3;8;22;0.7333703136657881;0.6129807752038949;COMPLETE
173;0.6000158577432517;3;8;22;0.7321736242271902;0.6233033197280198;COMPLETE
174;0.6000158577432517;3;8;22;0.7311380731230536;0.6455346915182759;COMPLETE
175;0.576126195699123;3;8;19;0.730100293466356;0.6465435329195213;COMPLETE
176;0.5988701489968481;3;8;24;0.7397955014853277;0.6292742211493624;COMPLETE
177;0.5995803458077824;3;8;24;0.7374260457528455;0.6854594234114414;COMPLETE
178;0.5988701489968481;3;8;24;0.7401355419880135;0.6328328412504707;COMPLETE
179;0.5995803458077824;3;8;24;0.738521780425897;0.686213146105936;COMPLETE
180;0.570579348432144;3;8;24;0.7260967243624004;0.6917959079731886;COMPLETE
181;0.5995306498773018;3;8;24;0.7373230159908328;0.6549046047900905;COMPLETE
182;0.5995306498773018;3;8;24;0.7362278694089789;0.6647101655936939;COMPLETE
183;0.5995306498773018;3;8;24;0.7358892220719486;0.6647808337678089;COMPLETE
184;0.5914911060635021;3;8;24;0.7340098479805922;0.6614520573761052;COMPLETE
185;0.5655569259091577;3;8;23;0.7404433437875463;0.6800997188172565;COMPLETE
186;0.5988701489968481;3;8;24;0.7396846245835654;0.6468816510169586;COMPLETE
187;0.590742035242994;3;8;24;0.7372454013574194;0.7196179804324176;COMPLETE
