data;estrategia;repeticao;r2
24/02;70/30;24;0.24138514039851944
24/02;70/30;25;0.28419354945366004
24/02;70/30;26;-0.7120414439668934
24/02;70/30;27;0.29145777438455933
24/02;70/30;28;-0.18938704291219888
24/02;70/30;29;-0.35538904565563323
24/02;70/30;30;0.5929967955966244
24/02;70/30;31;-0.1523635108178707
24/02;70/30;32;-0.23052396707400558
24/02;70/30;33;0.1326216600901795
24/02;70/30;34;0.6397802508903979
24/02;70/30;35;-1.9409848816761341
24/02;70/30;36;-0.9629952619490834
24/02;70/30;37;0.26739996433041535
24/02;70/30;38;0.7078466113155886
24/02;70/30;39;-5.561887132346441
24/02;70/30;40;0.36749121255063366
24/02;70/30;41;-0.51396313336879
24/02;70/30;42;-1.3942273548745523
24/02;70/30;43;-1.1950906481891845
24/02;70/30;44;-0.12249031486845596
24/02;70/30;45;0.3016521031179906
24/02;70/30;46;0.5133344950748707
24/02;70/30;47;-3.4069044813965945
24/02;70/30;48;0.2958254188896339
24/02;70/30;49;-10.007559347878509
24/02;70/30;50;-1.3110904079810513
24/02;70/30;51;-0.563111294779046
24/02;70/30;52;0.2976195231377229
24/02;70/30;53;-1.1008483922261783
24/02;70/30;54;-0.559294736710181
24/02;70/30;55;-1.9081786234642424
24/02;70/30;56;0.1506315631036811
24/02;70/30;57;0.47770384531451404
24/02;70/30;58;0.17463309827810147
24/02;70/30;59;-0.3369169495285227
24/02;70/30;60;-0.4556140474528714
24/02;70/30;61;0.4612135205002159
24/02;70/30;62;-0.341888734076202
24/02;70/30;63;0.1254678198188105
24/02;70/30;64;0.327945240318398
24/02;70/30;65;0.45934745689471146
24/02;70/30;66;-0.15239812366684924
24/02;70/30;67;-0.8843089319845769
24/02;70/30;68;-0.3903686088906786
24/02;70/30;69;-2.3294081027247593
24/02;70/30;70;-1.373161605667514
24/02;70/30;71;-0.15213502833165649
24/02;70/30;72;-0.4890938350977623
24/02;70/30;73;0.19141924246832986
24/02;70/30;74;-0.32296157149921667
24/02;70/30;75;-0.3291383097768974
24/02;70/30;76;0.32234309476197576
24/02;70/30;77;-0.21460673272803055
24/02;70/30;78;0.4566357873557486
24/02;70/30;79;0.32028612066514894
24/02;70/30;80;-0.24747117818344955
24/02;70/30;81;0.1555181621314783
24/02;70/30;82;0.006414719812491976
24/02;70/30;83;-0.09277192320149918
24/02;70/30;84;-0.9894917357946036
24/02;70/30;85;0.259641923004573
24/02;70/30;86;0.18944121064370334
24/02;70/30;87;0.22839386783109294
24/02;70/30;88;-2.1464303218579985
24/02;70/30;89;0.5196490527547659
24/02;70/30;90;-0.811090426455769
24/02;70/30;91;-5.535852264718644
24/02;70/30;92;-0.6495254301451021
24/02;70/30;93;0.28504917095992277
24/02;70/30;94;0.13991476450854523
24/02;70/30;95;0.03375842246129046
24/02;70/30;96;-0.26889515411377984
24/02;70/30;97;-0.940063242544865
24/02;70/30;98;0.5315731403932759
24/02;70/30;99;-1.4191410041463892
24/02;70/30;100;-0.10406352348583048
24/02;80/20;1;-0.6614463876814036
24/02;80/20;2;0.7219322281003158
24/02;80/20;3;0.1791398563903096
24/02;80/20;4;-0.6560838163097953
24/02;80/20;5;0.18711505290668906
24/02;80/20;6;0.08236374995530371
24/02;80/20;7;0.6765403205627584
24/02;80/20;8;-3.2690219553003805
24/02;80/20;9;-6.630452779063425
24/02;80/20;10;-0.9529663033731897
24/02;80/20;11;0.5527222505031094
24/02;80/20;12;0.4321209712801011
24/02;80/20;13;-0.7016681727743943
24/02;80/20;14;0.23913753181766695
24/02;80/20;15;0.09171555688176636
24/02;80/20;16;-3.675800500607881
24/02;80/20;17;-2.3075795455275236
24/02;80/20;18;-1.4742724422239237
24/02;80/20;19;-1.213758181007174
24/02;80/20;20;-1.0535102348119398
24/02;80/20;21;-1.0443924326417364
24/02;80/20;22;-0.3508675030627779
24/02;80/20;23;0.16733496366752731
24/02;80/20;24;0.605308615474111
24/02;80/20;25;-0.019936083138595295
24/02;80/20;26;-0.2651926384459622
24/02;80/20;27;0.7557174319226015
24/02;80/20;28;-0.9721760202569656
24/02;80/20;29;0.48093204497670483
24/02;80/20;30;0.4081835979000239
24/02;80/20;31;-7.074272054004869
24/02;80/20;32;0.5357144091510839
24/02;80/20;33;0.5670698006294322
24/02;80/20;34;0.5096348619730637
24/02;80/20;35;-6.033482429702322
24/02;80/20;36;-1.9666956632476236
24/02;80/20;37;0.43338639578966465
24/02;80/20;38;0.4574954121009511
24/02;80/20;39;-0.7558009082988837
24/02;80/20;40;-0.1540953247921648
24/02;80/20;41;-3.7417615109028874
24/02;80/20;42;-3.935004393455725
24/02;80/20;43;0.36887713153139023
24/02;80/20;44;-0.06841851575857971
24/02;80/20;45;-1.133065186945179
24/02;80/20;46;0.37594700796593705
24/02;80/20;47;-6.0344364471395755
24/02;80/20;48;0.40673229492466834
24/02;80/20;49;-5.032302119706642
24/02;80/20;50;-4.707851974902319
24/02;80/20;51;-1.711563025182163
24/02;80/20;52;0.18540130389896003
24/02;80/20;53;-1.0405850626952327
24/02;80/20;54;-2.569757052376487
24/02;80/20;55;-4.618134396411676
24/02;80/20;56;0.06273732478574756
24/02;80/20;57;0.6275355532020512
24/02;80/20;58;0.27926062001971386
24/02;80/20;59;-4.728508965094893
24/02;80/20;60;-0.3877164964991069
24/02;80/20;61;0.03149891227938484
24/02;80/20;62;0.6035236415792808
24/02;80/20;63;0.23072600025099543
24/02;80/20;64;0.06987566479739249
24/02;80/20;65;0.49247571910500665
24/02;80/20;66;-0.3249867766473704
24/02;80/20;67;0.7271422702799493
24/02;80/20;68;0.1408543502804156
24/02;80/20;69;-0.8349814111500291
24/02;80/20;70;-4.706294659201081
24/02;80/20;71;0.060331354818653815
24/02;80/20;72;0.1586118298471768
24/02;80/20;73;-0.028996393416260924
24/02;80/20;74;-0.40578404762703335
24/02;80/20;75;0.21158659561505955
24/02;80/20;76;-0.5520335009747541
24/02;80/20;77;0.07750398047732365
24/02;80/20;78;0.35093652142524767
24/02;80/20;79;0.16368257599513103
24/02;80/20;80;-1.1918019677650036
24/02;80/20;81;0.5033873900141113
24/02;80/20;82;0.6810330549625372
24/02;80/20;83;0.2638969672155086
24/02;80/20;84;0.05600617615182202
24/02;80/20;85;-0.2923687374963144
24/02;80/20;86;-7.04751290949174
24/02;80/20;87;-1.162940460707845
24/02;80/20;88;0.39330096142246407
24/02;80/20;89;0.4194721180481481
24/02;80/20;90;-0.6101928767975515
24/02;80/20;91;-2.957778572675695
24/02;80/20;92;-0.4799863475990127
24/02;80/20;93;0.13345615167399727
24/02;80/20;94;0.3276983569086648
24/02;80/20;95;0.2788156930277468
24/02;80/20;96;0.12818367214889004
24/02;80/20;97;-5.993624156377184
24/02;80/20;98;0.6902001538285663
24/02;80/20;99;0.14346897162737393
24/02;80/20;100;-2.771504675396233
24/02;CV=4;1;0.14929770713470314
24/02;CV=5;1;-0.24184373475895482
24/02;CV=5;2;-0.007238336306628845
24/02;CV=5;3;0.13678252623336518
24/02;CV=5;4;-0.27398042558978575
24/02;CV=5;5;-0.03337251144562958
24/02;CV=5;6;0.23258386319903368
24/02;CV=5;7;0.26355923143468307
24/02;CV=5;8;-0.11785698288173707
24/02;CV=5;9;0.13221885994613358
24/02;CV=5;10;-0.6583255079722821
24/02;CV=5;11;-1.0063326559399024
24/02;CV=5;12;0.08470829848787098
24/02;CV=5;13;0.11699450168198056
24/02;CV=5;14;-0.16466535790801107
24/02;CV=5;15;0.11659029679282373
24/02;CV=5;16;-0.3255052570918904
24/02;CV=5;17;0.006207774694899748
24/02;CV=5;18;-0.11694749125175852
24/02;CV=5;19;-0.18600410306380333
24/02;CV=5;20;-0.433518334522047
24/02;CV=5;21;-0.47632661791431263
24/02;CV=5;22;-0.3753646412148155
24/02;CV=5;23;0.03808958910453186
24/02;CV=5;24;-0.23725258229454038
24/02;CV=5;25;-0.06919221530641528
24/02;CV=5;26;-0.184151273361995
24/02;CV=5;27;0.21483037495268853
24/02;CV=5;28;-0.004455806252613881
24/02;CV=5;29;0.18634469357220118
24/02;CV=5;30;0.1140645930840003
24/02;CV=5;31;-0.38425262506333246
24/02;CV=5;32;-0.20052689342549423
24/02;CV=5;33;0.33772920892587177
24/02;CV=5;34;-0.11623250110447514
24/02;CV=5;35;-0.11362281012800657
24/02;CV=5;36;-0.007520903236723386
