data_clorofila_total;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_clorofila_total
25/02;D04M;1618;0.8151863969901932;0.7711300900085143;0.3095652173913043
25/02;D04M;2319;0.813413945721615;0.7688097077075082;0.21130434782608692
25/02;D04M;1669;0.8830168383188562;0.7667368763190792;0.3052173913043478
25/02;D04M;1639;0.8384052866273025;0.7666092162043241;0.3052173913043478
25/02;D04M;2239;0.7605327458594792;0.7570679466435136;0.31565217391304345
25/02;D04M;1404;0.8326357328264539;0.7487655183821801;0.4417391304347826
25/02;D04M;1314;0.7891553779141862;0.7421696146190626;0.3539130434782608
25/02;D04M;1158;0.7081326425506852;0.7410653952980819;0.34434782608695647
25/02;D04M;1309;0.7733764156849523;0.7396375082773641;0.3521739130434782
25/02;D04M;1182;0.7074879198649966;0.7381291723233887;0.35130434782608694
25/02;D04M;1189;0.7102342785303307;0.7377514371726629;0.35130434782608694
25/02;D04M;1214;0.7127211142352099;0.7362054419667613;0.35130434782608694
25/02;D04M;1239;0.7143980853123811;0.7350340136606235;0.35130434782608694
25/02;D04M;1264;0.7250187997337141;0.734316197602002;0.3478260869565217
25/02;D04M;1865;0.7883283235890857;0.7321879342899692;0.4052173913043478
25/02;D04M;1123;0.7388840905371858;0.7272816830003185;0.33652173913043476
25/02;D04M;1014;0.7522689240784523;0.7244757683914008;0.3408695652173913
25/02;D04M;1089;0.776248032508003;0.7212379410641218;0.33304347826086955
25/02;D04M;1064;0.7592931347409799;0.7205552028905389;0.33652173913043476
25/02;D04M;1062;0.7546842108746415;0.7201644445901757;0.33652173913043476
25/02;D04M;1464;0.6884103345587321;0.6998289148544881;0.3539130434782608
25/02;D04M;2360;0.6902861072816945;0.6757531559887809;0.20608695652173914
25/02;D04M;2014;0.6934736238658185;0.6627537686002125;0.20347826086956516
25/02;D04M;1444;0.6652716329244349;0.6624009428413169;0.39739130434782605
25/02;D04M;1427;0.6780516267803366;0.6551670957303665;0.39652173913043476
25/02;D04M;2011;0.6833745750645699;0.6527741621510951;0.20173913043478262
25/02;D04M;600;0.7094843097350654;0.629651716730015;-0.23043478260869563
25/02;D04M;2378;0.6676196426583969;0.6293508483699332;0.21826086956521737
25/02;D04M;2389;0.6726255651481986;0.6016413342950575;0.21913043478260866
25/02;D04M;2418;0.6954145849578508;0.5437907652538472;0.19043478260869565
25/02;D04M;2440;0.7188337561944678;0.49646400171520716;0.1643478260869565
25/02;D04M;1964;0.6241966658646392;0.43506770346629997;0.21652173913043476
25/02;D04M;1960;0.61974732150428;0.41398379136320573;0.22434782608695653
25/02;D04M;2478;0.9089369830874232;0.3946194877161998;0.16695652173913042
25/02;D04M;1922;0.6770766878875876;0.37857331701027086;0.24695652173913044
25/02;D04M;2491;0.9328120475847572;0.37304384203081425;0.17391304347826084
