posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
33;675;0.0;0.0;0.01;9.041260826253434e-12;1.937682962867899e-11;0.7342897022332507;-0.9921875;True;0.9921875
34;771;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
35;811;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
36;841;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
37;861;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
38;871;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
39;911;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
40;981;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
41;1011;0.0;0.0;0.01;7.496890411186199e-12;1.674958848948028e-11;0.7402101426799007;-0.99609375;True;0.99609375
42;1021;0.0;0.0;0.01;1.089606366552202e-11;2.2347826577985662e-11;0.7283925248138958;-0.98828125;True;0.98828125
43;1051;0.0;0.0;0.01;6.824833029737679e-12;1.62575290870987e-11;0.7431790865384615;-0.998046875;True;0.998046875
44;1061;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
45;1438;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
46;1448;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
47;1468;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
48;1498;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
49;1558;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
50;1778;0.0;0.0;0.01;1.7319186503576942e-11;3.3797955774344727e-11;0.7137513570099256;0.978515625;True;0.978515625
51;1788;0.0;0.0;0.01;1.1958446412847199e-11;2.4164308958374e-11;0.725452659739454;0.986328125;True;0.986328125
52;2058;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
53;2078;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
54;2368;0.0;0.0;0.01;2.501220681924586e-11;4.74122330741897e-11;0.7021431063895782;0.970703125;True;0.970703125
55;2398;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
56;2418;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
57;2428;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
58;415;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
59;435;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
60;455;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
61;485;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
62;535;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
63;545;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
64;555;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
65;565;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
66;595;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
67;635;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
68;645;0.0;0.0;0.0;6.824833029737679e-12;1.62575290870987e-11;0.7431790865384615;-0.998046875;True;0.998046875
69;655;0.0;0.0;0.0;9.926307224638545e-12;2.0774342977279238e-11;0.7313382056451614;-0.990234375;True;0.990234375
70;665;0.0;0.0;0.0;1.089606366552202e-11;2.2347826577985662e-11;0.7283925248138958;-0.98828125;True;0.98828125
71;702;0.0;0.0;0.0;5.8094165087978004e-08;6.750772385010929e-08;0.4584832506203474;-0.7890625;True;0.7890625
72;708;0.0;0.0;0.0;0.1042295628427786;0.1053597010303297;0.0264452155707196;-0.236328125;False;0.236328125
73;717;0.0;0.0;0.0;0.1193399945156368;0.1205151790997396;0.0229993796526054;0.2265625;False;0.2265625
74;724;0.0;0.0;0.0;0.2068939294351789;0.2081115494220461;0.0095649813895781;-0.18359375;False;0.18359375
75;731;0.0;0.0;0.0;1.631686391154526e-05;1.7857997802870502e-05;0.2835016671836228;-0.626953125;True;0.626953125
76;741;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
