banda_nm;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta
2283;100;100;1.0;0.002120034924557048;confirmada;True
2292;100;99;0.99;0.0019627667875709008;confirmada;True
2303;100;100;1.0;0.002050831456034659;confirmada;True
2313;100;99;0.99;0.0018113834028538498;confirmada;True
2323;100;97;0.97;0.0017371171685243406;confirmada;True
2333;100;91;0.91;0.001603369007524727;confirmada;True
2343;100;86;0.86;0.0015092576281615512;confirmada;True
2353;100;92;0.92;0.0015487320690453041;confirmada;True
2363;100;89;0.89;0.0015338111836685384;confirmada;True
2373;100;92;0.92;0.0015829234899214393;confirmada;True
2383;100;95;0.95;0.0015502222985198644;confirmada;True
2393;100;94;0.94;0.0016835966262448343;confirmada;True
2403;100;86;0.86;0.0014783372484477733;confirmada;True
2413;100;92;0.92;0.0016390976903673108;confirmada;True
2423;100;99;0.99;0.002108771508625269;confirmada;True
2429;100;100;1.0;0.0024849884796614404;confirmada;True
2439;100;100;1.0;0.004276930929867467;confirmada;True
2447;100;100;1.0;0.006031084716926747;confirmada;True
