genotipo_origem;cenario;dia;posicao;banda_nm;importancia_gini;representantes_spearman
BR16;BR16+EMB48→CD202;D04;2;1946;0.0485842487214091;206
BR16;BR16+EMB48→CD202;D04;3;714;0.04826987976555688;206
BR16;BR16+EMB48→CD202;D04;4;1380;0.03760378545097547;206
BR16;BR16+EMB48→CD202;D04;5;405;0.032192573373184034;206
EMB48;BR16+EMB48→CD202;D04;1;1923;0.0678819363284692;206
EMB48;BR16+EMB48→CD202;D04;2;1375;0.06599246091550022;206
EMB48;BR16+EMB48→CD202;D04;3;1943;0.060568751869845075;206
EMB48;BR16+EMB48→CD202;D04;4;715;0.05293465572730652;206
EMB48;BR16+EMB48→CD202;D04;5;1953;0.048195193681690854;206
BR16;BR16+CD202→EMB48;D05;1;1458;0.05;207
BR16;BR16+CD202→EMB48;D05;2;821;0.04;207
BR16;BR16+CD202→EMB48;D05;3;951;0.04;207
BR16;BR16+CD202→EMB48;D05;4;1121;0.04;207
BR16;BR16+CD202→EMB48;D05;5;2447;0.03;207
CD202;BR16+CD202→EMB48;D05;1;1960;0.0856884817943304;206
CD202;BR16+CD202→EMB48;D05;2;1920;0.08036459836459836;206
CD202;BR16+CD202→EMB48;D05;3;1950;0.07696048079168284;206
CD202;BR16+CD202→EMB48;D05;4;1940;0.07475920622191673;206
CD202;BR16+CD202→EMB48;D05;5;1900;0.07337454921174275;206
EMB48;EMB48+CD202→BR16;D05;1;425;0.06876628353119857;207
EMB48;EMB48+CD202→BR16;D05;2;435;0.061541597197390746;207
EMB48;EMB48+CD202→BR16;D05;3;1969;0.05370535635432172;207
EMB48;EMB48+CD202→BR16;D05;4;1959;0.053371976805872634;207
EMB48;EMB48+CD202→BR16;D05;5;1939;0.05048133741189719;207
CD202;EMB48+CD202→BR16;D05;1;1960;0.0856884817943304;206
CD202;EMB48+CD202→BR16;D05;2;1920;0.08036459836459836;206
CD202;EMB48+CD202→BR16;D05;3;1950;0.07696048079168284;206
CD202;EMB48+CD202→BR16;D05;4;1940;0.07475920622191673;206
CD202;EMB48+CD202→BR16;D05;5;1900;0.07337454921174275;206
BR16;BR16+EMB48→CD202;D05;1;1458;0.05;207
BR16;BR16+EMB48→CD202;D05;2;821;0.04;207
BR16;BR16+EMB48→CD202;D05;3;951;0.04;207
BR16;BR16+EMB48→CD202;D05;4;1121;0.04;207
BR16;BR16+EMB48→CD202;D05;5;2447;0.03;207
EMB48;BR16+EMB48→CD202;D05;1;425;0.06876628353119857;207
EMB48;BR16+EMB48→CD202;D05;2;435;0.061541597197390746;207
EMB48;BR16+EMB48→CD202;D05;3;1969;0.05370535635432172;207
EMB48;BR16+EMB48→CD202;D05;4;1959;0.053371976805872634;207
EMB48;BR16+EMB48→CD202;D05;5;1939;0.05048133741189719;207
BR16;BR16+CD202→EMB48;D06;1;1461;0.04;207
BR16;BR16+CD202→EMB48;D06;2;828;0.04;207
BR16;BR16+CD202→EMB48;D06;3;1098;0.03;207
BR16;BR16+CD202→EMB48;D06;4;2371;0.03;207
BR16;BR16+CD202→EMB48;D06;5;1581;0.03;207
CD202;BR16+CD202→EMB48;D06;1;1522;0.04999999999999999;206
CD202;BR16+CD202→EMB48;D06;2;1942;0.04999999999999999;206
CD202;BR16+CD202→EMB48;D06;3;2449;0.039999999999999994;206
CD202;BR16+CD202→EMB48;D06;4;1972;0.039999999999999994;206
CD202;BR16+CD202→EMB48;D06;5;763;0.039999999999999994;206
EMB48;EMB48+CD202→BR16;D06;1;779;0.07180112570356473;208
EMB48;EMB48+CD202→BR16;D06;2;749;0.05118518518518519;208
EMB48;EMB48+CD202→BR16;D06;3;425;0.04234239365461085;208
EMB48;EMB48+CD202→BR16;D06;4;759;0.04064;208
