dia;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D02;1596;1.1346271195482785e-07;8.19899178129774e-06;0.4375726969602978;0.771484375;True;119;1.3781002727919018;True;0.771484375
D02;1660;0.000288590960955;0.0011767396837353;0.1958553039702233;0.52734375;True;126;1.3489125773458186;True;0.52734375
D02;1955;6.436358807385795e-06;9.49710209636566e-05;0.3121588089330025;0.65625;True;155;1.3439239191282124;True;0.65625
D02;701;2.637510085515891e-05;0.0002080589686689;0.2687529078784119;-0.611328125;True;30;1.340902935996082;True;0.611328125
D02;1863;0.0037284701172095;0.0046066820544558;0.1195409429280397;0.421875;True;146;1.3149580877602602;True;0.421875
D02;1670;0.0007153100391853;0.0016941118826432;0.1685328784119107;0.4921875;True;127;1.28959791199878;True;0.4921875
D02;1701;0.0056749630971296;0.0064058058955492;0.1072696960297766;0.40234375;True;130;1.271014399516528;True;0.40234375
D02;1690;0.0031371058149623;0.0039914417037765;0.1246122828784119;0.4296875;True;129;1.2636257621482445;True;0.4296875
D02;1329;4.679653095079436e-06;8.805475686245801e-05;0.3220019773573201;-0.666015625;True;92;1.2632444687595321;True;0.666015625
D02;1580;9.789954437531725e-08;8.19899178129774e-06;0.4421787763647643;0.775390625;True;118;1.2601526940326475;True;0.775390625
D02;1711;0.0072436377838;0.0079447599436224;0.1001861042183622;0.390625;True;131;1.256197311927448;True;0.390625
D02;1399;0.0454305602349821;0.0461963703728053;0.0484287763647642;0.291015625;True;99;1.2516830985545822;True;0.291015625
D02;1680;0.0016028854871773;0.0027214554091066;0.1444585530397022;0.458984375;True;128;1.2459092100374072;True;0.458984375
D02;1896;0.0019243068878929;0.0029235210570877;0.1390382676799007;0.451171875;True;149;1.222388551002571;True;0.451171875
D02;1574;1.1346271195482785e-07;8.19899178129774e-06;0.4375726969602978;0.771484375;True;117;1.2127439756529756;True;0.771484375
