data_cra;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_cra
02/03;D09M;1108;1.0179870120817718;1.024555622767913;-0.7766798418972332
02/03;D09M;1093;1.0202473556296727;1.0218126380681944;-0.7766798418972332
02/03;D09M;1102;1.019810810213938;1.0217196228218797;-0.7766798418972332
02/03;D09M;422;1.091784337048633;1.0072508506508702;0.7015810276679841
02/03;D09M;380;1.111491852565394;1.0054107301352226;0.7104743083003953
02/03;D09M;431;1.099117313681676;1.0028068215778716;0.7164031620553359
02/03;D09M;443;1.077179633002615;1.002554083422319;0.7223320158102766
02/03;D09M;455;1.0720797518126242;1.0007502158219774;0.7147801169863623
02/03;D09M;396;1.0707370474883875;0.999474769209512;0.7015810276679841
02/03;D09M;407;1.0492370709482035;0.9994123534867262;0.7154150197628458
02/03;D09M;360;1.2458391740567083;0.9936448457135773;0.7164031620553359
02/03;D09M;463;1.0696784345599069;0.9923328513000236;0.7075098814229249
02/03;D09M;474;1.0628874868424991;0.9911786690855704;0.6936758893280633
02/03;D09M;480;1.0621470214368178;0.9884129287204416;0.6996047430830039
02/03;D09M;411;1.0783685420083011;0.9883206712030764;0.7075098814229249
02/03;D09M;717;1.2430085382137828;0.9866948590470908;-0.7915019762845852
02/03;D09M;370;1.3001407113435306;0.9801658458335758;0.7282608695652173
02/03;D09M;490;1.0524876281610407;0.9778508422193628;0.6847826086956521
02/03;D09M;500;1.0292268489363574;0.9502179448596316;0.6462450592885376
02/03;D09M;670;1.117310145990872;0.9420602522153776;0.6274703557312253
02/03;D09M;668;1.127836268165394;0.9387582747574764;0.6373517786561265
02/03;D09M;684;1.0657362591568147;0.9287524808501584;0.6166007905138341
02/03;D09M;657;1.147322640398958;0.9066145118653244;0.6067193675889329
02/03;D09M;355;1.1649253379432438;0.9032485719933204;0.6857707509881423
02/03;D09M;646;1.1606987831159603;0.8654526814629884;0.6007905138339922
02/03;D09M;690;1.0026063900913451;0.8410497697285455;0.5543478260869565
02/03;D09M;639;1.13833225516966;0.8153855261485025;0.5296442687747036
02/03;D09M;620;1.0621067058598772;0.7658917815880119;0.5148221343873518
02/03;D09M;619;1.0609840964820372;0.7605235289436973;0.5148221343873518
02/03;D09M;707;1.3125695841147884;0.7315091708196201;-0.5810276679841897
02/03;D09M;699;1.0058168692238807;0.0757599073616023;-0.1610671936758893
02/03;D09M;552;1.0631687985124532;0.0546862064318259;-0.1798418972332016
02/03;D09M;548;1.060917480327373;0.0403440659227318;-0.1709486166007905
02/03;D09M;560;1.0072415317971108;0.0003752606796614;-0.1373517786561265
