banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos
605;0.7769259335427668;False;100;35;0.35;0.001180900499875494;rejeitada;False;1.1667266151190843e-11;1.2196768065604076e-05;True;1
614;0.7768878572662605;False;100;17;0.17;0.0009532481662401925;rejeitada;False;1.1667266151190843e-11;1.4118916605400348e-05;True;1
623;0.784178870926372;False;100;31;0.31;0.001177177113628393;rejeitada;False;1.1667266151190843e-11;1.6454273060523837e-05;True;1
635;0.7996927524336084;False;100;35;0.35;0.0012483099498081592;rejeitada;False;1.3086061475185444e-11;1.4064250284503112e-08;True;1
644;0.7924492514181076;False;100;39;0.39;0.0012701205506469935;tentativa;False;1.4612786410280373e-11;1.1730270834970642e-08;True;1
656;0.7652083366612299;False;100;61;0.61;0.0016489516539893564;tentativa;False;1.3086061475185444e-11;1.2863514308925804e-08;True;1
665;0.74395235249534;False;100;78;0.78;0.0019776995582549035;confirmada;True;1.3086061475185444e-11;3.0636328474649135e-08;True;2
673;0.7210421324775533;False;100;82;0.82;0.0020439434119579416;confirmada;True;1.3086061475185444e-11;6.721669445781175e-08;True;2
684;0.6825708707640896;False;100;62;0.62;0.0017402178342634889;tentativa;False;1.4612786410280373e-11;2.3720887675260923e-07;True;1
699;0.938969793150539;False;100;95;0.95;0.0028304530546890898;confirmada;True;1.1667266151190843e-11;9.963390147786462e-07;True;2
700;0.996200010114392;False;100;96;0.96;0.0031977666761689055;confirmada;True;1.1667266151190843e-11;9.079101520955776e-07;True;2
712;1.530061166281795;True;100;100;1.0;0.003915635540712239;confirmada;True;5.958922853194248e-07;1.1232173550594643e-06;True;3
718;1.5203880364412714;True;100;100;1.0;0.0037172408932825253;confirmada;True;7.477808091685227e-07;1.1232173550594643e-06;True;3
737;0.8276361453477212;False;100;62;0.62;0.001567372732962467;tentativa;False;1.1667266151190843e-11;4.622310940328833e-06;True;1
742;0.8056173521128535;False;100;54;0.54;0.0014974730767153017;tentativa;False;1.1667266151190843e-11;2.3969856941154627e-05;True;1
752;0.803276571702574;False;100;67;0.67;0.001968997213577647;confirmada;True;1.1667266151190843e-11;7.609964458974549e-05;True;2
762;0.7666347739447058;False;100;60;0.6;0.0016678152666997172;tentativa;False;1.1667266151190843e-11;7.709393255029373e-05;True;1
772;0.7377435156734221;False;100;31;0.31;0.0011872509660801826;rejeitada;False;1.1667266151190843e-11;8.03224213694821e-05;True;1
783;0.7220093171507687;False;100;26;0.26;0.0010006598327876105;rejeitada;False;1.1667266151190843e-11;8.607128721349428e-05;True;1
792;0.7156179726149275;False;100;18;0.18;0.0008926503559823147;rejeitada;False;1.1667266151190843e-11;0.0001055748951267;True;1
803;0.7068276875522964;False;100;13;0.13;0.000890276271206472;rejeitada;False;1.1667266151190843e-11;0.0001130978970698;True;1
813;0.6987334297653583;False;100;24;0.24;0.0009522688067540273;rejeitada;False;1.1667266151190843e-11;0.0001130978970698;True;1
