genotipo;dia;banda_1;banda_2;rho_spearman;rho_abs
CD202;D09;1470;1480;0.9985876245371608;0.9985876245371608
CD202;D09;1987;1480;0.8930793602320877;0.8930793602320877
CD202;D10;1367;710;-0.9252747252747253;0.9252747252747253
CD202;D10;1367;1377;0.9407051282051282;0.9407051282051282
CD202;D10;1367;720;-0.9153388278388278;0.9153388278388278
CD202;D10;1367;1357;0.9517399267399267;0.9517399267399267
CD202;D10;710;1377;-0.8271978021978021;0.8271978021978021
CD202;D10;710;720;0.9944139194139194;0.9944139194139194
CD202;D10;710;1357;-0.960485347985348;0.960485347985348
CD202;D10;1377;720;-0.8013736263736264;0.8013736263736264
CD202;D10;1377;1357;0.8324175824175825;0.8324175824175825
CD202;D10;720;1357;-0.9661630036630037;0.9661630036630037
EMB48;D02;712;722;0.9884615384615385;0.9884615384615385
EMB48;D02;712;702;0.9492673992673992;0.9492673992673992
EMB48;D02;712;1372;-0.713507326007326;0.713507326007326
EMB48;D02;712;405;-0.11007326007326007;0.11007326007326007
EMB48;D02;722;702;0.9541666666666667;0.9541666666666667
EMB48;D02;722;1372;-0.7163461538461539;0.7163461538461539
EMB48;D02;722;405;-0.0842948717948718;0.0842948717948718
EMB48;D02;702;1372;-0.6896062271062271;0.6896062271062271
EMB48;D02;702;405;0.13557692307692307;0.13557692307692307
EMB48;D02;1372;405;0.030677655677655676;0.030677655677655676
EMB48;D03;1928;1938;0.9941849816849817;0.9941849816849817
EMB48;D03;1928;1918;0.9981684981684982;0.9981684981684982
EMB48;D03;1928;1948;0.9829212454212454;0.9829212454212454
EMB48;D03;1928;1958;0.9769688644688644;0.9769688644688644
EMB48;D03;1938;1918;0.9916208791208792;0.9916208791208792
EMB48;D03;1938;1948;0.9928113553113553;0.9928113553113553
EMB48;D03;1938;1958;0.9877289377289378;0.9877289377289378
EMB48;D03;1918;1948;0.9815934065934065;0.9815934065934065
EMB48;D03;1918;1958;0.976007326007326;0.976007326007326
EMB48;D03;1948;1958;0.995970695970696;0.995970695970696
EMB48;D04;405;1943;-0.8293956043956044;0.8293956043956044
EMB48;D04;405;1953;-0.8744047619047619;0.8744047619047619
EMB48;D04;405;1933;-0.8038003663003663;0.8038003663003663
EMB48;D04;405;1963;-0.8952380952380953;0.8952380952380953
EMB48;D04;1943;1953;0.9875915750915751;0.9875915750915751
EMB48;D04;1943;1933;0.9915750915750916;0.9915750915750916
EMB48;D04;1943;1963;0.9587912087912088;0.9587912087912088
EMB48;D04;1953;1933;0.9708333333333333;0.9708333333333333
EMB48;D04;1953;1963;0.9842490842490842;0.9842490842490842
EMB48;D04;1933;1963;0.9315934065934066;0.9315934065934066
EMB48;D05;1376;1719;0.13914835164835165;0.13914835164835165
EMB48;D05;1376;1709;0.15544871794871795;0.15544871794871795
EMB48;D05;1376;1369;0.8537087912087912;0.8537087912087912
EMB48;D05;1376;1381;0.6290750915750916;0.6290750915750916
EMB48;D05;1719;1709;0.991437728937729;0.991437728937729
EMB48;D05;1719;1369;-0.0190018315018315;0.0190018315018315
EMB48;D05;1719;1381;0.3364010989010989;0.3364010989010989
EMB48;D05;1709;1369;0.01423992673992674;0.01423992673992674
EMB48;D05;1709;1381;0.2983058608058608;0.2983058608058608
EMB48;D05;1369;1381;0.28424908424908424;0.28424908424908424
EMB48;D06;749;739;0.969551282051282;0.969551282051282
EMB48;D06;749;1929;-0.8288461538461539;0.8288461538461539
EMB48;D06;749;1939;-0.8418956043956044;0.8418956043956044
EMB48;D06;749;1919;-0.8221153846153846;0.8221153846153846
EMB48;D06;739;1929;-0.8203296703296703;0.8203296703296703
EMB48;D06;739;1939;-0.8271978021978021;0.8271978021978021
EMB48;D06;739;1919;-0.8191849816849817;0.8191849816849817
EMB48;D06;1929;1939;0.9965201465201465;0.9965201465201465
EMB48;D06;1929;1919;0.9988095238095238;0.9988095238095238
EMB48;D06;1939;1919;0.9931776556776557;0.9931776556776557
EMB48;D09;721;711;0.9904761904761905;0.9904761904761905
EMB48;D09;721;731;0.8966117216117216;0.8966117216117216
EMB48;D09;721;702;0.8115842490842491;0.8115842490842491
EMB48;D09;721;1381;-0.731043956043956;0.731043956043956
EMB48;D09;711;731;0.8856227106227106;0.8856227106227106
EMB48;D09;711;702;0.848489010989011;0.848489010989011
EMB48;D09;711;1381;-0.6924450549450549;0.6924450549450549
EMB48;D09;731;702;0.8828296703296703;0.8828296703296703
EMB48;D09;731;1381;-0.8716117216117216;0.8716117216117216
EMB48;D09;702;1381;-0.6761446886446887;0.6761446886446887
EMB48;D10;1345;715;-0.6932692307692307;0.6932692307692307
EMB48;D10;1345;405;0.47934981684981687;0.47934981684981687
EMB48;D10;1345;1355;0.8791208791208791;0.8791208791208791
EMB48;D10;1345;415;0.4623626373626374;0.4623626373626374
EMB48;D10;715;405;-0.20425824175824175;0.20425824175824175
EMB48;D10;715;1355;-0.8701465201465202;0.8701465201465202
EMB48;D10;715;415;-0.15686813186813187;0.15686813186813187
EMB48;D10;405;1355;0.31336996336996337;0.31336996336996337
EMB48;D10;405;415;0.9934981684981685;0.9934981684981685
EMB48;D10;1355;415;0.2762820512820513;0.2762820512820513
