grupo;banda_representante_nm;tamanho;inicio_nm;fim_nm;r_abs_min_grupo;r_abs_medio_grupo;largura_nm;criterio_representante;q_condicao_representante
58;979;10;976;985;0.9995849623427473;0.9998560439407445;9;menor_q_condicao;6.095819619118516e-25
59;986;10;986;995;0.9995068568000103;0.9998300634114485;9;menor_q_condicao;9.708529049982867e-25
60;1000;10;996;1005;0.9990556543609422;0.9996825982176248;9;menor_q_condicao;9.504146819612298e-25
61;1015;10;1006;1015;0.9990186371445515;0.9996291249858208;9;menor_q_condicao;9.925691801661396e-25
62;1025;10;1016;1025;0.999144243869147;0.9996701491890551;9;menor_q_condicao;8.42638587430454e-25
63;1035;10;1026;1035;0.999338936986748;0.9996986176733128;9;menor_q_condicao;6.556746916190513e-25
64;1039;10;1036;1045;0.9994780405921212;0.999746082602207;9;menor_q_condicao;6.236768668832361e-25
65;1049;10;1046;1055;0.9995406847353172;0.9997836560239933;9;menor_q_condicao;7.22817315887341e-25
66;1059;10;1056;1065;0.9992222269356518;0.9997219607722097;9;menor_q_condicao;9.925691801661396e-25
67;1066;10;1066;1075;0.9988551656680386;0.9996586110570489;9;menor_q_condicao;2.0121346190467763e-24
68;1076;10;1076;1085;0.9987049363217411;0.9996273483728151;9;menor_q_condicao;4.384148203372522e-24
69;1086;10;1086;1095;0.9990974432513362;0.9997267121968088;9;menor_q_condicao;1.107571688454426e-23
70;1105;10;1096;1105;0.9995032413016389;0.9998281380850802;9;menor_q_condicao;2.820478580517879e-24
71;1115;10;1106;1115;0.9987240524120478;0.999657947616908;9;menor_q_condicao;3.8837114419823504e-25
72;1125;10;1116;1125;0.9966619200921265;0.9991755099282819;9;menor_q_condicao;6.293716466973379e-26
73;1134;10;1126;1135;0.9959806680967741;0.9990050739633067;9;menor_q_condicao;2.0067454708636703e-26
74;1144;10;1136;1145;0.9960082203499483;0.9990007113054854;9;menor_q_condicao;1.2359839834746712e-26
75;1155;10;1146;1155;0.9968490392795335;0.9992146108736352;9;menor_q_condicao;1.0581592670827368e-26
76;1158;10;1156;1165;0.9977885495569481;0.9994230180631983;9;menor_q_condicao;1.030926761968309e-26
77;1166;10;1166;1175;0.9981063704802066;0.9995096736444811;9;menor_q_condicao;1.810067863439266e-26
78;1176;10;1176;1185;0.9989497957040111;0.9997112975015378;9;menor_q_condicao;2.830976593092807e-26
79;1186;10;1186;1195;0.9993695070542808;0.9998106343263266;9;menor_q_condicao;6.615227345419703e-26
80;1196;10;1196;1205;0.9995893812852013;0.9998645466218143;9;menor_q_condicao;1.9302955841665004e-25
81;1206;10;1206;1215;0.9997065469478809;0.9998918087424029;9;menor_q_condicao;5.2004646206247815e-25
82;1216;10;1216;1225;0.9997468906187355;0.9999089754465654;9;menor_q_condicao;1.167682489698988e-24
83;1226;10;1226;1235;0.9997730564409621;0.9999218996829157;9;menor_q_condicao;4.162825427465494e-24
84;1237;10;1236;1245;0.9997876311125822;0.9999248465154941;9;menor_q_condicao;1.2254968638231775e-23
85;1246;10;1246;1255;0.9997422659162114;0.9999165577595762;9;menor_q_condicao;1.987184738287191e-23
86;1257;10;1256;1265;0.9996840799078638;0.9999047800096261;9;menor_q_condicao;3.3710835497167705e-23
87;1269;10;1266;1275;0.9996632834436526;0.9999024811579665;9;menor_q_condicao;5.457292318252493e-23
88;1277;10;1276;1285;0.9995135831946778;0.9998707082105328;9;menor_q_condicao;8.156390120720586e-23
89;1286;10;1286;1295;0.9983978198211683;0.9995897434882455;9;menor_q_condicao;1.9640068917658285e-22
90;1302;10;1296;1305;0.9937314410846921;0.9985057912747547;9;menor_q_condicao;1.2179997004707018e-22
91;1315;10;1306;1315;0.9896366099329492;0.9975363335445375;9;menor_q_condicao;2.485707930908885e-23
92;1322;10;1316;1325;0.9922210347961001;0.998135251899885;9;menor_q_condicao;1.9398895668670482e-23
93;1326;10;1326;1335;0.9829132281811522;0.9959638334392854;9;menor_q_condicao;2.3638483059213708e-23
94;1342;10;1336;1345;0.9462673548269747;0.9873559595478164;9;menor_q_condicao;3.6634817272263e-23
95;1349;10;1346;1355;0.9215578876782919;0.9818462542217279;9;menor_q_condicao;1.1184776906299264e-21
96;1356;10;1356;1365;0.9340457994578977;0.9848275999490115;9;menor_q_condicao;1.476474392520498e-19
97;1366;10;1366;1375;0.8932336325200697;0.974831029027671;9;menor_q_condicao;7.562506907878384e-16
98;1385;10;1376;1385;0.8815319446648269;0.9719009807011025;9;menor_q_condicao;2.2006613246979703e-15
99;1395;10;1386;1395;0.9680759136297022;0.9926658544271577;9;menor_q_condicao;6.615227345419703e-26
100;1405;10;1396;1405;0.9939347957214271;0.9986036997545076;9;menor_q_condicao;7.3988875324732895e-28
101;1415;10;1406;1415;0.9965740899365607;0.9991983062932788;9;menor_q_condicao;3.4741767513961697e-29
102;1425;10;1416;1425;0.9955308961800973;0.9989409673994655;9;menor_q_condicao;4.0559550324879366e-30
103;1435;10;1426;1435;0.9957183876952499;0.9989988375824359;9;menor_q_condicao;4.312224803236475e-31
104;1445;10;1436;1445;0.9972242280699092;0.9993493139352058;9;menor_q_condicao;1.3978598011707534e-31
105;1454;10;1446;1455;0.9987037899442084;0.9996875187138579;9;menor_q_condicao;8.646253654820409e-32
106;1460;10;1456;1465;0.9992366399386456;0.9998181029813942;9;menor_q_condicao;8.389312367478559e-32
107;1471;10;1466;1475;0.999167264501733;0.999803127240939;9;menor_q_condicao;8.389312367478559e-32
108;1480;10;1476;1485;0.9991035425676948;0.9997873677614664;9;menor_q_condicao;8.389312367478559e-32
109;1490;10;1486;1495;0.9992310256281662;0.9998159347710488;9;menor_q_condicao;8.389312367478559e-32
110;1501;10;1496;1505;0.9990735162946321;0.99977897971815;9;menor_q_condicao;8.389312367478559e-32
111;1511;10;1506;1515;0.998963611022992;0.9997539623419434;9;menor_q_condicao;8.389312367478559e-32
112;1521;10;1516;1525;0.9984666367664624;0.9996282432658173;9;menor_q_condicao;8.389312367478559e-32
113;1529;10;1526;1535;0.9980271871466266;0.9995314935745215;9;menor_q_condicao;8.389312367478559e-32
114;1536;10;1536;1545;0.9973850736560057;0.9993779268869836;9;menor_q_condicao;9.908344927757932e-32
115;1546;10;1546;1555;0.996840461044237;0.9992557248927726;9;menor_q_condicao;2.479533597177852e-31
116;1556;10;1556;1565;0.9960835726269877;0.9990637159098412;9;menor_q_condicao;1.7928195134177322e-30
117;1566;10;1566;1575;0.9961169008592672;0.9990827507847972;9;menor_q_condicao;4.682100840300192e-28
118;1576;10;1576;1585;0.9959966389974406;0.9990489347160766;9;menor_q_condicao;1.3264158713080404e-25
119;1586;10;1586;1595;0.9960846945092737;0.9990784935109693;9;menor_q_condicao;2.3638483059213708e-23
120;1596;10;1596;1605;0.9954445896288586;0.9989231423719469;9;menor_q_condicao;4.552817442446055e-21
121;1606;10;1606;1615;0.9953359434128848;0.9989062162655379;9;menor_q_condicao;7.828738427026814e-19
122;1616;10;1616;1625;0.9963641803718838;0.999127513071503;9;menor_q_condicao;3.418587133032122e-16
123;1626;10;1626;1635;0.9970262476902392;0.9992790917248415;9;menor_q_condicao;9.341982538397551e-15
124;1636;10;1636;1645;0.997858797024633;0.9994670323195122;9;menor_q_condicao;4.771727237526596e-13
125;1646;10;1646;1655;0.9985324750897918;0.999626614059761;9;menor_q_condicao;4.701766475794765e-11
126;1656;10;1656;1665;0.9986438647733651;0.9996381273699174;9;menor_q_condicao;2.1152525423149107e-09
127;1666;10;1666;1675;0.9979452652444978;0.9994660479372092;9;menor_q_condicao;7.600373605546887e-08
128;1676;10;1676;1685;0.99610620623468;0.9990344403888644;9;menor_q_condicao;5.473368475337959e-06
129;1686;10;1686;1695;0.9954376476760232;0.9988656776125218;9;menor_q_condicao;0.0001178095664181
130;1696;10;1696;1705;0.9974506033392303;0.9993534452490332;9;menor_q_condicao;0.0004236629406482
131;1706;10;1706;1715;0.9979443099298876;0.9994652219575001;9;menor_q_condicao;0.0011796497543881
132;1725;10;1716;1725;0.9978836303054546;0.9994538993836625;9;menor_q_condicao;0.0003590746189887
133;1735;10;1726;1735;0.9969223094606267;0.999231439543397;9;menor_q_condicao;8.590672587935957e-06
134;1745;10;1736;1745;0.9953928017788762;0.9988838048569472;9;menor_q_condicao;1.2481490964240306e-08
135;1755;10;1746;1755;0.9953104487604101;0.9988712035223786;9;menor_q_condicao;3.8789449230904994e-11
136;1765;10;1756;1765;0.9953237545782657;0.9988518342056579;9;menor_q_condicao;2.8424754270302693e-14
137;1775;10;1766;1775;0.9975051689501567;0.9993807459088097;9;menor_q_condicao;2.128718020607577e-16
138;1785;10;1776;1785;0.9986407440789711;0.9996355889003139;9;menor_q_condicao;2.4697827146533636e-17
139;1794;10;1786;1795;0.9987464459663258;0.9996565188364013;9;menor_q_condicao;2.079169899293849e-17
140;1796;10;1796;1805;0.9991295075289006;0.9997608804527391;9;menor_q_condicao;2.2198074922428744e-17
141;1807;10;1806;1815;0.9990764753204;0.9997189635338575;9;menor_q_condicao;6.076168378287665e-17
142;1817;10;1816;1825;0.9989180694608473;0.9996613810883819;9;menor_q_condicao;1.0031134365889517e-16
143;1831;8;1826;1833;0.8089302192500433;0.9408532483705121;7;menor_q_condicao;9.135751409582176e-21
144;1843;10;1834;1843;0.996921275761228;0.9991347268671401;9;menor_q_condicao;1.090032608291793e-19
145;1853;10;1844;1853;0.9956010995563387;0.9989449393308895;9;menor_q_condicao;1.4479887685784049e-21
146;1863;10;1854;1863;0.9938454468605831;0.9985486514239249;9;menor_q_condicao;2.6108057357339543e-24
147;1873;10;1864;1873;0.991767412226686;0.9980522020188751;9;menor_q_condicao;6.586796771752325e-27
148;1883;10;1874;1883;0.9865663561503891;0.9968805674922389;9;menor_q_condicao;2.4907075063813106e-29
149;1893;10;1884;1893;0.9537939406079534;0.9892065272953449;9;menor_q_condicao;1.0855583790444104e-31
150;1898;10;1894;1903;0.929812300716167;0.983360441378822;9;menor_q_condicao;8.389312367478559e-32
151;1908;10;1904;1913;0.9737765796510435;0.9939203798878714;9;menor_q_condicao;8.389312367478559e-32
152;1923;10;1914;1923;0.9966864790261878;0.9991861361839146;9;menor_q_condicao;9.011676390380772e-32
153;1929;10;1924;1933;0.9966095051638356;0.9991834580369725;9;menor_q_condicao;8.389312367478559e-32
154;1939;10;1934;1943;0.9939474646628758;0.9985451920419236;9;menor_q_condicao;8.389312367478559e-32
155;1948;10;1944;1953;0.9930442416435092;0.9983400390186306;9;menor_q_condicao;8.389312367478559e-32
156;1958;10;1954;1963;0.994331403155273;0.9986399490177063;9;menor_q_condicao;8.389312367478559e-32
157;1968;10;1964;1973;0.9953660382726371;0.9989089287058249;9;menor_q_condicao;8.389312367478559e-32
