dia;genotipo;condicao;posicao;banda_nm;teste;H;p_kruskal;q_kruskal;U;p_mannwhitney;q_mannwhitney;p_valor;q_fdr;epsilon2;genotipo_referencia;n_genotipo;n_referencia;delta_cliff
D05;CD202;IRRIG;1;1382;mannwhitney;34.58725961538462;4.075650793223015e-09;6.101550874791106e-07;74.0;5.5159394521566915e-11;3.0428423201772524e-08;5.5159394521566915e-11;3.0428423201772524e-08;0.5417299937965261;EMB48;32;32;-0.85546875
D05;CD202;IRRIG;2;1383;mannwhitney;34.58725961538462;4.075650793223015e-09;6.101550874791106e-07;74.0;5.5159394521566915e-11;3.0428423201772524e-08;5.5159394521566915e-11;3.0428423201772524e-08;0.5417299937965261;EMB48;32;32;-0.85546875
D05;CD202;IRRIG;3;1381;mannwhitney;34.11508413461539;5.194701821703936e-09;6.101550874791106e-07;77.0;8.325947071804939e-11;3.0428423201772524e-08;8.325947071804939e-11;3.0428423201772524e-08;0.534114260235732;EMB48;32;32;-0.849609375
D05;CD202;IRRIG;4;1380;mannwhitney;33.80210336538462;6.101286197809811e-09;6.101550874791106e-07;79.0;1.0902795370644375e-10;3.0428423201772524e-08;1.0902795370644375e-10;3.0428423201772524e-08;0.5290661833126551;EMB48;32;32;-0.845703125
D05;CD202;IRRIG;5;1379;mannwhitney;33.49056490384616;7.161053390854917e-09;6.101550874791106e-07;81.0;1.4223916741919963e-10;3.0428423201772524e-08;1.4223916741919963e-10;3.0428423201772524e-08;0.5240413694168735;EMB48;32;32;-0.841796875
D05;CD202;NIRRIG;1;1939;mannwhitney;37.983353365384616;7.135081689483728e-10;1.71659979531463e-07;971.0;2.319596203623931e-12;8.192734763370472e-10;2.319596203623931e-12;8.192734763370472e-10;0.5965056994416874;BR16;32;32;-0.896484375
D05;CD202;NIRRIG;2;1936;mannwhitney;37.81802884615385;7.76607345152988e-10;1.71659979531463e-07;970.0;2.733366808877436e-12;8.192734763370472e-10;2.733366808877436e-12;8.192734763370472e-10;0.5938391749379653;BR16;32;32;-0.89453125
D05;CD202;NIRRIG;3;1937;mannwhitney;37.81802884615385;7.76607345152988e-10;1.71659979531463e-07;970.0;2.733366808877436e-12;8.192734763370472e-10;2.733366808877436e-12;8.192734763370472e-10;0.5938391749379653;BR16;32;32;-0.89453125
D05;CD202;NIRRIG;4;1938;mannwhitney;37.81802884615385;7.76607345152988e-10;1.71659979531463e-07;970.0;2.733366808877436e-12;8.192734763370472e-10;2.733366808877436e-12;8.192734763370472e-10;0.5938391749379653;BR16;32;32;-0.89453125
D05;CD202;NIRRIG;5;1940;mannwhitney;37.81802884615385;7.76607345152988e-10;1.71659979531463e-07;970.0;2.733366808877436e-12;8.192734763370472e-10;2.733366808877436e-12;8.192734763370472e-10;0.5938391749379653;BR16;32;32;-0.89453125
D05;EMB48;IRRIG;1;1731;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;BR16;32;32;1.0
D05;EMB48;IRRIG;2;1732;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;BR16;32;32;1.0
D05;EMB48;IRRIG;3;1733;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;BR16;32;32;1.0
D05;EMB48;IRRIG;4;1734;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;BR16;32;32;1.0
D05;EMB48;IRRIG;5;1735;mannwhitney;47.261538461538464;6.211923275036763e-12;1.6790424079870135e-10;0.0;1.0913312529929468e-18;5.595800999721335e-17;1.0913312529929468e-18;5.595800999721335e-17;0.7461538461538462;BR16;32;32;1.0
D05;EMB48;NIRRIG;1;1750;mannwhitney;22.211718750000003;2.4417887923868625e-06;9.432001201063452e-05;161.0;6.490214401531557e-07;3.537983562464687e-05;6.490214401531557e-07;3.537983562464687e-05;0.3421244959677419;BR16;32;32;0.685546875
D05;EMB48;NIRRIG;2;1751;mannwhitney;22.211718750000003;2.4417887923868625e-06;9.432001201063452e-05;161.0;6.490214401531557e-07;3.537983562464687e-05;6.490214401531557e-07;3.537983562464687e-05;0.3421244959677419;BR16;32;32;0.685546875
D05;EMB48;NIRRIG;3;1752;mannwhitney;22.211718750000003;2.4417887923868625e-06;9.432001201063452e-05;161.0;6.490214401531557e-07;3.537983562464687e-05;6.490214401531557e-07;3.537983562464687e-05;0.3421244959677419;BR16;32;32;0.685546875
D05;EMB48;NIRRIG;4;1753;mannwhitney;22.211718750000003;2.4417887923868625e-06;9.432001201063452e-05;161.0;6.490214401531557e-07;3.537983562464687e-05;6.490214401531557e-07;3.537983562464687e-05;0.3421244959677419;BR16;32;32;0.685546875
D05;EMB48;NIRRIG;5;1749;mannwhitney;22.08533653846154;2.607942921578752e-06;9.432001201063452e-05;162.0;7.063793083126001e-07;3.537983562464687e-05;7.063793083126001e-07;3.537983562464687e-05;0.3400860732009926;BR16;32;32;0.68359375
D06;BR16;IRRIG;1;719;mannwhitney;45.433413461538464;1.5791721092992038e-11;3.284850145083178e-09;10.0;1.516950441660196e-16;3.889081694806328e-14;1.516950441660196e-16;3.889081694806328e-14;0.716667959057072;EMB48;32;32;-0.98046875
D06;BR16;IRRIG;2;720;mannwhitney;45.433413461538464;1.5791721092992038e-11;3.284850145083178e-09;10.0;1.516950441660196e-16;3.889081694806328e-14;1.516950441660196e-16;3.889081694806328e-14;0.716667959057072;EMB48;32;32;-0.98046875
D06;BR16;IRRIG;3;721;mannwhitney;45.433413461538464;1.5791721092992038e-11;3.284850145083178e-09;10.0;1.516950441660196e-16;3.889081694806328e-14;1.516950441660196e-16;3.889081694806328e-14;0.716667959057072;EMB48;32;32;-0.98046875
D06;BR16;IRRIG;4;722;mannwhitney;45.433413461538464;1.5791721092992038e-11;3.284850145083178e-09;10.0;1.516950441660196e-16;3.889081694806328e-14;1.516950441660196e-16;3.889081694806328e-14;0.716667959057072;EMB48;32;32;-0.98046875
D06;BR16;IRRIG;5;723;mannwhitney;45.433413461538464;1.5791721092992038e-11;3.284850145083178e-09;10.0;1.516950441660196e-16;3.889081694806328e-14;1.516950441660196e-16;3.889081694806328e-14;0.716667959057072;EMB48;32;32;-0.98046875
D06;BR16;NIRRIG;1;717;mannwhitney;38.815384615384616;4.658418529041903e-10;7.557995968992177e-08;48.0;9.967237466709884e-13;1.7035670036851644e-10;9.967237466709884e-13;1.7035670036851644e-10;0.609925558312655;EMB48;32;32;-0.90625
D06;BR16;NIRRIG;2;718;mannwhitney;38.815384615384616;4.658418529041903e-10;7.557995968992177e-08;48.0;9.967237466709884e-13;1.7035670036851644e-10;9.967237466709884e-13;1.7035670036851644e-10;0.609925558312655;EMB48;32;32;-0.90625
D06;BR16;NIRRIG;3;719;mannwhitney;38.815384615384616;4.658418529041903e-10;7.557995968992177e-08;48.0;9.967237466709884e-13;1.7035670036851644e-10;9.967237466709884e-13;1.7035670036851644e-10;0.609925558312655;EMB48;32;32;-0.90625
D06;BR16;NIRRIG;4;720;mannwhitney;38.815384615384616;4.658418529041903e-10;7.557995968992177e-08;48.0;9.967237466709884e-13;1.7035670036851644e-10;9.967237466709884e-13;1.7035670036851644e-10;0.609925558312655;EMB48;32;32;-0.90625
D06;BR16;NIRRIG;5;721;mannwhitney;38.815384615384616;4.658418529041903e-10;7.557995968992177e-08;48.0;9.967237466709884e-13;1.7035670036851644e-10;9.967237466709884e-13;1.7035670036851644e-10;0.609925558312655;EMB48;32;32;-0.90625
D06;CD202;IRRIG;1;1398;mannwhitney;38.815384615384616;4.658418529041903e-10;2.057684314068293e-07;48.0;9.967237466709884e-13;5.68367745862096e-10;9.967237466709884e-13;5.68367745862096e-10;0.609925558312655;EMB48;32;32;-0.90625
D06;CD202;IRRIG;2;1399;mannwhitney;38.815384615384616;4.658418529041903e-10;2.057684314068293e-07;48.0;9.967237466709884e-13;5.68367745862096e-10;9.967237466709884e-13;5.68367745862096e-10;0.609925558312655;EMB48;32;32;-0.90625
D06;CD202;IRRIG;3;1400;mannwhitney;38.648257211538464;5.074855094390451e-10;2.057684314068293e-07;49.0;1.1840998661536124e-12;5.68367745862096e-10;1.1840998661536124e-12;5.68367745862096e-10;0.6072299550248139;EMB48;32;32;-0.904296875
D06;CD202;IRRIG;4;1401;mannwhitney;38.648257211538464;5.074855094390451e-10;2.057684314068293e-07;49.0;1.1840998661536124e-12;5.68367745862096e-10;1.1840998661536124e-12;5.68367745862096e-10;0.6072299550248139;EMB48;32;32;-0.904296875
D06;CD202;IRRIG;5;1402;mannwhitney;38.31508413461539;6.01955430736702e-10;2.057684314068293e-07;51.0;1.6627042784849222e-12;5.68367745862096e-10;1.6627042784849222e-12;5.68367745862096e-10;0.601856195719603;EMB48;32;32;-0.900390625
D06;CD202;NIRRIG;1;723;mannwhitney;29.28046875;6.262373147189395e-08;1.5538705948598494e-05;109.0;4.195225686618763e-09;1.2390701990103098e-06;4.195225686618763e-09;1.2390701990103098e-06;0.4561365927419355;EMB48;32;32;-0.787109375
D06;CD202;NIRRIG;2;722;mannwhitney;29.13533653846154;6.749464436755784e-08;1.5538705948598494e-05;110.0;4.6860200311357924e-09;1.2390701990103098e-06;4.6860200311357924e-09;1.2390701990103098e-06;0.4537957506203474;EMB48;32;32;-0.78515625
