dia;condicao;banda_nm;genotipo_a;genotipo_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;IRRIG;482;BR16;CD202;-0.013947894361457713;1.2289537750564552;3.3683924527252396;False;7.572161236230441;0.0008980157146124499
D02;IRRIG;483;BR16;CD202;-0.014059148493664075;1.2391088067021314;3.3683924527252396;False;7.561250216069723;0.000906482365360564
D02;IRRIG;484;BR16;CD202;-0.014167966578604307;1.2495874243590037;3.3683924527252396;False;7.580722819935653;0.0008914287516830189
D02;IRRIG;485;BR16;CD202;-0.014364449725759565;1.266894329045985;3.3683924527252396;False;7.612818708270004;0.000867171553959304
D02;IRRIG;486;BR16;CD202;-0.014619770898844475;1.2885312188107299;3.3683924527252396;False;7.638257946965119;0.0008484249453704342
D02;IRRIG;487;BR16;CD202;-0.014747581887210481;1.299016265300902;3.3683924527252396;False;7.658128554492521;0.0008340702679712829
D02;IRRIG;488;BR16;CD202;-0.014908613772307122;1.3126355950947486;3.3683924527252396;False;7.668059458085137;0.0008269893291300454
D02;IRRIG;489;BR16;CD202;-0.015180550281936434;1.3363715273169599;3.3683924527252396;False;7.682751628013147;0.0008166259557022893
D02;IRRIG;490;BR16;CD202;-0.015560302756085775;1.3702726758415595;3.3683924527252396;False;7.7150180697667095;0.0007943293146380009
D02;IRRIG;491;BR16;CD202;-0.0158165395996277;1.393773161193759;3.3683924527252396;False;7.7136681896448165;0.0007952495225918948
D02;IRRIG;492;BR16;CD202;-0.015968387233864068;1.4077322496329752;3.3683924527252396;False;7.701775764412411;0.000803403748629621
D02;IRRIG;493;BR16;CD202;-0.016130466245465547;1.4225522420373755;3.3683924527252396;False;7.683726488525968;0.0008159430323077852
D02;IRRIG;494;BR16;CD202;-0.01639598684640231;1.44710405995698;3.3683924527252396;False;7.652594024273011;0.0008380433472316319
D02;IRRIG;495;BR16;CD202;-0.01689502970261092;1.4917729533246207;3.3683924527252396;False;7.653290813087271;0.000837542080790762
D02;IRRIG;496;BR16;CD202;-0.017476960955164822;1.5432075617535366;3.3683924527252396;False;7.645872532504066;0.0008428945203430501
D02;IRRIG;497;BR16;CD202;-0.018040118015292483;1.5929790495544776;3.3683924527252396;False;7.61021186713822;0.0008691163290322274
D02;IRRIG;498;BR16;CD202;-0.018795526788683237;1.6605410457482532;3.3683924527252396;False;7.58826194572962;0.0008856693010483189
D02;IRRIG;499;BR16;CD202;-0.01971392338089606;1.7429389587239341;3.3683924527252396;False;7.5873660569396435;0.0008863517127675103
D02;IRRIG;500;BR16;CD202;-0.02074886343354576;1.8369156450111157;3.3683924527252396;False;7.607998810261095;0.0008707708265920385
D02;IRRIG;501;BR16;CD202;-0.021818284971380386;1.93513966506088;3.3683924527252396;False;7.613299458536767;0.0008668133868346024
D02;IRRIG;502;BR16;CD202;-0.022915330310157245;2.036067802837841;3.3683924527252396;False;7.595654138624664;0.0008800590026165125
D02;IRRIG;503;BR16;CD202;-0.024076311968906028;2.1442251087900446;3.3683924527252396;False;7.581416141438242;0.0008908975009447728
D02;IRRIG;504;BR16;CD202;-0.025414286443447676;2.2695419638076944;3.3683924527252396;False;7.583605525573905;0.0008892220291744011
D02;IRRIG;505;BR16;CD202;-0.027024604140554853;2.420269254997918;3.3683924527252396;False;7.613717018662924;0.0008665024200667843
D02;IRRIG;506;BR16;CD202;-0.028751572100626177;2.5823165712309937;3.3683924527252396;False;7.63655645060251;0.0008496657898279283
D02;IRRIG;507;BR16;CD202;-0.030629456781664732;2.759920599506777;3.3683924527252396;False;7.657095600507268;0.0008348103326270384
D02;IRRIG;508;BR16;CD202;-0.03275409180394728;2.9625337841454034;3.3683924527252396;False;7.713417770085531;0.0007954203523273391
D02;IRRIG;509;BR16;CD202;-0.035206115643841907;3.199502588671795;3.3683924527252396;False;7.8619627717054925;0.0007003881986490741
D02;IRRIG;510;BR16;CD202;-0.03795305254031489;3.4685237875934494;3.3683924527252396;True;8.06175094560336;0.0005905496450017915
D02;IRRIG;511;BR16;CD202;-0.04093695631923677;3.7657693450384797;3.3683924527252396;True;8.32554654662556;0.0004719046042187142
D02;IRRIG;512;BR16;CD202;-0.04414098272909994;4.0901508261201585;3.3683924527252396;True;8.668613778073269;0.0003530863927980425
D02;IRRIG;513;BR16;CD202;-0.04762442961960556;4.447688351400951;3.3683924527252396;True;9.112176522335174;0.00024331131322032946
D02;IRRIG;514;BR16;CD202;-0.05133573520119006;4.830428598863411;3.3683924527252396;True;9.651798267859135;0.00015529293347913605
D02;IRRIG;515;BR16;CD202;-0.05518064959934188;5.231449143339189;3.3683924527252396;True;10.282581223966023;9.237590939175486e-05
D02;IRRIG;516;BR16;CD202;-0.05915516313908098;5.651346631589875;3.3683924527252396;True;11.034028866150333;5.0125615474414095e-05
D02;IRRIG;517;BR16;CD202;-0.06332004528956703;6.096043062974496;3.3683924527252396;True;11.947514963285135;2.409577762118262e-05
D02;IRRIG;518;BR16;CD202;-0.06757302393180309;6.554621722801324;3.3683924527252396;True;13.009447576063566;1.0430787257192208e-05
D02;IRRIG;519;BR16;CD202;-0.07188486505535363;7.02337725403837;3.3683924527252396;True;14.23071043809185;4.055771647342449e-06
D02;IRRIG;520;BR16;CD202;-0.07622108882789669;7.496872895553602;3.3683924527252396;True;15.583310709853881;1.4562331957746493e-06
D02;IRRIG;521;BR16;CD202;-0.08046271381435122;7.964798730211092;3.3683924527252396;True;17.07060334552854;4.843316053252204e-07
D02;IRRIG;522;BR16;CD202;-0.08451770364830091;8.415632822882516;3.3683924527252396;True;18.636742561491904;1.5618942770526622e-07
D02;IRRIG;523;BR16;CD202;-0.08839766284797856;8.84785757730085;3.3683924527252396;True;20.254597384017043;4.990998022524747e-08
D02;IRRIG;524;BR16;CD202;-0.09211492315961145;9.252546355300034;3.3683924527252396;True;21.880668170198955;1.6299038813335506e-08
D02;IRRIG;525;BR16;CD202;-0.09557023042317092;9.625609055238847;3.3683924527252396;True;23.473709684143483;5.585853153632062e-09
D02;IRRIG;526;BR16;CD202;-0.09880046829474498;9.975622161434458;3.3683924527252396;True;25.06217292136141;1.9668836632715815e-09
D02;IRRIG;527;BR16;CD202;-0.10187864758308063;10.308772122775034;3.3683924527252396;True;26.665686284541184;7.018848324699955e-10
D02;IRRIG;528;BR16;CD202;-0.10463839999347124;10.602014987211422;3.3683924527252396;True;28.141336641478887;2.773446801055165e-10
D02;IRRIG;529;BR16;CD202;-0.10711774228993542;10.859085775564134;3.3683924527252396;True;29.48913730483283;1.206748884911564e-10
D02;IRRIG;530;BR16;CD202;-0.10933141190272555;11.086762627824319;3.3683924527252396;True;30.729076403701523;5.685297559347891e-11
D02;IRRIG;531;BR16;CD202;-0.11119242820002118;11.275315180661247;3.3683924527252396;True;31.79015195721457;3.0142584354115074e-11
D02;IRRIG;532;BR16;CD202;-0.11274851276215547;11.428135112713786;3.3683924527252396;True;32.67478637453503;1.7876045342749446e-11
D02;IRRIG;533;BR16;CD202;-0.114120358404187;11.556221218900058;3.3683924527252396;True;33.433947122361594;1.1469877292253706e-11
D02;IRRIG;534;BR16;CD202;-0.11540458363912309;11.668842317904623;3.3683924527252396;True;34.11495133604966;7.731025187557319e-12
D02;IRRIG;535;BR16;CD202;-0.11649529301545813;11.758257168495122;3.3683924527252396;True;34.670145896569714;5.618664800073465e-12
D02;IRRIG;536;BR16;CD202;-0.117458479793205;11.83559161585692;3.3683924527252396;True;35.15933926963073;4.249029490077935e-12
D02;IRRIG;537;BR16;CD202;-0.11837199488007655;11.907056168573419;3.3683924527252396;True;35.615770426808155;3.2788890174571107e-12
D02;IRRIG;538;BR16;CD202;-0.11913360621963642;11.956471123917535;3.3683924527252396;True;35.94514606432231;2.7219838391665087e-12
D02;IRRIG;539;BR16;CD202;-0.11974782156689967;11.988487556714121;3.3683924527252396;True;36.16971270006774;2.3985754909316128e-12
D02;IRRIG;540;BR16;CD202;-0.12022196438985855;12.0074611929409;3.3683924527252396;True;36.31488748785738;2.2106549332007264e-12
D02;IRRIG;541;BR16;CD202;-0.12059625150108988;12.019442012081399;3.3683924527252396;True;36.417726509018436;2.0866944868931887e-12
D02;IRRIG;542;BR16;CD202;-0.12096814174940462;12.032142083300034;3.3683924527252396;True;36.51980181562402;1.9706686942324357e-12
D02;IRRIG;543;BR16;CD202;-0.12133779170041459;12.046964407079791;3.3683924527252396;True;36.63410184038585;1.8485409865885434e-12
D02;IRRIG;544;BR16;CD202;-0.12172373426603911;12.064540875549483;3.3683924527252396;True;36.76928547399801;1.7140257449708264e-12
D02;IRRIG;545;BR16;CD202;-0.1221513995481942;12.085305561282237;3.3683924527252396;True;36.92806353619212;1.5687246468013623e-12
D02;IRRIG;546;BR16;CD202;-0.12260410250295606;12.109677502564999;3.3683924527252396;True;37.112472008545595;1.415656389343975e-12
D02;IRRIG;547;BR16;CD202;-0.12308123494471501;12.136484158065263;3.3683924527252396;True;37.31394354577229;1.2657720808147157e-12
D02;IRRIG;548;BR16;CD202;-0.1235151353997268;12.156045015927884;3.3683924527252396;True;37.472185625536625;1.1594807760596936e-12
D02;IRRIG;549;BR16;CD202;-0.12379355639728384;12.159741692299544;3.3683924527252396;True;37.53094446699856;1.1223735533634662e-12
D02;IRRIG;550;BR16;CD202;-0.1239552845585663;12.152438399639527;3.3683924527252396;True;37.5172420124905;1.1309169900559643e-12
D02;IRRIG;551;BR16;CD202;-0.12404627481773156;12.140614039201072;3.3683924527252396;True;37.46716750928556;1.1627073254024761e-12
D02;IRRIG;552;BR16;CD202;-0.12404136872496485;12.122887057168874;3.3683924527252396;True;37.367515486588225;1.2287163948562563e-12
D02;IRRIG;553;BR16;CD202;-0.12385121487994666;12.091111202365818;3.3683924527252396;True;37.17276128123446;1.3689941626916743e-12
D02;IRRIG;554;BR16;CD202;-0.1234948002707672;12.045915522662368;3.3683924527252396;True;36.884885442774234;1.6069455625284796e-12
D02;IRRIG;555;BR16;CD202;-0.12300570125573218;11.989898760102994;3.3683924527252396;True;36.51984463509328;1.9706214312810465e-12
D02;IRRIG;556;BR16;CD202;-0.1223756235692921;11.920942536249242;3.3683924527252396;True;36.06689293101631;2.5414759625533575e-12
D02;IRRIG;557;BR16;CD202;-0.12164749887355208;11.843321876004524;3.3683924527252396;True;35.551775341792776;3.3999390730528908e-12
