dia;celula_a;celula_b;tipo;regiao;bandas;bandas_sig;r_mediano;prop_sig
D03;BR16|NIRRIG;CD202|NIRRIG;genotipo;SWIR1;336;158;0.14756543284088963;0.47023809523809523
D03;BR16|NIRRIG;CD202|NIRRIG;genotipo;SWIR2;651;181;0.10373411615547688;0.2780337941628264
D03;BR16|NIRRIG;CD202|NIRRIG;genotipo;VIS;300;103;0.07995156839839179;0.3433333333333333
D03;BR16|NIRRIG;CD202|NIRRIG;genotipo;red edge;80;80;0.40941696548374445;1.0
D03;BR16|NIRRIG;EMB48|IRRIG;cruzado;NIR;570;570;0.224107898830416;1.0
D03;BR16|NIRRIG;EMB48|IRRIG;cruzado;SWIR1;336;278;0.3326309921792991;0.8273809523809523
D03;BR16|NIRRIG;EMB48|IRRIG;cruzado;SWIR2;651;399;0.24318263849906788;0.6129032258064516
D03;BR16|NIRRIG;EMB48|IRRIG;cruzado;VIS;300;300;0.3256504491516223;1.0
D03;BR16|NIRRIG;EMB48|IRRIG;cruzado;red edge;80;80;0.38530974130676743;1.0
D03;BR16|NIRRIG;EMB48|NIRRIG;genotipo;NIR;570;0;0.08027624481828374;0.0
D03;BR16|NIRRIG;EMB48|NIRRIG;genotipo;SWIR1;336;0;0.01672083562443524;0.0
D03;BR16|NIRRIG;EMB48|NIRRIG;genotipo;SWIR2;651;60;0.06038981409990203;0.09216589861751152
D03;BR16|NIRRIG;EMB48|NIRRIG;genotipo;VIS;300;72;0.11233804128261346;0.24
D03;BR16|NIRRIG;EMB48|NIRRIG;genotipo;red edge;80;46;0.24261445476425697;0.575
D03;CD202|IRRIG;CD202|NIRRIG;estresse;NIR;570;570;0.3542219741021135;1.0
D03;CD202|IRRIG;CD202|NIRRIG;estresse;SWIR1;336;307;0.3673713691077374;0.9136904761904762
D03;CD202|IRRIG;CD202|NIRRIG;estresse;SWIR2;651;628;0.3530856066324917;0.9646697388632872
D03;CD202|IRRIG;CD202|NIRRIG;estresse;VIS;300;300;0.3917221005996333;1.0
D03;CD202|IRRIG;CD202|NIRRIG;estresse;red edge;80;52;0.28125094873139855;0.65
D03;CD202|IRRIG;EMB48|IRRIG;genotipo;NIR;570;515;0.19983833644349303;0.9035087719298246
D03;CD202|IRRIG;EMB48|IRRIG;genotipo;SWIR1;336;242;0.21566631191322538;0.7202380952380952
D03;CD202|IRRIG;EMB48|IRRIG;genotipo;SWIR2;651;512;0.20827992336068363;0.7864823348694316
D03;CD202|IRRIG;EMB48|IRRIG;genotipo;VIS;300;261;0.21152668755960308;0.87
D03;CD202|IRRIG;EMB48|IRRIG;genotipo;red edge;80;49;0.20876693799052154;0.6125
D03;CD202|IRRIG;EMB48|NIRRIG;cruzado;NIR;570;570;0.4959432313849481;1.0
D03;CD202|IRRIG;EMB48|NIRRIG;cruzado;SWIR1;336;312;0.5398557171753339;0.9285714285714286
D03;CD202|IRRIG;EMB48|NIRRIG;cruzado;SWIR2;651;651;0.4949692021252723;1.0
D03;CD202|IRRIG;EMB48|NIRRIG;cruzado;VIS;300;300;0.5666415218164195;1.0
D03;CD202|IRRIG;EMB48|NIRRIG;cruzado;red edge;80;54;0.46323208208083455;0.675
D03;CD202|NIRRIG;EMB48|IRRIG;cruzado;NIR;570;258;0.12914004601202167;0.45263157894736844
D03;CD202|NIRRIG;EMB48|IRRIG;cruzado;SWIR1;336;227;0.2192377525320368;0.6755952380952381
D03;CD202|NIRRIG;EMB48|IRRIG;cruzado;SWIR2;651;315;0.14253294833256447;0.4838709677419355
