dia;condicao;banda_nm;n_BR16;n_CD202;n_EMB48;F_anova;p_anova;eta2;significativo_anova
D09;NIRRIG;2048;32;32;32;15.004191469446361;2.251609768206689e-06;0.2439539665666533;True
D09;NIRRIG;2049;32;32;32;14.991077197140717;2.2740479100099726e-06;0.24379272376509595;True
D09;NIRRIG;2050;32;32;32;14.981523976826534;2.29053688951863e-06;0.2436752215588106;True
D09;NIRRIG;2051;32;32;32;14.96847792563445;2.313252027113319e-06;0.24351469941623663;True
D09;NIRRIG;2052;32;32;32;14.949801572376607;2.3461715498312355e-06;0.2432847818844212;True
D09;NIRRIG;2053;32;32;32;14.924985190317207;2.390655506535444e-06;0.24297906046007353;True
D09;NIRRIG;2054;32;32;32;14.89585025270804;2.443981786786461e-06;0.24261982188366252;True
D09;NIRRIG;2055;32;32;32;14.869371387777772;2.4935003399156176e-06;0.24229303725178997;True
D09;NIRRIG;2056;32;32;32;14.857743087161484;2.5155693547111326e-06;0.2421494393308336;True
D09;NIRRIG;2057;32;32;32;14.857862530731214;2.5153416549540805e-06;0.24215091461651916;True
D09;NIRRIG;2058;32;32;32;14.872775265035077;2.487077713819217e-06;0.24233506144716097;True
D09;NIRRIG;2059;32;32;32;14.882596067052594;2.468641823233503e-06;0.24245628273517905;True
D09;NIRRIG;2060;32;32;32;14.874588082633723;2.4836640871250647e-06;0.24235744055189137;True
D09;NIRRIG;2061;32;32;32;14.84771100116125;2.5347692445731225e-06;0.24202550932797143;True
D09;NIRRIG;2062;32;32;32;14.801792352815296;2.624579785498946e-06;0.24145774184913407;True
D09;NIRRIG;2063;32;32;32;14.748121935082452;2.733683353004745e-06;0.24079304751114078;True
D09;NIRRIG;2064;32;32;32;14.700533215042134;2.8342961757573964e-06;0.24020269829003665;True
D09;NIRRIG;2065;32;32;32;14.65871665241006;2.9258253584933915e-06;0.23968319570408136;True
D09;NIRRIG;2066;32;32;32;14.623597419559346;3.0050254195473044e-06;0.23924634735061984;True
D09;NIRRIG;2067;32;32;32;14.599947931467396;3.0595900700020757e-06;0.23895188827072963;True
D09;NIRRIG;2068;32;32;32;14.57838475146489;3.110223090296777e-06;0.23868320700991108;True
D09;NIRRIG;2069;32;32;32;14.547381978903983;3.1845257618058383e-06;0.2382965740272219;True
D09;NIRRIG;2070;32;32;32;14.530722461420455;3.2251992260784005e-06;0.23808865232761756;True
D09;NIRRIG;2071;32;32;32;14.524938680069509;3.2394438418953625e-06;0.2380164403969044;True
D09;NIRRIG;2072;32;32;32;14.526972546459136;3.2344274118614883e-06;0.23804183527865352;True
D09;NIRRIG;2073;32;32;32;14.547406910188371;3.18446528746883e-06;0.23829688510095445;True
D09;NIRRIG;2074;32;32;32;14.572185100975949;3.1249384732023194e-06;0.2386059230872858;True
D09;NIRRIG;2075;32;32;32;14.58933680157498;3.084400233327779e-06;0.23881969530890115;True
D09;NIRRIG;2076;32;32;32;14.602464457019357;3.0537360803338137e-06;0.23898323229320823;True
D09;NIRRIG;2077;32;32;32;14.607086226506999;3.043014616727351e-06;0.23904079098719558;True
D09;NIRRIG;2078;32;32;32;14.592505953094896;3.0769689074859067e-06;0.23885918126027786;True
D09;NIRRIG;2079;32;32;32;14.564645533286505;3.1429301418226e-06;0.23851191480915546;True
D09;NIRRIG;2080;32;32;32;14.542562172824203;3.196238943103778e-06;0.23823643135507946;True
D09;NIRRIG;2081;32;32;32;14.517705718793419;3.257348059218232e-06;0.23792611583430898;True
D09;NIRRIG;2082;32;32;32;14.491246072388083;3.3237111148386904e-06;0.2375955076436543;True
D09;NIRRIG;2083;32;32;32;14.46633488344686;3.3874527790842e-06;0.2372839848598912;True
D09;NIRRIG;2084;32;32;32;14.431643896778223;3.478305146435552e-06;0.2368497380642852;True
D09;NIRRIG;2085;32;32;32;14.392044672985111;3.58505971389632e-06;0.23635344732265454;True
D09;NIRRIG;2086;32;32;32;14.357563841844659;3.680739769591955e-06;0.23592077854376145;True
D09;NIRRIG;2087;32;32;32;14.316147518018292;3.799121598505557e-06;0.23540043396824467;True
D09;NIRRIG;2088;32;32;32;14.262170065004486;3.959268733053779e-06;0.23472120975512484;True
D09;NIRRIG;2089;32;32;32;14.198173957471614;4.158107394243077e-06;0.2339143508241222;True
D09;NIRRIG;2090;32;32;32;14.130964981787088;4.3779316009049136e-06;0.23306515055519705;True
D09;NIRRIG;2091;32;32;32;14.069195997301403;4.590428201504622e-06;0.2322830238315899;True
D09;NIRRIG;2092;32;32;32;14.019182205938836;4.770187478298239e-06;0.23164857314550946;True
D09;NIRRIG;2093;32;32;32;13.986682937884348;4.890835627755024e-06;0.23123574080343778;True
D09;NIRRIG;2094;32;32;32;13.960084011633528;4.991896886563883e-06;0.23089752916895345;True
D09;NIRRIG;2095;32;32;32;13.939427895131956;5.0718485658878635e-06;0.2306346764121951;True
D09;NIRRIG;2096;32;32;32;13.929662021606557;5.1101026462279426e-06;0.2305103413721894;True
D09;NIRRIG;2097;32;32;32;13.915549137830176;5.165905892265967e-06;0.23033059098881434;True
D09;NIRRIG;2098;32;32;32;13.899134582081144;5.231593811650564e-06;0.23012141942518258;True
D09;NIRRIG;2099;32;32;32;13.887487631801582;5.278719650913735e-06;0.22997293274522781;True
D09;NIRRIG;2100;32;32;32;13.871783017170555;5.342951037365547e-06;0.2297726242941215;True
D09;NIRRIG;2101;32;32;32;13.852956633546542;5.42100372006757e-06;0.22953236106823183;True
D09;NIRRIG;2102;32;32;32;13.837280946393056;5.486882068383136e-06;0.22933219278951025;True
D09;NIRRIG;2103;32;32;32;13.82176974469499;5.552874299665244e-06;0.22913402247967946;True
D09;NIRRIG;2104;32;32;32;13.794894689289706;5.669139642992286e-06;0.22879042679114453;True
D09;NIRRIG;2105;32;32;32;13.763956575135966;5.806066162444343e-06;0.22839450572707293;True
D09;NIRRIG;2106;32;32;32;13.738001982405018;5.923540225531197e-06;0.2280620460555409;True
D09;NIRRIG;2107;32;32;32;13.708263044285845;6.06113190032249e-06;0.22768075927058068;True
D09;NIRRIG;2108;32;32;32;13.68079486826652;6.1911175175531945e-06;0.22732825144987304;True
D09;NIRRIG;2109;32;32;32;13.662483476183697;6.2793498915294015e-06;0.22709307672766224;True
D09;NIRRIG;2110;32;32;32;13.641556453544483;6.381759921651472e-06;0.22682413389287184;True
D09;NIRRIG;2111;32;32;32;13.62509507204389;6.463514396897087e-06;0.22661244952241402;True
D09;NIRRIG;2112;32;32;32;13.62079725254922;6.4850348587888644e-06;0.2265571628289024;True
D09;NIRRIG;2113;32;32;32;13.626894195153952;6.454527325777413e-06;0.22663559090421534;True
D09;NIRRIG;2114;32;32;32;13.641049325495233;6.384262705601381e-06;0.2268176142332865;True
D09;NIRRIG;2115;32;32;32;13.664634499499533;6.268919075755423e-06;0.22712070991826935;True
D09;NIRRIG;2116;32;32;32;13.689593906027097;6.1491713655967e-06;0.2274412073189995;True
D09;NIRRIG;2117;32;32;32;13.697380907187599;6.1122918945722795e-06;0.22754114382993237;True
D09;NIRRIG;2118;32;32;32;13.680787396079952;6.191153262369425e-06;0.2273281555131512;True
D09;NIRRIG;2119;32;32;32;13.643617096166167;6.371600521310232e-06;0.22685062447027107;True
D09;NIRRIG;2120;32;32;32;13.593471648385416;6.623585173323954e-06;0.22620546417957935;True
D09;NIRRIG;2121;32;32;32;13.536986469903479;6.919650533495729e-06;0.22547744758457464;True
D09;NIRRIG;2122;32;32;32;13.480778247369662;7.227695147397782e-06;0.2247516394631114;True
D09;NIRRIG;2123;32;32;32;13.43598505417018;7.4831888484215115e-06;0.22417225715113764;True
D09;NIRRIG;2124;32;32;32;13.404747851009612;7.666805410044241e-06;0.2237677034272617;True
D09;NIRRIG;2125;32;32;32;13.387279032270644;7.771489639714627e-06;0.2235412803620085;True
D09;NIRRIG;2126;32;32;32;13.384267495342625;7.789683700073047e-06;0.2235022328090355;True
D09;NIRRIG;2127;32;32;32;13.389575204027537;7.757646595504758e-06;0.22357104985989443;True
D09;NIRRIG;2128;32;32;32;13.397083426422242;7.712556990586627e-06;0.2236683768230428;True
D09;NIRRIG;2129;32;32;32;13.403907004534672;7.67181114261486e-06;0.2237568077741575;True
D09;NIRRIG;2130;32;32;32;13.418780590708401;7.5837563220491845e-06;0.22394949393862085;True
D09;NIRRIG;2131;32;32;32;13.438784042473081;7.466956868086297e-06;0.22420848632748797;True
D09;NIRRIG;2132;32;32;32;13.460730248642287;7.3409258432741855e-06;0.22449243351146617;True
D09;NIRRIG;2133;32;32;32;13.483022625616094;7.215130484396336e-06;0.2247806468468645;True
D09;NIRRIG;2134;32;32;32;13.50172965919917;7.111267398296154e-06;0.2250223407872901;True
D09;NIRRIG;2135;32;32;32;13.50907426422709;7.070908180604092e-06;0.22511719152248588;True
D09;NIRRIG;2136;32;32;32;13.506393845016254;7.085610124130154e-06;0.2250825783649055;True
D09;NIRRIG;2137;32;32;32;13.500420690438615;7.118484960098498e-06;0.22500543388006575;True
D09;NIRRIG;2138;32;32;32;13.49355980218882;7.1564380018846995e-06;0.22491680518175416;True
D09;NIRRIG;2139;32;32;32;13.473099827195357;7.270850402554554e-06;0.22465238358557976;True
D09;NIRRIG;2140;32;32;32;13.445845423774353;7.426165920387064e-06;0.22429987147102223;True
D09;NIRRIG;2141;32;32;32;13.410240972726102;7.634185712559348e-06;0.22383887554101245;True
D09;NIRRIG;2142;32;32;32;13.36490350857231;7.90771432429925e-06;0.22325106573768272;True
D09;NIRRIG;2143;32;32;32;13.31589921598163;8.214643871630891e-06;0.22261471265191454;True
D09;NIRRIG;2144;32;32;32;13.277129760334947;8.466074782886413e-06;0.22211052644325813;True
D09;NIRRIG;2145;32;32;32;13.24782956896301;8.661300405116351e-06;0.2217290513234779;True
D09;NIRRIG;2146;32;32;32;13.232911997458928;8.762456041428428e-06;0.22153468757762662;True
D09;NIRRIG;2147;32;32;32;13.232392211740258;8.766002372025987e-06;0.22152791344491746;True
D09;NIRRIG;2148;32;32;32;13.233174791351285;8.760663641128946e-06;0.22153811240696525;True
D09;NIRRIG;2149;32;32;32;13.22283439684478;8.831474251127587e-06;0.22140332973786916;True
D09;NIRRIG;2150;32;32;32;13.207370608606734;8.938462308266923e-06;0.22120167868693433;True
D09;NIRRIG;2151;32;32;32;13.177452978385798;9.149225333064743e-06;0.22081124982258302;True
D09;NIRRIG;2152;32;32;32;13.14987368241951;9.348011593627611e-06;0.2204509895935479;True
D09;NIRRIG;2153;32;32;32;13.137581915553627;9.438024403787466e-06;0.220290318513523;True
D09;NIRRIG;2154;32;32;32;13.1405994007331;9.415845636763283e-06;0.2203297675202704;True
D09;NIRRIG;2155;32;32;32;13.157134775104792;9.295250992531954e-06;0.22054587141512078;True
D09;NIRRIG;2156;32;32;32;13.175939814102389;9.160019139830854e-06;0.22079149243643248;True
D09;NIRRIG;2157;32;32;32;13.184662484215021;9.097976135629246e-06;0.22090537058330537;True
D09;NIRRIG;2158;32;32;32;13.172749806758047;9.182816955749978e-06;0.22074983722748118;True
D09;NIRRIG;2159;32;32;32;13.15577116027572;9.30513604970194e-06;0.22052805461068348;True
D09;NIRRIG;2160;32;32;32;13.14090595773095;9.413595398518355e-06;0.2203337750611007;True
D09;NIRRIG;2161;32;32;32;13.127294292432035;9.514041217250825e-06;0.22015579355406317;True
D09;NIRRIG;2162;32;32;32;13.136570109236821;9.445473205556386e-06;0.22027708979866636;True
D09;NIRRIG;2163;32;32;32;13.16146462660705;9.263934270103714e-06;0.22060243926256998;True
D09;NIRRIG;2164;32;32;32;13.187842703565074;9.075462656659678e-06;0.22094688141203975;True
D09;NIRRIG;2165;32;32;32;13.220883552433458;8.84489897472675e-06;0.2213778960725832;True
D09;NIRRIG;2166;32;32;32;13.251198879826006;8.63861881556128e-06;0.22177293725063738;True
D09;NIRRIG;2167;32;32;32;13.270187543002436;8.511920278440101e-06;0.22202017575158228;True
D09;NIRRIG;2168;32;32;32;13.273000433507736;8.493313834077207e-06;0.22205678713205632;True
D09;NIRRIG;2169;32;32;32;13.276247306521038;8.471888370953722e-06;0.22209904275929215;True
D09;NIRRIG;2170;32;32;32;13.27766047132584;8.462580432048646e-06;0.22211743261004452;True
D09;NIRRIG;2171;32;32;32;13.27546093678991;8.477072395103545e-06;0.22208880916582413;True
D09;NIRRIG;2172;32;32;32;13.273515761144955;8.489909598702636e-06;0.22206349404284567;True
D09;NIRRIG;2173;32;32;32;13.271555270125132;8.50286797013845e-06;0.22203797793360228;True
D09;NIRRIG;2174;32;32;32;13.259400734898156;8.583658688551549e-06;0.2218797473173951;True
D09;NIRRIG;2175;32;32;32;13.247667107055593;8.662395605319644e-06;0.22172693510055355;True
D09;NIRRIG;2176;32;32;32;13.2361243266619;8.740571845380001e-06;0.2215765497989338;True
D09;NIRRIG;2177;32;32;32;13.217288529041305;8.869692734493257e-06;0.2213310224661919;True
D09;NIRRIG;2178;32;32;32;13.19756113723256;9.007015741995767e-06;0.22107370696256834;True
D09;NIRRIG;2179;32;32;32;13.183240532096105;9.108060899608473e-06;0.22088680866794588;True
D09;NIRRIG;2180;32;32;32;13.17471693514087;9.168751767090944e-06;0.22077552457366792;True
D09;NIRRIG;2181;32;32;32;13.174045955521054;9.173546871970873e-06;0.22076676291298444;True
D09;NIRRIG;2182;32;32;32;13.17168265101977;9.190456458757558e-06;0.22073590128256038;True
D09;NIRRIG;2183;32;32;32;13.167836529918542;9.218043791079162e-06;0.22068567080215737;True
D09;NIRRIG;2184;32;32;32;13.148909133943183;9.355043183385932e-06;0.22043838395128004;True
D09;NIRRIG;2185;32;32;32;13.117819872895959;9.584602345992698e-06;0.22003186129353433;True
D09;NIRRIG;2186;32;32;32;13.090283661286367;9.792729452501522e-06;0.21967144401748578;True
D09;NIRRIG;2187;32;32;32;13.071471012300924;9.93757058338692e-06;0.21942501654192478;True
D09;NIRRIG;2188;32;32;32;13.059951036766828;1.0027342953609407e-05;0.21927403917281288;True
D09;NIRRIG;2189;32;32;32;13.057202220614439;1.0048885960163037e-05;0.2192380053758632;True
D09;NIRRIG;2190;32;32;32;13.056272594621792;1.0056182313380692e-05;0.21922581830282029;True
D09;NIRRIG;2191;32;32;32;13.058475752973518;1.0038899167609279e-05;0.21925470032401828;True
D09;NIRRIG;2192;32;32;32;13.046103730909618;1.0136348907946882e-05;0.2190924831936158;True
D09;NIRRIG;2193;32;32;32;13.02306495786374;1.032039977785146e-05;0.21879022807516282;True
D09;NIRRIG;2194;32;32;32;12.989296586485477;1.059635596310026e-05;0.21834678390593595;True
D09;NIRRIG;2195;32;32;32;12.929792005439696;1.1101113177665957e-05;0.21756414702336857;True
D09;NIRRIG;2196;32;32;32;12.86568455416512;1.1672462455455765e-05;0.21671921499408464;True
D09;NIRRIG;2197;32;32;32;12.806709674005385;1.2224587370837966e-05;0.2159403167769847;True
D09;NIRRIG;2198;32;32;32;12.74931283667046;1.2787570170751307e-05;0.21518077132499136;True
D09;NIRRIG;2199;32;32;32;12.71732217304217;1.3112779474974896e-05;0.214756792545941;True
D09;NIRRIG;2200;32;32;32;12.710909180188992;1.317898240916702e-05;0.21467174472034378;True
D09;NIRRIG;2201;32;32;32;12.727289197454342;1.301056093774266e-05;0.21488893666943945;True
D09;NIRRIG;2202;32;32;32;12.758836657203211;1.2692353707752123e-05;0.21530690403204716;True
D09;NIRRIG;2203;32;32;32;12.794771139637888;1.2339564765537493e-05;0.2157824525455454;True
D09;NIRRIG;2204;32;32;32;12.823237875410966;1.2067211619582817e-05;0.21615876568204145;True
D09;NIRRIG;2205;32;32;32;12.829115763572794;1.2011744603478733e-05;0.21623642285007189;True
D09;NIRRIG;2206;32;32;32;12.821333237767316;1.208524090866391e-05;0.21613359879114333;True
D09;NIRRIG;2207;32;32;32;12.803290778900294;1.2257401725067831e-05;0.2158951149377973;True
D09;NIRRIG;2208;32;32;32;12.782434398210409;1.245953811602508e-05;0.21561925598987008;True
D09;NIRRIG;2209;32;32;32;12.779599879030956;1.2487271415601048e-05;0.2155817499630509;True
D09;NIRRIG;2210;32;32;32;12.788472446533428;1.240067064809955e-05;0.21569913878395366;True
D09;NIRRIG;2211;32;32;32;12.810498798895226;1.2188324395397986e-05;0.21599040740378744;True
D09;NIRRIG;2212;32;32;32;12.848631558964968;1.1829443478655986e-05;0.2164941502686443;True
D09;NIRRIG;2213;32;32;32;12.880959802568595;1.153365360069437e-05;0.21692070733439733;True
D09;NIRRIG;2214;32;32;32;12.909725358830553;1.127681563823891e-05;0.21729986598754195;True
D09;NIRRIG;2215;32;32;32;12.938006973046717;1.1029992448002383e-05;0.21767228801789568;True
D09;NIRRIG;2216;32;32;32;12.969412222760985;1.0762366225173706e-05;0.2180854280883097;True
D09;NIRRIG;2217;32;32;32;12.998726128471787;1.0518547392538022e-05;0.21847066272317278;True
D09;NIRRIG;2218;32;32;32;13.010561170654666;1.0421714939786557e-05;0.2186260877854118;True
D09;NIRRIG;2219;32;32;32;13.004975869998932;1.0467299009826086e-05;0.21855274588147086;True
D09;NIRRIG;2220;32;32;32;12.97535338976855;1.0712488248521061e-05;0.21816353582189357;True
D09;NIRRIG;2221;32;32;32;12.92621933802108;1.1132189390419176e-05;0.2175171074655736;True
D09;NIRRIG;2222;32;32;32;12.891972486607147;1.1434626414738761e-05;0.2170659088568624;True
D09;NIRRIG;2223;32;32;32;12.877118292809245;1.1568402579115435e-05;0.21687004460721201;True
D09;NIRRIG;2224;32;32;32;12.879826474855061;1.1543894191855456e-05;0.21690576142571155;True
D09;NIRRIG;2225;32;32;32;12.90411285953684;1.1326464923864103e-05;0.2172259164958675;True
D09;NIRRIG;2226;32;32;32;12.942429741577683;1.099189543850743e-05;0.21773049651308168;True
D09;NIRRIG;2227;32;32;32;12.97401722569025;1.0723685149004784e-05;0.21814597081035964;True
D09;NIRRIG;2228;32;32;32;12.987320076278202;1.0612739681089687e-05;0.21832081289970842;True
D09;NIRRIG;2229;32;32;32;12.991449538801742;1.0578539075516557e-05;0.2183750713676662;True
D09;NIRRIG;2230;32;32;32;12.984792746247896;1.0633726968554727e-05;0.218287601700805;True
D09;NIRRIG;2231;32;32;32;12.980125212711133;1.0672598313011904e-05;0.21822625904521853;True
D09;NIRRIG;2232;32;32;32;13.007672004143528;1.0445269311811837e-05;0.21858815117549552;True
D09;NIRRIG;2233;32;32;32;13.044400271242306;1.01498418954107e-05;0.21907014281479392;True
D09;NIRRIG;2234;32;32;32;13.068073726857074;9.963959117129094e-06;0.2193804988017458;True
D09;NIRRIG;2235;32;32;32;13.079666274422479;9.874207022760577e-06;0.2195323856662415;True
D09;NIRRIG;2236;32;32;32;13.061943208786541;1.0011759404488952e-05;0.21930015216259183;True
D09;NIRRIG;2237;32;32;32;13.02752763249317;1.0284483911816114e-05;0.21884879400538176;True
D09;NIRRIG;2238;32;32;32;12.998218201029724;1.0522723683866937e-05;0.2184639909234251;True
D09;NIRRIG;2239;32;32;32;12.986481612344818;1.0619697703708968e-05;0.2183097951056131;True
D09;NIRRIG;2240;32;32;32;13.004027815718997;1.0475056689598222e-05;0.21854029538961334;True
D09;NIRRIG;2241;32;32;32;13.061124879557296;1.0018157699835249e-05;0.21928942587919734;True
D09;NIRRIG;2242;32;32;32;13.148118642221256;9.360809922039651e-06;0.22042805274522953;True
D09;NIRRIG;2243;32;32;32;13.254781007929983;8.61457111525881e-06;0.2218195897357729;True
D09;NIRRIG;2244;32;32;32;13.370888682853197;7.871038687908586e-06;0.22332871579176292;True
D09;NIRRIG;2245;32;32;32;13.491828749537554;7.166046448076818e-06;0.22489444030561503;True
D09;NIRRIG;2246;32;32;32;13.607744236556568;6.550845012656866e-06;0.22638920174749388;True
D09;NIRRIG;2247;32;32;32;13.70982212609652;6.053838124143555e-06;0.2277007578162953;True
D09;NIRRIG;2248;32;32;32;13.791865513403641;5.6823993022152965e-06;0.22875167978236693;True
D09;NIRRIG;2249;32;32;32;13.865238424976388;5.369953377023553e-06;0.229689118882691;True
D09;NIRRIG;2250;32;32;32;13.932827297432532;5.097671710363841e-06;0.23055064474907438;True
D09;NIRRIG;2251;32;32;32;13.998592842800308;4.846264325357062e-06;0.23138708166608576;True
D09;NIRRIG;2252;32;32;32;14.066505335286129;4.5999205085626044e-06;0.23224891806810194;True
D09;NIRRIG;2253;32;32;32;14.136254877524747;4.360207060584904e-06;0.23313205781058963;True
D09;NIRRIG;2254;32;32;32;14.208554908421306;4.12517317150643e-06;0.23404534879564953;True
D09;NIRRIG;2255;32;32;32;14.290514630887643;3.874330631194083e-06;0.23507803343429232;True
D09;NIRRIG;2256;32;32;32;14.369509645215325;3.6472997959721672e-06;0.23607073112580673;True
D09;NIRRIG;2257;32;32;32;14.437872595628358;3.4618113306165284e-06;0.23692774264430294;True
D09;NIRRIG;2258;32;32;32;14.499077856971411;3.3039256748594216e-06;0.23769339416848828;True
D09;NIRRIG;2259;32;32;32;14.557838618742744;3.1592643637560552e-06;0.23842702178904132;True
D09;NIRRIG;2260;32;32;32;14.637344596535877;2.9737654789825147e-06;0.2394174083472583;True
D09;NIRRIG;2261;32;32;32;14.7396289018176;2.7513682417005927e-06;0.24068775670487652;True
D09;NIRRIG;2262;32;32;32;14.846666638201677;2.5367765806152163e-06;0.24201260560351928;True
D09;NIRRIG;2263;32;32;32;14.95450772784411;2.3378314966017222e-06;0.2433427307573802;True
D09;NIRRIG;2264;32;32;32;15.048424326971958;2.177582586437614e-06;0.24449731234431268;True
D09;NIRRIG;2265;32;32;32;15.124123285720993;2.0566115098230065e-06;0.24542537044458732;True
D09;NIRRIG;2266;32;32;32;15.17168956215424;1.9841314664840202e-06;0.24600736042530244;True
D09;NIRRIG;2267;32;32;32;15.212445490166536;1.9241065876653874e-06;0.24650530973676188;True
D09;NIRRIG;2268;32;32;32;15.25122372297825;1.8687163168499358e-06;0.24697848566364713;True
D09;NIRRIG;2269;32;32;32;15.300066763868536;1.8012599838874377e-06;0.24757362839636501;True
D09;NIRRIG;2270;32;32;32;15.389810124301654;1.6837275599302535e-06;0.2486646847581568;True
D09;NIRRIG;2271;32;32;32;15.513803611732067;1.5340980709864965e-06;0.2501669420063937;True
D09;NIRRIG;2272;32;32;32;15.636062562883659;1.3998415857149914e-06;0.25164231394706527;True
D09;NIRRIG;2273;32;32;32;15.73958147276438;1.2955746808045784e-06;0.252887006954761;True
D09;NIRRIG;2274;32;32;32;15.79769780344045;1.24055040832678e-06;0.2535839743755026;True
D09;NIRRIG;2275;32;32;32;15.810886431229944;1.2283993710234176e-06;0.2537419596602881;True
D09;NIRRIG;2276;32;32;32;15.791841799921691;1.2459849967224835e-06;0.25351380443436405;True
D09;NIRRIG;2277;32;32;32;15.773997821159611;1.2626953099745906e-06;0.25329990643060796;True
D09;NIRRIG;2278;32;32;32;15.780357944299029;1.256713159589961e-06;0.2533761600794319;True
D09;NIRRIG;2279;32;32;32;15.819860961990727;1.2202004689672714e-06;0.25384942645554615;True
D09;NIRRIG;2280;32;32;32;15.898068887959383;1.151075658826088e-06;0.25478462989785167;True
D09;NIRRIG;2281;32;32;32;16.008179085426413;1.0604712275328178e-06;0.2560973510930295;True
D09;NIRRIG;2282;32;32;32;16.128937218230792;9.69444288252007e-07;0.25753170873759906;True
D09;NIRRIG;2283;32;32;32;16.240107164863915;8.927048565653857e-07;0.2588472971872575;True
