dia;banda_nm;genotipo_a;condicao_a;genotipo_b;condicao_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;457;BR16;IRRIG;CD202;NIRRIG;0.06422572455351161;4.670222849327139;4.0724590126981886;True;5.266812548507091;0.0001506133111855997
D02;458;BR16;IRRIG;CD202;NIRRIG;0.06377381217061595;4.6348717091319855;4.0724590126981886;True;5.241357871531347;0.00015832244903667456
D02;459;BR16;IRRIG;CD202;NIRRIG;0.0635000737486604;4.6120278260403005;4.0724590126981886;True;5.231811277870486;0.0001613145409554451
D02;460;BR16;IRRIG;CD202;NIRRIG;0.06325411418294058;4.5901162776489555;4.0724590126981886;True;5.220608236015791;0.00016489809469680491
D02;461;BR16;IRRIG;CD202;NIRRIG;0.06281216589817595;4.552731750306873;4.0724590126981886;True;5.198072791644968;0.00017234985677907154
D02;462;BR16;IRRIG;CD202;NIRRIG;0.0625282132103262;4.526629428091305;4.0724590126981886;True;5.171710154211077;0.00018149620011592205
D02;463;BR16;IRRIG;CD202;NIRRIG;0.06244218358109177;4.515723688510577;4.0724590126981886;True;5.157511271939819;0.00018662216311074909
D02;464;BR16;IRRIG;CD202;NIRRIG;0.06238568400969413;4.50769391594639;4.0724590126981886;True;5.150863589224252;0.00018907162241616754
D02;465;BR16;IRRIG;CD202;NIRRIG;0.06219657435202297;4.488924192407976;4.0724590126981886;True;5.135915981474189;0.00019469753354455776
D02;466;BR16;IRRIG;CD202;NIRRIG;0.062162533269708664;4.483249880657205;4.0724590126981886;True;5.131359747087893;0.0001964454869181
D02;467;BR16;IRRIG;CD202;NIRRIG;0.062115502678039114;4.47781931170392;4.0724590126981886;True;5.125075568508201;0.00019888215327199386
D02;468;BR16;IRRIG;CD202;NIRRIG;0.061910373575049915;4.460140305886497;4.0724590126981886;True;5.1088236209614974;0.00020532500422496564
D02;469;BR16;IRRIG;CD202;NIRRIG;0.061741216564217716;4.444602295253792;4.0724590126981886;True;5.093082886497493;0.00021176429317701514
D02;470;BR16;IRRIG;CD202;NIRRIG;0.06169513852671882;4.437950115492277;4.0724590126981886;True;5.075507280369398;0.00021919333443741178
D02;471;BR16;IRRIG;CD202;NIRRIG;0.061623076551910794;4.430149511981855;4.0724590126981886;True;5.059378725643016;0.0002262400149561857
D02;472;BR16;IRRIG;CD202;NIRRIG;0.061383878100393474;4.410724179221563;4.0724590126981886;True;5.037513882636932;0.0002361562945047405
D02;473;BR16;IRRIG;CD202;NIRRIG;0.06106859883518023;4.385699189902397;4.0724590126981886;True;5.005598639649345;0.0002514166732884109
D02;474;BR16;IRRIG;CD202;NIRRIG;0.06077378720851656;4.363926396978738;4.0724590126981886;True;4.992297310756385;0.0002580644825599384
D02;475;BR16;IRRIG;CD202;NIRRIG;0.060517554253227024;4.346005258278252;4.0724590126981886;True;4.998180192103162;0.00025510288590064646
D02;476;BR16;IRRIG;CD202;NIRRIG;0.06032718351724031;4.332139622242016;4.0724590126981886;True;5.002824005428143;0.0002527891034963327
D02;477;BR16;IRRIG;CD202;NIRRIG;0.06008094495107508;4.312572743823511;4.0724590126981886;True;4.991989679878022;0.00025822029499085095
D02;478;BR16;IRRIG;CD202;NIRRIG;0.059777258758651364;4.288318404543539;4.0724590126981886;True;4.968045676709189;0.0002706409938394099
D02;479;BR16;IRRIG;CD202;NIRRIG;0.059542852464051776;4.2706796238693645;4.0724590126981886;True;4.948222291553541;0.00028137518088343903
D02;480;BR16;IRRIG;CD202;NIRRIG;0.059319116588552934;4.25468923841434;4.0724590126981886;True;4.9321412481354745;0.0002903950107293508
D02;481;BR16;IRRIG;CD202;NIRRIG;0.059039784184522714;4.2349802549884;4.0724590126981886;True;4.9113742911160445;0.00030247237442051876
