dia;genotipo;banda_nm;n_irrig;n_nirrig;H;p_valor;q_fdr;epsilon2;delta_cliff;significativa
D02;BR16;452;32;32;3.5336538461538463;0.06013512991934153;0.26742495788709203;0.040865384615384616;-0.2734375;False
D02;BR16;453;32;32;3.4833533653846156;0.06198900352317237;0.26742495788709203;0.04005408653846154;-0.271484375;False
D02;BR16;454;32;32;3.433413461538462;0.06388992167951003;0.26742495788709203;0.039248604218362286;-0.26953125;False
D02;BR16;455;32;32;3.433413461538462;0.06388992167951003;0.26742495788709203;0.039248604218362286;-0.26953125;False
D02;BR16;456;32;32;3.433413461538462;0.06388992167951003;0.26742495788709203;0.039248604218362286;-0.26953125;False
D02;BR16;457;32;32;3.4833533653846156;0.06198900352317237;0.26742495788709203;0.04005408653846154;-0.271484375;False
D02;BR16;458;32;32;3.383834134615385;0.06583872683408643;0.27170066144207494;0.038448937655086855;-0.267578125;False
D02;BR16;459;32;32;3.433413461538462;0.06388992167951003;0.26742495788709203;0.039248604218362286;-0.26953125;False
D02;BR16;460;32;32;3.433413461538462;0.06388992167951003;0.26742495788709203;0.039248604218362286;-0.26953125;False
D02;BR16;461;32;32;3.433413461538462;0.06388992167951003;0.26742495788709203;0.039248604218362286;-0.26953125;False
D02;BR16;462;32;32;3.433413461538462;0.06388992167951003;0.26742495788709203;0.039248604218362286;-0.26953125;False
D02;BR16;463;32;32;3.433413461538462;0.06388992167951003;0.26742495788709203;0.039248604218362286;-0.26953125;False
D02;BR16;464;32;32;3.4833533653846156;0.06198900352317237;0.26742495788709203;0.04005408653846154;-0.271484375;False
D02;BR16;465;32;32;3.3346153846153848;0.06783626517251673;0.27715573679050165;0.037655086848635236;-0.265625;False
D02;BR16;466;32;32;3.2372596153846156;0.07198094261426366;0.28500562413485475;0.03608483250620348;-0.26171875;False
D02;BR16;467;32;32;3.1891225961538465;0.07412978940452035;0.2896003772736595;0.03530842897022333;-0.259765625;False
D02;BR16;468;32;32;3.2372596153846156;0.07198094261426366;0.28500562413485475;0.03608483250620348;-0.26171875;False
D02;BR16;469;32;32;3.141346153846154;0.07633078395530828;0.29045350258318603;0.034537841191067;-0.2578125;False
D02;BR16;470;32;32;3.141346153846154;0.07633078395530828;0.29045350258318603;0.034537841191067;-0.2578125;False
D02;BR16;471;32;32;3.141346153846154;0.07633078395530828;0.29045350258318603;0.034537841191067;-0.2578125;False
D02;BR16;472;32;32;3.0939302884615385;0.07858478537649954;0.29628197574853044;0.033773069168734494;-0.255859375;False
D02;BR16;473;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
D02;BR16;474;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
D02;BR16;475;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
D02;BR16;476;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
D02;BR16;477;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
D02;BR16;478;32;32;3.0001802884615385;0.08325525157553493;0.3093415235170691;0.03226097239454094;-0.251953125;False
D02;BR16;479;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
D02;BR16;480;32;32;2.9078725961538465;0.08814807988702052;0.31551782172474535;0.030772138647642687;-0.248046875;False
D02;BR16;481;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
D02;BR16;482;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
D02;BR16;483;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
