dia;banda_nm;n;F_genotipo;p_genotipo;q_genotipo;sig_genotipo_0.05;sig_genotipo_0.01;sig_genotipo_0.001;F_condicao;p_condicao;q_condicao;sig_condicao_0.05;sig_condicao_0.01;sig_condicao_0.001;F_interacao;p_interacao;q_interacao;sig_interacao_0.05;sig_interacao_0.01;sig_interacao_0.001
D02;449;192;3.508923340480987;0.031925627837192765;0.07721634751660655;False;False;False;13.213674850101388;0.00035957651579713164;0.001731200549060838;True;True;False;2.925835260304225;0.05609244842685366;0.060423115400985744;False;False;False
D02;450;192;3.5454651676904314;0.03082119222889665;0.07525507769222266;False;False;False;13.086160781302244;0.0003831605578029776;0.0018191257038284883;True;True;False;2.9292090410982503;0.05590927986943831;0.0602574529754167;False;False;False
D02;451;192;3.5395953566475105;0.030995961972059415;0.0755918168902424;False;False;False;12.955656873383331;0.00040893218220053686;0.0019369974727327971;True;True;False;2.9057412591730545;0.05719602189750043;0.06125798481032552;False;False;False
D02;452;192;3.5608837787593792;0.030366842604444246;0.07432266608796557;False;False;False;12.732020502417017;0.00045727546605661245;0.0021461601393183345;True;True;False;2.8804734658823645;0.05861495152900611;0.06251651876546621;False;False;False
D02;453;192;3.5842411960589007;0.02969141556678785;0.07310575429469614;False;False;False;12.621170283057781;0.00048335883155686956;0.0022480021848597267;True;True;False;2.9216350557320276;0.05632133286783516;0.060584355589673934;False;False;False
D02;454;192;3.619920594527969;0.02868886229101842;0.07140880650349365;False;False;False;12.443189630011988;0.0005284517836716628;0.0024301672832075794;True;True;False;2.9740963575403967;0.0535290167237191;0.05811578622561647;False;False;False
D02;455;192;3.6583126990189716;0.027648254331698135;0.06932343476077368;False;False;False;12.404652462507633;0.0005387675782862665;0.0024555828957002947;True;True;False;2.9478774752055497;0.054906610120051616;0.059301452004331685;False;False;False
D02;456;192;3.6485487833599035;0.027909229431421698;0.06989234378979964;False;False;False;12.422756197943942;0.0005338961647912486;0.002438799630260247;True;True;False;2.9687483322178267;0.0538071478389708;0.05835984146892074;False;False;False
D02;457;192;3.6767977997387558;0.027160910160398156;0.06835218004782406;False;False;False;12.42644559510483;0.0005329089306178028;0.002438799630260247;True;True;False;2.9544602387168606;0.05455740481198352;0.05901753020536825;False;False;False
D02;458;192;3.7066284482607723;0.026392690738597145;0.06707341854990508;False;False;False;12.20733993505965;0.0005948943459955867;0.0026821478123052697;True;True;False;2.962570809440412;0.05413023674761939;0.05864823854694526;False;False;False
