genotipo;dia;limiar_agrupamento_abs_rho;correlacao_maxima_aceita_top;turno;estagio;amostras;bandas_originais;grupos_spearman;reducao;janela_nm;distancia_minima_top_nm;n_componentes_pls_da;balanced_accuracy_cv_diagnostica;desvio_cv_diagnostico;bandas_significativas_representativas;top5_encontradas;rho_abs_max_observado_top;distancia_min_observada_top_nm;status
CD202;D03;0.95;0.95;manha;normalizado;64;2051;216;0.894685519258898;10.0;10.0;7;1.0;0.0;201;5;0.9149725274725276;39.0;ok
CD202;D04;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;2;0.875;0.125;200;5;0.7494505494505496;47.0;ok
CD202;D04;0.9;0.9;manha;normalizado;64;2051;208;0.8985860555826426;10.0;10.0;2;0.875;0.125;201;5;0.8525183150183153;20.0;ok
CD202;D04;0.95;0.95;manha;normalizado;64;2051;213;0.8961482203803023;10.0;10.0;2;0.875;0.125;205;5;0.9024267399267403;19.0;ok
CD202;D05;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;3;1.0;0.0;200;5;0.7209706959706959;15.0;ok
CD202;D05;0.9;0.9;manha;normalizado;64;2051;209;0.8980984885421746;10.0;10.0;3;1.0;0.0;201;5;0.8891941391941394;11.0;ok
CD202;D05;0.95;0.95;manha;normalizado;64;2051;213;0.8961482203803023;10.0;10.0;3;1.0;0.0;203;5;0.9463827838827842;11.0;ok
CD202;D06;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;2;1.0;0.0;203;5;0.7923534798534799;90.0;ok
CD202;D06;0.9;0.9;manha;normalizado;64;2051;209;0.8980984885421746;10.0;10.0;2;1.0;0.0;204;5;0.898809523809524;50.0;ok
CD202;D06;0.95;0.95;manha;normalizado;64;2051;213;0.8961482203803023;10.0;10.0;2;1.0;0.0;207;5;0.9338827838827843;37.0;ok
CD202;D09;0.8;0.8;manha;normalizado;68;2051;207;0.8990736226231106;10.0;10.0;4;1.0;0.0;199;5;0.770584418063137;129.0;ok
CD202;D09;0.9;0.9;manha;normalizado;68;2051;211;0.8971233544612385;10.0;10.0;4;1.0;0.0;201;5;0.8908653662633126;72.0;ok
CD202;D09;0.95;0.95;manha;normalizado;68;2051;217;0.89419795221843;10.0;10.0;4;1.0;0.0;206;5;0.9403748520822997;29.0;ok
CD202;D10;0.8;0.8;manha;normalizado;64;2051;207;0.8990736226231106;10.0;10.0;1;0.8125;0.2072890493972125;191;5;0.7888736263736268;25.0;ok
CD202;D10;0.9;0.9;manha;normalizado;64;2051;211;0.8971233544612385;10.0;10.0;1;0.8125;0.2072890493972125;192;5;0.8895146520146515;19.0;ok
CD202;D10;0.95;0.95;manha;normalizado;64;2051;217;0.89419795221843;10.0;10.0;1;0.8125;0.2072890493972125;196;5;0.9454670329670338;16.0;ok
EMB48;D02;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;5;0.703125;0.22262198201210948;0;0;;;sem_bandas_significativas
EMB48;D02;0.9;0.9;manha;normalizado;64;2051;208;0.8985860555826426;10.0;10.0;5;0.71875;0.22316963839196408;0;0;;;sem_bandas_significativas
EMB48;D02;0.95;0.95;manha;normalizado;64;2051;214;0.8956606533398342;10.0;10.0;5;0.703125;0.22262198201210948;0;0;;;sem_bandas_significativas
EMB48;D03;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;4;1.0;0.0;180;5;0.7925824175824174;269.0;ok
EMB48;D03;0.9;0.9;manha;normalizado;64;2051;208;0.8985860555826426;10.0;10.0;4;1.0;0.0;181;5;0.8931318681318677;183.0;ok
EMB48;D03;0.95;0.95;manha;normalizado;64;2051;214;0.8956606533398342;10.0;10.0;4;1.0;0.0;186;5;0.939972527472527;49.0;ok
EMB48;D04;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;2;0.875;0.125;161;5;0.7979853479853487;16.0;ok
EMB48;D04;0.9;0.9;manha;normalizado;64;2051;207;0.8990736226231106;10.0;10.0;2;0.875;0.125;161;5;0.8865384615384616;15.0;ok
EMB48;D04;0.95;0.95;manha;normalizado;64;2051;211;0.8971233544612385;10.0;10.0;2;0.875;0.125;161;5;0.9478937728937731;20.0;ok
EMB48;D05;0.8;0.8;manha;normalizado;64;2051;207;0.8990736226231106;10.0;10.0;4;1.0;0.0;193;5;0.7956043956043956;86.0;ok
EMB48;D05;0.9;0.9;manha;normalizado;64;2051;209;0.8980984885421746;10.0;10.0;4;1.0;0.0;194;5;0.8399725274725273;13.0;ok
EMB48;D05;0.95;0.95;manha;normalizado;64;2051;214;0.8956606533398342;10.0;10.0;4;1.0;0.0;197;5;0.9469780219780218;14.0;ok
EMB48;D06;0.8;0.8;manha;normalizado;64;2051;208;0.8985860555826426;10.0;10.0;3;1.0;0.0;194;5;0.7994505494505497;15.0;ok
EMB48;D06;0.9;0.9;manha;normalizado;64;2051;212;0.8966357874207703;10.0;10.0;3;1.0;0.0;195;5;0.8996794871794874;97.0;ok
EMB48;D06;0.95;0.95;manha;normalizado;64;2051;219;0.8932228181374939;10.0;10.0;3;1.0;0.0;200;5;0.9011446886446889;336.0;ok
EMB48;D09;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;3;1.0;0.0;164;5;0.7902472527472526;26.0;ok
EMB48;D09;0.9;0.9;manha;normalizado;64;2051;209;0.8980984885421746;10.0;10.0;3;1.0;0.0;165;5;0.8793956043956047;12.0;ok
EMB48;D09;0.95;0.95;manha;normalizado;64;2051;215;0.8951730862993662;10.0;10.0;3;1.0;0.0;169;5;0.9203754578754578;10.0;ok
EMB48;D10;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;3;0.9375;0.10825317547305482;125;5;0.7530219780219782;260.0;ok
EMB48;D10;0.9;0.9;manha;normalizado;64;2051;208;0.8985860555826426;10.0;10.0;3;0.9375;0.10825317547305482;126;5;0.8654761904761902;13.0;ok
EMB48;D10;0.95;0.95;manha;normalizado;64;2051;212;0.8966357874207703;10.0;10.0;3;0.9375;0.10825317547305482;131;5;0.847344322344322;10.0;ok
