intervalo_inicio_nm;intervalo_fim_nm;n_bandas_spearman_significativas;banda_representante_nm;rho_spearman_etr;p_spearman_etr
1750;1759;10;1750;-0.6753642255762378;0.00029327690239996446
1760;1769;10;1764;-0.6692759453714295;0.0003483251799196553
1770;1779;10;1770;-0.6692759453714295;0.0003483251799196553
1780;1789;10;1780;-0.6692759453714295;0.0003483251799196553
1790;1799;10;1790;-0.6684061910564567;0.00035687852047958964
1800;1809;10;1800;-0.6684061910564567;0.00035687852047958964
1810;1819;10;1810;-0.6684061910564567;0.00035687852047958964
1820;1829;10;1820;-0.6684061910564567;0.00035687852047958964
1830;1839;10;1831;-0.6705805768438884;0.00033582884655308494
1840;1849;10;1840;-0.6705805768438884;0.00033582884655308494
1850;1859;10;1850;-0.6592737707492444;0.00045829088298593126
1860;1869;2;1860;-0.6383996671899016;0.0007878818220296633
1870;1879;2;1870;-0.6310067555126343;0.0009457338374243611
1980;1989;7;1989;-0.6427484387647646;0.0007060785005029647
1990;1999;10;1990;-0.6427484387647646;0.0007060785005029647
2000;2009;10;2000;-0.640574052977333;0.000746014220845983
2010;2019;7;2012;-0.6379647900324151;0.0007964938788656804
2020;2029;10;2020;-0.6379647900324151;0.0007964938788656804
2030;2039;10;2038;-0.6414438072923055;0.0007298123266317124
2040;2049;10;2040;-0.6414438072923055;0.0007298123266317124
2050;2059;10;2050;-0.6344857727725247;0.0008683582050114691
2060;2069;10;2062;-0.6492715961270592;0.0005971291946547507
2070;2079;10;2070;-0.6466623331821414;0.0006388263163152441
2080;2089;10;2083;-0.6584040164342717;0.00046913659217884046
2090;2099;10;2090;-0.6614481565366759;0.0004321214161375774
2100;2109;10;2100;-0.6570993849618127;0.000485821638187457
2110;2119;10;2110;-0.6527506133869497;0.0005452033480911967
2120;2129;10;2120;-0.6527506133869497;0.0005452033480911967
2130;2139;10;2130;-0.6388345443473878;0.0007793501018017253
2480;2489;2;2487;-0.6383996671899016;0.0007878818220296633
2490;2499;2;2495;-0.6383996671899016;0.0007878818220296633
