banda_nm;rho_spearman_etr;p_spearman_etr;passa_p_0001;intervalo_10nm
1323;-0.07304347826086956;0.7344671341768291;False;97
1324;-0.07304347826086956;0.7344671341768291;False;97
1325;-0.07739130434782608;0.7192671455433247;False;97
1326;-0.07739130434782608;0.7192671455433247;False;97
1327;-0.07739130434782608;0.7192671455433247;False;97
1328;-0.07739130434782608;0.7192671455433247;False;97
1329;-0.09217391304347824;0.6683845191595216;False;97
1330;-0.10173913043478258;0.6361837822056855;False;98
1331;-0.10173913043478258;0.6361837822056855;False;98
1332;-0.10173913043478258;0.6361837822056855;False;98
1333;-0.10173913043478258;0.6361837822056855;False;98
1334;-0.12869565217391304;0.5489587886992761;False;98
1335;-0.10956521739130433;0.610301978528463;False;98
1336;-0.10956521739130433;0.610301978528463;False;98
1337;-0.11304347826086956;0.5989404349055967;False;98
1338;-0.11304347826086956;0.5989404349055967;False;98
1339;-0.11304347826086956;0.5989404349055967;False;98
1340;-0.11304347826086956;0.5989404349055967;False;99
1341;-0.11304347826086956;0.5989404349055967;False;99
1342;-0.11304347826086956;0.5989404349055967;False;99
1343;-0.11304347826086956;0.5989404349055967;False;99
1344;-0.11304347826086956;0.5989404349055967;False;99
1345;-0.11304347826086956;0.5989404349055967;False;99
1346;-0.11304347826086956;0.5989404349055967;False;99
1347;-0.10956521739130433;0.610301978528463;False;99
1348;-0.10956521739130433;0.610301978528463;False;99
1349;-0.11130434782608695;0.6046100724044845;False;99
1350;-0.11130434782608695;0.6046100724044845;False;100
1351;-0.11130434782608695;0.6046100724044845;False;100
1352;-0.11130434782608695;0.6046100724044845;False;100
1353;-0.11130434782608695;0.6046100724044845;False;100
1354;-0.11130434782608695;0.6046100724044845;False;100
1355;-0.11130434782608695;0.6046100724044845;False;100
1356;-0.1034782608695652;0.6303950708493538;False;100
1357;-0.1034782608695652;0.6303950708493538;False;100
1358;-0.1034782608695652;0.6303950708493538;False;100
1359;-0.1034782608695652;0.6303950708493538;False;100
1360;-0.1034782608695652;0.6303950708493538;False;101
1361;-0.09826086956521737;0.6478231237133649;False;101
1362;-0.09826086956521737;0.6478231237133649;False;101
1363;-0.09826086956521737;0.6478231237133649;False;101
1364;-0.09826086956521737;0.6478231237133649;False;101
1365;-0.09826086956521737;0.6478231237133649;False;101
1366;-0.10173913043478258;0.6361837822056855;False;101
1367;-0.10956521739130433;0.610301978528463;False;101
1368;-0.1252173913043478;0.559898535790483;False;101
1369;-0.1252173913043478;0.559898535790483;False;101
1370;-0.10956521739130433;0.610301978528463;False;102
1371;-0.10956521739130433;0.610301978528463;False;102
1372;-0.10956521739130433;0.610301978528463;False;102
1373;-0.11391304347826085;0.5961140506694134;False;102
1374;-0.11043478260869564;0.6074532587517109;False;102
1375;-0.1391304347826087;0.5167416555162507;False;102
1376;-0.12347826086956522;0.5654049951421966;False;102
1377;-0.13652173913043478;0.5247096194478429;False;102
1378;-0.13652173913043478;0.5247096194478429;False;102
1379;-0.1208695652173913;0.5737097351958669;False;102
1380;-0.1208695652173913;0.5737097351958669;False;103
1381;-0.13478260869565215;0.530053886545385;False;103
1382;-0.1469565217391304;0.49319312211066607;False;103
1383;-0.1391304347826087;0.5167416555162507;False;103
1384;-0.13130434782608694;0.540818935399353;False;103
1385;-0.10521739130434782;0.6246273816458916;False;103
1386;-0.09304347826086956;0.6654325452454303;False;103
1387;-0.09999999999999999;0.6419932296067887;False;103
1388;-0.09565217391304347;0.6566056616723347;False;103
1389;-0.09478260869565217;0.6595430787691372;False;103
