grupo;banda_nm;n_unidades;n_dias;via;p_shapiro_residuo;F_anova_mr;epsilon_gg;p_anova_mr;p_anova_mr_gg;eta2_parcial;chi2_friedman;p_friedman;w_kendall;p_tempo;efeito_tempo;q_tempo;significativa
todas;1041;24;7;friedman;0.03171239562610953;;;;;;55.66071428571422;3.4089583567544295e-10;0.38653273809523764;3.4089583567544295e-10;0.38653273809523764;1.4316940842540888e-09;True
todas;1042;24;7;friedman;0.031054406124965926;;;;;;55.66071428571422;3.4089583567544295e-10;0.38653273809523764;3.4089583567544295e-10;0.38653273809523764;1.4316940842540888e-09;True
todas;1043;24;7;friedman;0.031320181956371373;;;;;;55.89285714285711;3.059836839950103e-10;0.38814484126984106;3.059836839950103e-10;0.38814484126984106;1.4316940842540888e-09;True
todas;1044;24;7;friedman;0.032281572105606;;;;;;57.178571428571445;1.680992188459125e-10;0.3970734126984128;1.680992188459125e-10;0.3970734126984128;1.3297028200281614e-09;True
todas;1045;24;7;friedman;0.03366715624371997;;;;;;56.857142857142776;1.9527104350063907e-10;0.39484126984126927;1.9527104350063907e-10;0.39484126984126927;1.3297028200281614e-09;True
todas;1046;24;7;friedman;0.035358638971127336;;;;;;56.607142857142776;2.193975063397092e-10;0.39310515873015817;2.193975063397092e-10;0.39310515873015817;1.3991339227071456e-09;True
todas;1047;24;7;friedman;0.0372133860118713;;;;;;56.25;2.59108253310846e-10;0.390625;2.59108253310846e-10;0.390625;1.4316940842540888e-09;True
todas;1048;24;7;friedman;0.03891960276940374;;;;;;56.25;2.59108253310846e-10;0.390625;2.59108253310846e-10;0.390625;1.4316940842540888e-09;True
todas;1049;24;7;friedman;0.04018140647044691;;;;;;56.25;2.59108253310846e-10;0.390625;2.59108253310846e-10;0.390625;1.4316940842540888e-09;True
todas;1050;24;7;friedman;0.041220388848878464;;;;;;55.732142857142776;3.2975030613655323e-10;0.38702876984126927;3.2975030613655323e-10;0.38702876984126927;1.4316940842540888e-09;True
todas;1051;24;7;friedman;0.04202193634147497;;;;;;55.732142857142776;3.2975030613655323e-10;0.38702876984126927;3.2975030613655323e-10;0.38702876984126927;1.4316940842540888e-09;True
todas;1052;24;7;friedman;0.042455857626717365;;;;;;54.464285714285666;5.946108780349794e-10;0.378224206349206;5.946108780349794e-10;0.378224206349206;2.024508465690525e-09;True
todas;1053;24;7;friedman;0.04316182123980347;;;;;;54.982142857142776;4.67413908288646e-10;0.38182043650793596;4.67413908288646e-10;0.38182043650793596;1.7497431645360308e-09;True
todas;1054;24;7;friedman;0.04416129326959137;;;;;;54.982142857142776;4.67413908288646e-10;0.38182043650793596;4.67413908288646e-10;0.38182043650793596;1.7497431645360308e-09;True
todas;1055;24;7;friedman;0.044967151515791774;;;;;;56.53571428571422;2.2682148162024158e-10;0.39260912698412653;2.2682148162024158e-10;0.39260912698412653;1.4088760477748852e-09;True
todas;1056;24;7;friedman;0.04584688006798846;;;;;;57.821428571428555;1.2455037929054188e-10;0.4015376984126983;1.2455037929054188e-10;0.4015376984126983;1.3043934952227379e-09;True
todas;1057;24;7;friedman;0.046827864648575836;;;;;;56.91071428571422;1.904558310267212e-10;0.3952132936507932;1.904558310267212e-10;0.3952132936507932;1.3297028200281614e-09;True
todas;1058;24;7;friedman;0.047770187011768495;;;;;;56.91071428571422;1.904558310267212e-10;0.3952132936507932;1.904558310267212e-10;0.3952132936507932;1.3297028200281614e-09;True
todas;1059;24;7;friedman;0.04871656581849307;;;;;;56.01785714285711;2.8868620893272125e-10;0.3890128968253966;2.8868620893272125e-10;0.3890128968253966;1.4316940842540888e-09;True
todas;1060;24;7;friedman;0.049736116802277006;;;;;;56.803571428571445;2.0020766633175545e-10;0.39446924603174616;2.0020766633175545e-10;0.39446924603174616;1.3504573719547655e-09;True
todas;1061;24;7;anova_mr;0.05110633972805573;11.16922649826936;0.6572793332105146;3.8728036172431515e-10;2.3664354326204594e-07;0.326879699744888;;;;2.3664354326204594e-07;0.326879699744888;2.8746818873570204e-06;True
todas;1062;24;7;anova_mr;0.053621788574314835;11.143530933714175;0.6582275505830281;4.067059759922691e-10;2.4019678974159274e-07;0.3263731262987442;;;;2.4019678974159274e-07;0.3263731262987442;2.8746818873570204e-06;True
todas;1063;24;7;anova_mr;0.05685754146507623;11.127180690077875;0.6595887743656018;4.195774289186524e-10;2.390792612136314e-07;0.3260503934130424;;;;2.390792612136314e-07;0.3260503934130424;2.8746818873570204e-06;True
todas;1064;24;7;anova_mr;0.06084022562797645;11.113573650687702;0.6611295835889495;4.306033837339376e-10;2.3635823811904534e-07;0.32578157200670943;;;;2.3635823811904534e-07;0.32578157200670943;2.8746818873570204e-06;True
todas;1065;24;7;anova_mr;0.06516329328866885;11.091665283552706;0.6626930704890002;4.489760703675427e-10;2.3609379953725032e-07;0.3253482982218473;;;;2.3609379953725032e-07;0.3253482982218473;2.8746818873570204e-06;True
todas;1066;24;7;anova_mr;0.06891926683791506;11.056306334165596;0.664032358202622;4.80318843135239e-10;2.409912959460975e-07;0.32464784130373553;;;;2.409912959460975e-07;0.32464784130373553;2.8746818873570204e-06;True
todas;1067;24;7;anova_mr;0.07135766624624998;11.005853443491981;0.6649721264419899;5.289192762547952e-10;2.527537273405597e-07;0.32364585296412474;;;;2.527537273405597e-07;0.32364585296412474;2.9883095551060865e-06;True
todas;1068;24;7;anova_mr;0.0732887757588728;10.941854229772714;0.6656232928397374;5.978073425881991e-10;2.712905788212955e-07;0.32237055040366264;;;;2.712905788212955e-07;0.32237055040366264;3.1793352044320245e-06;True
todas;1069;24;7;anova_mr;0.07473828500545257;10.874250500740152;0.6661323378531606;6.804818110910724e-10;2.9339901336612574e-07;0.321018187561155;;;;2.9339901336612574e-07;0.321018187561155;3.38262118091469e-06;True
todas;1070;24;7;anova_mr;0.07566119785568944;10.806454750524624;0.6666340333311735;7.750384271236729e-10;3.175195802077337e-07;0.3196565516931918;;;;3.175195802077337e-07;0.3196565516931918;3.38262118091469e-06;True
todas;1071;24;7;anova_mr;0.07548138508270376;10.744721192592818;0.6672190296405685;8.726842463680146e-10;3.4049947049473447e-07;0.3184119119333946;;;;3.4049947049473447e-07;0.3184119119333946;3.38262118091469e-06;True
