grupo;dia_a;dia_b;baseline;bandas;bandas_sig;prop_sig;dist_euclidiana;dif_abs_media;estat_q_mediana;rank_separacao
NIRRIG;D02;D10;True;2051;909;0.4431984397854705;2.3189061844188577;0.045253301424654266;4.697196117448059;8
NIRRIG;D04;D09;False;2051;510;0.24865919063871283;2.4598114466670777;0.04603923199959986;3.761802221211693;9
NIRRIG;D02;D03;True;2051;393;0.19161384690394928;2.239933119634025;0.04120006262568369;3.6004399156368527;10
NIRRIG;D02;D04;True;2051;391;0.19063871282301317;2.026201024167402;0.04050102383024578;3.7629102558422605;11
NIRRIG;D02;D05;True;2051;379;0.1847879083373964;2.113615442767184;0.037792302372872406;2.8988145199619555;12
NIRRIG;D02;D06;True;2051;240;0.11701608971233544;1.8614729544279873;0.032079753045356575;2.79124761294151;13
NIRRIG;D03;D09;False;2051;40;0.019502681618722574;1.8106680546013685;0.035014580707158974;3.212698020578432;14
NIRRIG;D04;D10;False;2051;28;0.013651877133105802;0.9652546673576784;0.017124589982154242;1.5221654445280475;15
NIRRIG;D05;D06;False;2051;18;0.008776206728425159;0.7762590137452049;0.013341141943431995;1.278439854729108;16
NIRRIG;D05;D09;False;2051;15;0.007313505607020965;1.7036485074459504;0.032873416729410625;3.2372637777253073;17
NIRRIG;D02;D09;True;2051;12;0.005850804485616773;0.9300346859857057;0.01669692861094034;1.416829296481105;18
NIRRIG;D03;D05;False;2051;0;0.0;0.46551588761304424;0.0063757336907335335;0.34515126739115826;19
NIRRIG;D03;D06;False;2051;0;0.0;0.804213888010647;0.014827354953291518;1.4329743455311494;19
NIRRIG;D06;D09;False;2051;0;0.0;1.2411268379304878;0.023234009687987497;2.200600690895999;19
todas;D03;D04;False;2051;1625;0.7922964407606046;2.758526923705383;0.055199341889921066;6.839387768155055;1
todas;D03;D10;False;2051;1493;0.7279375914188201;3.033111253975028;0.05732251888314607;5.946562632551443;2
todas;D05;D10;False;2051;807;0.39346660165772795;2.208458306415377;0.0422993887650074;4.27617987059879;3
todas;D02;D10;True;2051;766;0.3734763529985373;2.1146205354016674;0.039715035010537685;4.476625802033109;4
todas;D02;D04;True;2051;743;0.3622623110677718;1.8968030528378659;0.03788639147354752;4.27617987059879;5
todas;D04;D05;False;2051;732;0.35689907362262313;1.870040489641785;0.037753474777632606;4.381633002357269;6
todas;D03;D06;False;2051;503;0.24524622135543636;1.6056033559045038;0.029991423248376656;3.6748420762958354;7
todas;D03;D09;False;2051;418;0.2038030229156509;1.7875088938762123;0.034174661590932916;3.7416573867739418;8
todas;D04;D06;False;2051;318;0.15504631886884446;1.4611491044835803;0.02567439641913017;2.1380899352993956;9
todas;D06;D10;False;2051;305;0.14870794734275963;1.657938849273753;0.03150746642367991;3.2071349029490928;10
todas;D04;D09;False;2051;240;0.11701608971233544;1.4336313227835689;0.02265935398879694;2.1917409807651045;11
todas;D02;D09;True;2051;169;0.08239882983910288;1.0052995591912932;0.019021509829857692;2.271720556255607;12
todas;D04;D10;False;2051;151;0.07362262311067772;1.013951712412958;0.018022570732715185;1.7098195305310029;13
todas;D02;D06;True;2051;105;0.051194539249146756;0.8929361353051221;0.017082991718100533;2.164129573880205;14
todas;D05;D09;False;2051;62;0.03022915650901999;1.128337974870226;0.0219273811079717;2.4974344861652167;15
todas;D09;D10;False;2051;49;0.023890784982935155;1.3836714364522915;0.026139739223220205;2.7962140748173785;16
todas;D05;D06;False;2051;19;0.009263773768893223;0.8354437696490034;0.015363128579070157;1.737198072430759;17
todas;D02;D05;True;2051;12;0.005850804485616773;0.6103974667616755;0.009567872470055623;0.8489436759976375;18
todas;D03;D05;False;2051;6;0.0029254022428083864;1.0303284068237806;0.017922999064841634;1.6752648122851725;19
todas;D02;D03;True;2051;5;0.0024378352023403218;1.0052599585286086;0.01867040283881674;1.737198072430759;20
todas;D06;D09;False;2051;0;0.0;0.5141055394143984;0.00962844635889538;0.8685990362153798;21
