seed;fold;dia;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;2;D02;1;1;0.6180483415320437
42;2;D02;1;1;0.604930884629027
42;2;D02;1;1;0.5013204782007623
42;2;D02;1;1;0.5095103742042892
42;2;D02;0;0;0.49183802119898085
42;2;D02;0;1;0.6558586406198761
42;2;D02;0;1;0.6498302441638661
42;2;D02;0;1;0.6428021187437608
42;2;D02;1;1;0.6027229979187928
42;2;D02;1;1;0.5912971929857329
42;2;D03;0;0;0.43057874585448214
42;2;D03;0;0;0.4480962256795038
42;2;D03;1;1;0.841479219985673
42;2;D03;1;1;0.8515968521478312
42;2;D03;1;1;1.0808837825536015
42;2;D03;1;1;1.1005074431467459
42;2;D03;0;0;0.28407382803742204
42;2;D03;0;0;0.2672714103228938
42;2;D03;1;1;0.6885284495393851
42;2;D03;1;1;0.9511127848236722
42;2;D03;1;1;0.9634666384902719
42;2;D03;0;0;0.33173310044673554
42;2;D03;0;0;0.28236723143444653
42;2;D03;0;0;0.19988640141239028
42;2;D03;1;1;0.6804396427909262
42;2;D03;1;1;0.708430570795187
42;2;D03;1;1;0.8381064377085764
42;2;D03;0;0;0.3241226478311996
42;2;D03;1;1;0.6973990457889858
42;2;D04;0;0;-0.12511671022471904
42;2;D04;0;0;0.07252820190182974
42;2;D04;0;0;-0.005692937715794932
42;2;D04;0;0;-0.05008911914063996
42;2;D04;1;1;0.5139026207132459
42;2;D04;1;1;0.5101727816912937
42;2;D04;1;1;0.6519260376984901
42;2;D04;0;0;-0.034414643166494674
42;2;D04;1;0;0.09976974917050996
42;2;D04;1;0;0.3739578205556272
42;2;D04;0;0;0.014348049738688418
42;2;D04;1;1;0.5791297922178182
42;2;D04;1;0;0.49652351155099556
42;2;D04;1;0;0.493540482223608
42;2;D05;0;0;0.0008449281817635712
42;2;D05;0;1;0.7858967299985268
42;2;D05;0;1;0.7715820882222483
42;2;D05;1;1;0.8004018270326164
42;2;D05;1;1;0.8012134141028018
42;2;D05;0;0;0.18421694788166543
42;2;D05;0;0;0.1965136234714543
