bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B2;CD202;IRRIG;27/02;40.86666666666667;40.06022413526667;0.8064425313999948
B3;CD202;IRRIG;27/02;36.800000000000004;38.92560362132098;-2.125603621320977
B4;CD202;IRRIG;27/02;38.61666666666666;39.52265950544453;-0.9059928387778697
B1;CD202;NIRRIG;27/02;37.61666666666667;40.13518954813654;-2.5185228814698704
B2;CD202;NIRRIG;27/02;38.46666666666667;41.56048409033913;-3.093817423672462
B3;CD202;NIRRIG;27/02;38.5;40.943265281153586;-2.443265281153586
B4;CD202;NIRRIG;27/02;39.18333333333333;41.242006247227984;-2.058672913894654
B1;BR16;IRRIG;02/03;42.800000000000004;40.67662628996708;2.123373710032922
B2;BR16;IRRIG;02/03;38.166666666666664;40.9727733738806;-2.806106707213935
B3;BR16;IRRIG;02/03;43.400000000000006;40.039578312372285;3.3604216876277206
B4;BR16;IRRIG;02/03;41.7;40.10010421038451;1.5998957896154948
B1;BR16;NIRRIG;02/03;44.550000000000004;41.34451248654295;3.205487513457051
B2;BR16;NIRRIG;02/03;45.21666666666667;41.546759826111554;3.6699068405551145
B3;BR16;NIRRIG;02/03;44.599999999999994;40.7034152288466;3.8965847711533925
B4;BR16;NIRRIG;02/03;46.76666666666667;41.20237693184551;5.564289734821166
B1;EMB48;IRRIG;02/03;40.11666666666667;39.9697941382268;0.14687252843986442
B2;EMB48;IRRIG;02/03;39.96;40.384771540029455;-0.42477154002945383
B3;EMB48;IRRIG;02/03;38.99999999999999;39.61850372685639;-0.618503726856396
B4;EMB48;IRRIG;02/03;37.03333333333333;40.00019998935122;-2.966866656017892
B1;EMB48;NIRRIG;02/03;39.72;39.75200482532551;-0.03200482532550808
B2;EMB48;NIRRIG;02/03;41.53333333333333;40.335201742352055;1.1981315909812764
B3;EMB48;NIRRIG;02/03;39.699999999999996;39.601213809042;0.09878619095799479
B4;EMB48;NIRRIG;02/03;41.55;40.23934423952351;1.310655760476486
B1;CD202;IRRIG;02/03;39.03333333333333;39.844959137515836;-0.8116258041825049
B2;CD202;IRRIG;02/03;37.54;40.46343603260634;-2.9234360326063396
B3;CD202;IRRIG;02/03;39.96666666666667;39.47771449397254;0.48895217269412683
B4;CD202;IRRIG;02/03;40.71666666666667;39.498696752298045;1.2179699143686236
B1;CD202;NIRRIG;02/03;39.36666666666667;40.44186985853798;-1.07520319187131
B2;CD202;NIRRIG;02/03;36.65;40.998242031707676;-4.348242031707677
B3;CD202;NIRRIG;02/03;38.616666666666674;41.41651136967292;-2.7998447030062437
B4;CD202;NIRRIG;02/03;39.71666666666667;40.54851082746155;-0.8318441607948799
B1;BR16;IRRIG;03/03;44.9;40.35459751779077;4.5454024822092265
B2;BR16;IRRIG;03/03;42.083333333333336;40.98992632706147;1.0934070062718675
B3;BR16;IRRIG;03/03;44.64;40.56172348360248;4.078276516397523
B4;BR16;IRRIG;03/03;44.96;40.21466388925095;4.745336110749051
B1;BR16;NIRRIG;03/03;46.58;40.489298390207566;6.090701609792433
B2;BR16;NIRRIG;03/03;46.86666666666667;40.48501402527635;6.381652641390318
B3;BR16;NIRRIG;03/03;43.580000000000005;40.35844856108997;3.2215514389100335
B4;BR16;NIRRIG;03/03;46.28;40.12662562214884;6.153374377851158
B1;EMB48;IRRIG;03/03;43.08;39.97377880924904;3.106221190750958
B2;EMB48;IRRIG;03/03;41.050000000000004;41.09011489185306;-0.040114891853058054
B3;EMB48;IRRIG;03/03;40.949999999999996;39.79422241869523;1.1557775813047684
B4;EMB48;IRRIG;03/03;40.9;40.016998972822215;0.8830010271777837
B1;EMB48;NIRRIG;03/03;42.059999999999995;38.99336917740496;3.0666308225950374
B2;EMB48;NIRRIG;03/03;43.23333333333334;39.742237444201265;3.491095889132076
B3;EMB48;NIRRIG;03/03;40.13333333333333;39.581008515818034;0.5523248175152986
B4;EMB48;NIRRIG;03/03;43.279999999999994;39.14826972436437;4.131730275635626
B1;CD202;IRRIG;03/03;41.666666666666664;39.308875339123155;2.3577913275435094
B2;CD202;IRRIG;03/03;38.050000000000004;40.36717462119257;-2.3171746211925637
B3;CD202;IRRIG;03/03;39.06666666666667;39.496711594676455;-0.4300449280097851
B4;CD202;IRRIG;03/03;42.339999999999996;39.591428249650974;2.748571750349022
B1;CD202;NIRRIG;03/03;42.28;39.874977631450754;2.405022368549247
B2;CD202;NIRRIG;03/03;37.35;40.030548641262236;-2.6805486412622344
B3;CD202;NIRRIG;03/03;38.78;40.260490975642035;-1.4804909756420344
B4;CD202;NIRRIG;03/03;38.94;38.79472401502856;0.14527598497144112
