dia;banda_nm;F_anova;p_anova;eta2;significativo_anova
D02;554;24.658516794486125;5.121349635424963e-19;0.39862767606293636;True
D02;555;24.406122363430818;7.423116460375056e-19;0.3961639107790723;True
D02;556;24.082294498127613;1.1976300084165524e-18;0.39297312046407484;True
D02;557;23.69654094097419;2.1238909733307183e-18;0.38912786465068316;True
D02;558;23.235868347106;4.228677090880891e-18;0.384471489904863;True
D02;559;22.703653044332462;9.427258438077012e-18;0.37900281352675325;True
D02;560;22.135964375367678;2.233387315803638e-17;0.37306150845265523;True
D02;561;21.51156072065272;5.818727400642507e-17;0.3663939513208289;True
D02;562;20.82676270455033;1.681307908051125e-16;0.35891650221109345;True
D02;563;20.103980300541014;5.217878845387926e-16;0.35083043437998684;True
D02;564;19.345025371136956;1.7382575518200281e-15;0.34211719323078593;True
D02;565;18.551078086591538;6.218921943434942e-15;0.3327483292390929;True
D02;566;17.725660833404664;2.3816272082052312e-14;0.3227209388917225;True
D02;567;16.898273884392744;9.319017267882978e-14;0.31236253342397063;True
D02;568;16.078536635899308;3.667627775268546e-13;0.3017826248828599;True
D02;569;15.268222662913338;1.4471838100126163e-12;0.2909994257096407;True
D02;570;14.480045290415234;5.5987967051959185e-12;0.28018638933160445;True
D02;571;13.714309471742771;2.119952788342461e-11;0.2693606102888257;True
D02;572;12.991619401937626;7.564964802945227e-11;0.25884041114314177;True
D02;573;12.317471717390507;2.512678402456633e-10;0.24875001267612412;True
D02;574;11.686421392346245;7.822986884126152e-10;0.23905250291394606;True
D02;575;11.107044695225865;2.2422164863505846e-09;0.2299259821274797;True
D02;576;10.580555820089032;5.887435896502181e-09;0.2214406182282313;True
D02;577;10.104334870593975;1.419545407636766e-08;0.2136027258016724;True
D02;578;9.670591934193434;3.182252327372242e-08;0.20632536383946246;True
D02;579;9.271011542142165;6.725886279411644e-08;0.19950096273963744;True
D02;580;8.909988602633895;1.3275686889385113e-07;0.19323337247853795;True
D02;581;8.579778447717135;2.480318549784112e-07;0.18741415399193517;True
D02;582;8.272887678303283;4.4454369984267666e-07;0.18193011485942137;True
D02;583;7.98322758277248;7.727906865344885e-07;0.1766856422141993;True
D02;584;7.714859529543932;1.2923193257019523e-06;0.17176630652644656;True
D02;585;7.477644867487342;2.0388439310430438e-06;0.16736882370737824;True
D02;586;7.264177653239182;3.076527709642148e-06;0.16337146072710493;True
D02;587;7.06714041892777;4.501714076062177e-06;0.1596475478661368;True
D02;588;6.893279527945706;6.303035912164395e-06;0.15633401737733846;True
D02;589;6.742644792316857;8.441358931284945e-06;0.15344194288223117;True
D02;590;6.614563315624981;1.0825136416610911e-05;0.15096723132845014;True
D02;591;6.496726453902197;1.3612346181562699e-05;0.1486776466140069;True
D02;592;6.389821390177213;1.6760860395181766e-05;0.1465897584892865;True
D02;593;6.29295853758473;2.0241634575215388e-05;0.1446891347284786;True
D02;594;6.2011841081304855;2.4207631218380493e-05;0.14288052815980193;True
D02;595;6.118054015763881;2.8470160589408874e-05;0.14123566154512524;True
D02;596;6.038598673389492;3.324730886057828e-05;0.13965759434072159;True
D02;597;5.959449183572599;3.8806395608336835e-05;0.13807982484264167;True
D02;598;5.883902961546992;4.498091653764069e-05;0.13656847585973028;True
D02;599;5.807391105107814;5.224033885198047e-05;0.13503239689463734;True
D02;600;5.726497758013071;6.119820749737098e-05;0.13340239845082885;True
D02;601;5.641097033204408;7.233302245757551e-05;0.1316748968597191;True
D02;602;5.5572146539334;8.52464739694363e-05;0.12997139076790098;True
