dia;celula_a;celula_b;tipo;bandas_testadas;bandas_totais;bandas_sig;prop_sig;r_mediano;r_maximo;banda_r_maximo
D06;BR16|IRRIG;CD202|NIRRIG;cruzado;2051;2051;2022;0.9858605558264262;0.4884756737274334;0.5618525446230133;1344
D06;BR16|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;2005;0.977571916138469;0.5055211857717605;0.587664320004423;674
D06;BR16|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;1990;0.9702584105314481;0.3771116617044957;0.6905867451101699;736
D06;CD202|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;1990;0.9702584105314481;0.3103906574167008;0.599352671120533;735
D06;CD202|IRRIG;CD202|NIRRIG;estresse;2051;2051;1982;0.9663578742077036;0.43766381401434373;0.5743525867888533;743
D06;BR16|NIRRIG;CD202|IRRIG;cruzado;2051;2051;1975;0.9629449049244271;0.5199692864569522;0.6582814413309213;743
D06;CD202|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;1880;0.916626036079961;0.44918982692050785;0.5836058647557737;1399
D06;EMB48|IRRIG;EMB48|NIRRIG;estresse;2051;2051;1785;0.8703071672354948;0.30519583469842965;0.5055211857717605;402
D06;BR16|IRRIG;EMB48|IRRIG;genotipo;2051;2051;1405;0.6850316918576305;0.18750063248759904;0.4761379697715394;722
D06;CD202|IRRIG;EMB48|IRRIG;genotipo;2051;2051;443;0.21599219892735252;0.12873420048715675;0.33181930112956926;1383
D06;BR16|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;388;0.18917601170160897;0.07305219447568795;0.5545473251754445;708
D06;CD202|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;267;0.13018039980497317;0.036526097237843974;0.3990273200472021;727
D06;BR16|IRRIG;CD202|IRRIG;genotipo;2051;2051;200;0.09751340809361288;0.06347424008887552;0.31363742161562025;1369
D06;BR16|NIRRIG;CD202|NIRRIG;genotipo;2051;2051;102;0.04973183812774257;0.08019507571331076;0.22500075898511887;1384
D09;CD202|NIRRIG;EMB48|IRRIG;cruzado;1992;2051;1959;0.9551438322769381;0.4545782375419768;0.6144991133531431;1338
D09;BR16|IRRIG;CD202|NIRRIG;cruzado;1992;2051;1936;0.9439297903461726;0.37808065324647794;0.5282425779746794;400
D09;CD202|IRRIG;CD202|NIRRIG;estresse;1992;2051;1926;0.9390541199414919;0.5698585700439595;0.691755809127276;683
D09;BR16|NIRRIG;CD202|IRRIG;cruzado;1992;2051;1856;0.9049244271087274;0.34749756227641554;0.5876838029829164;1947
D09;CD202|NIRRIG;EMB48|NIRRIG;genotipo;1992;2051;1850;0.9019990248659191;0.24539039900552;0.35919236082783623;1413
D09;CD202|IRRIG;EMB48|NIRRIG;cruzado;1992;2051;1742;0.8493417844953681;0.3256501793507277;0.4898384809343459;400
D09;BR16|NIRRIG;EMB48|IRRIG;cruzado;1992;2051;1667;0.8127742564602632;0.22547899074753525;0.6324429911508528;1932
D09;EMB48|IRRIG;EMB48|NIRRIG;estresse;1992;2051;1534;0.7479278400780107;0.21493302748046028;0.4133387990946091;1352
D09;BR16|NIRRIG;CD202|NIRRIG;genotipo;1992;2051;1445;0.704534373476353;0.2150904299172823;0.46055953014121337;715
D09;BR16|IRRIG;CD202|IRRIG;genotipo;1992;2051;1394;0.6796684544124817;0.1876733384188922;0.31138819337988133;1400
D09;BR16|IRRIG;BR16|NIRRIG;estresse;1992;2051;976;0.4758654314968308;0.14866660157839234;0.5282425779746794;1945
D09;BR16|IRRIG;EMB48|NIRRIG;cruzado;1992;2051;833;0.4061433447098976;0.1383567419665504;0.4890493712059979;716
D09;BR16|NIRRIG;EMB48|NIRRIG;genotipo;1992;2051;406;0.19795221843003413;0.05753059065844616;0.6508590762590284;724
D09;CD202|IRRIG;EMB48|IRRIG;genotipo;1992;2051;288;0.14041930765480254;0.11390692770028082;0.24282268353896655;1394
D09;BR16|IRRIG;EMB48|IRRIG;genotipo;1992;2051;48;0.02340321794246709;0.08232147445791338;0.19533642409611954;553
D10;CD202|IRRIG;EMB48|IRRIG;genotipo;2051;2051;1912;0.932228181374939;0.31899458254383734;0.4641249422355374;1437
D10;BR16|IRRIG;CD202|IRRIG;genotipo;2051;2051;1860;0.9068746952705997;0.3253257727317303;0.4355534172850461;1455
D10;CD202|IRRIG;CD202|NIRRIG;estresse;2051;2051;1760;0.8581179912237933;0.35535834157173535;0.5426966358493884;1336
D10;BR16|NIRRIG;CD202|NIRRIG;genotipo;2051;2051;1467;0.7152608483666504;0.2136370842889007;0.4935081582357585;723
D10;BR16|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;1362;0.6640663091175036;0.19496819014511382;0.5376641513410633;1936
D10;CD202|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;1330;0.6484641638225256;0.19399416088543797;0.539125195230577;400
D10;EMB48|IRRIG;EMB48|NIRRIG;estresse;2051;2051;1174;0.5724037055095076;0.17840969273062454;0.5014627305231112;706
D10;BR16|IRRIG;BR16|NIRRIG;estresse;2051;2051;1168;0.5694783032666991;0.1751629285317051;0.28733863160437256;1934
D10;BR16|NIRRIG;CD202|IRRIG;cruzado;2051;2051;972;0.47391516333495853;0.15633169617797218;0.5263004766448451;2450
D10;CD202|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;972;0.47391516333495853;0.15535766691829636;0.3405855644666518;1326
D10;BR16|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;811;0.39541686981960017;0.14026021339332084;0.5957812305017217;710
D10;CD202|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;490;0.23890784982935154;0.09318213250898862;0.6459437373750274;1356
D10;BR16|IRRIG;CD202|NIRRIG;cruzado;2051;2051;437;0.21306679668454412;0.078734031823797;0.5324693286227921;710
D10;BR16|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;220;0.10726474890297416;0.06379891650876747;0.5537356341257146;730
D10;BR16|IRRIG;EMB48|IRRIG;genotipo;2051;2051;189;0.09215017064846416;0.05844175558055035;0.2532476075157182;1945
