dia;genotipo;condicao_a;condicao_b;posicao;banda_nm;p_valor;q_fdr;H;epsilon2;delta_cliff;n_irrig;n_nirrig
D06;CD202;IRRIG;NIRRIG;3;402;6.211923275036763e-12;3.2173370295708084e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;CD202;IRRIG;NIRRIG;4;403;6.211923275036763e-12;3.2173370295708084e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;CD202;IRRIG;NIRRIG;5;404;6.211923275036763e-12;3.2173370295708084e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;EMB48;IRRIG;NIRRIG;1;400;6.211923275036763e-12;6.328882578377402e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;EMB48;IRRIG;NIRRIG;2;401;6.211923275036763e-12;6.328882578377402e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;EMB48;IRRIG;NIRRIG;3;402;6.211923275036763e-12;6.328882578377402e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;EMB48;IRRIG;NIRRIG;4;403;6.211923275036763e-12;6.328882578377402e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;EMB48;IRRIG;NIRRIG;5;404;6.211923275036763e-12;6.328882578377402e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D09;BR16;IRRIG;NIRRIG;1;1947;1.7953490226187587e-10;4.350852572595002e-08;40.67758413461539;0.6399610344292804;0.927734375;32;32
D09;BR16;IRRIG;NIRRIG;2;1948;1.7953490226187587e-10;4.350852572595002e-08;40.67758413461539;0.6399610344292804;0.927734375;32;32
D09;BR16;IRRIG;NIRRIG;3;1949;1.7953490226187587e-10;4.350852572595002e-08;40.67758413461539;0.6399610344292804;0.927734375;32;32
D09;BR16;IRRIG;NIRRIG;4;1950;1.9596401375206222e-10;4.350852572595002e-08;40.50649038461539;0.6372014578163773;0.92578125;32;32
D09;BR16;IRRIG;NIRRIG;5;1951;1.9596401375206222e-10;4.350852572595002e-08;40.50649038461539;0.6372014578163773;0.92578125;32;32
D09;CD202;IRRIG;NIRRIG;1;400;1.470814289237567e-12;4.986330855368519e-12;50.08695652173913;0.743741765480896;-1.0;36;32
D09;CD202;IRRIG;NIRRIG;2;401;1.470814289237567e-12;4.986330855368519e-12;50.08695652173913;0.743741765480896;-1.0;36;32
D09;CD202;IRRIG;NIRRIG;3;402;1.470814289237567e-12;4.986330855368519e-12;50.08695652173913;0.743741765480896;-1.0;36;32
D09;CD202;IRRIG;NIRRIG;4;403;1.470814289237567e-12;4.986330855368519e-12;50.08695652173913;0.743741765480896;-1.0;36;32
D09;CD202;IRRIG;NIRRIG;5;404;1.470814289237567e-12;4.986330855368519e-12;50.08695652173913;0.743741765480896;-1.0;36;32
D09;EMB48;IRRIG;NIRRIG;1;717;4.658418529041903e-10;1.3559556900098416e-07;38.815384615384616;0.609925558312655;0.90625;32;32
D09;EMB48;IRRIG;NIRRIG;2;718;4.658418529041903e-10;1.3559556900098416e-07;38.815384615384616;0.609925558312655;0.90625;32;32
D09;EMB48;IRRIG;NIRRIG;3;1343;4.658418529041903e-10;1.3559556900098416e-07;38.815384615384616;0.609925558312655;-0.90625;32;32
D09;EMB48;IRRIG;NIRRIG;4;1342;5.074855094390451e-10;1.3559556900098416e-07;38.648257211538464;0.6072299550248139;-0.904296875;32;32
D09;EMB48;IRRIG;NIRRIG;5;716;6.01955430736702e-10;1.3559556900098416e-07;38.31508413461539;0.601856195719603;0.900390625;32;32
D10;BR16;IRRIG;NIRRIG;1;1393;4.216549447865922e-05;0.0057568326799681;16.771334134615387;0.2543763570099256;-0.595703125;32;32
D10;BR16;IRRIG;NIRRIG;2;1394;4.467771099432264e-05;0.0057568326799681;16.661538461538463;0.252605459057072;-0.59375;32;32
D10;BR16;IRRIG;NIRRIG;3;1392;4.733145720561525e-05;0.0057568326799681;16.552103365384617;0.2508403768610422;-0.591796875;32;32
D10;BR16;IRRIG;NIRRIG;4;1391;5.013420107171905e-05;0.0057568326799681;16.443028846153847;0.2490811104218362;-0.58984375;32;32
D10;BR16;IRRIG;NIRRIG;5;1395;5.3093774621496885e-05;0.0057568326799681;16.334314903846156;0.2473276597394541;-0.587890625;32;32
D10;CD202;IRRIG;NIRRIG;1;400;6.211923275036763e-12;1.0167393306209838e-09;47.261538461538464;0.7461538461538462;-1.0;32;32
D10;CD202;IRRIG;NIRRIG;2;401;6.211923275036763e-12;1.0167393306209838e-09;47.261538461538464;0.7461538461538462;-1.0;32;32
D10;CD202;IRRIG;NIRRIG;3;402;6.211923275036763e-12;1.0167393306209838e-09;47.261538461538464;0.7461538461538462;-1.0;32;32
D10;CD202;IRRIG;NIRRIG;4;403;6.211923275036763e-12;1.0167393306209838e-09;47.261538461538464;0.7461538461538462;-1.0;32;32
D10;CD202;IRRIG;NIRRIG;5;404;6.824833029737679e-12;1.0167393306209838e-09;47.077103365384616;0.7431790865384615;-0.998046875;32;32
D10;EMB48;IRRIG;NIRRIG;1;707;6.211923275036763e-12;6.066978398619239e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D10;EMB48;IRRIG;NIRRIG;2;708;6.211923275036763e-12;6.066978398619239e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D10;EMB48;IRRIG;NIRRIG;3;709;6.211923275036763e-12;6.066978398619239e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D10;EMB48;IRRIG;NIRRIG;4;710;6.211923275036763e-12;6.066978398619239e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D10;EMB48;IRRIG;NIRRIG;5;711;6.211923275036763e-12;6.066978398619239e-10;47.261538461538464;0.7461538461538462;1.0;32;32
