posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
39;2450;0.0;0.0;0.009338233223277212;2.7849192277653398e-06;5.888525088811042e-05;0.338053466191067;0.681640625;True;0.681640625
40;1555;0.0;0.0;0.009070945747917386;7.247186020243136e-07;2.2867659273105647e-05;0.3798106001861042;0.720703125;True;0.720703125
41;1345;0.0;0.0;0.009048883428798733;1.7523697387050305e-06;4.4371732519555775e-05;0.3524038461538462;-0.6953125;True;0.6953125
42;595;0.0;0.0;0.008820777501117072;0.0006172382545422;0.0016439583031164;0.1729557614764268;-0.498046875;True;0.498046875
43;1355;0.0;0.0;0.00809648462284685;7.054576857787515e-05;0.0004424751417529;0.2386476426799007;-0.578125;True;0.578125
44;515;0.0;0.0;0.007871462290659772;0.0017568495522413;0.0028084944907614;0.1417367788461538;-0.455078125;True;0.455078125
45;1285;0.0;0.0;0.007867443200776534;0.0001298521440108;0.0006990203342948;0.2200633917493796;-0.556640625;True;0.556640625
46;1455;0.0;0.0;0.007702975621376918;0.0013951013683914;0.0025616409190429;0.1485848325062034;0.46484375;True;0.46484375
47;1365;0.0;0.0;0.00764951501195444;0.0583274625198995;0.0592519195781643;0.0416824984491315;-0.275390625;False;0.275390625
48;2285;0.0;0.0;0.007629211114852193;0.0016028854871773;0.0027214554091066;0.1444585530397022;0.458984375;True;0.458984375
49;2065;0.0;0.0;0.00728243131524906;0.0020134213752702;0.0029644847384632;0.1376977357320099;0.44921875;True;0.44921875
50;1525;0.0;0.0;0.0070837406321277285;3.339445926144025e-05;0.0002472636676722;0.2615181063895782;0.603515625;True;0.603515625
51;625;0.0;0.0;0.007046945019358812;0.0019243068878929;0.0029235210570877;0.1390382676799007;-0.451171875;True;0.451171875
52;655;0.0;0.0;0.006708621135860641;0.0023039757863253;0.0032233658511277;0.1337110344292804;-0.443359375;True;0.443359375
53;1745;0.0;0.0;0.006514598085056489;0.0012706965471169;0.0024334254137599;0.1513647642679901;0.46875;True;0.46875
54;2125;0.0;0.0;0.006427432216905901;0.0005874329623308;0.0016439583031164;0.1744416873449131;0.5;True;0.5
55;1685;0.0;0.0;0.0058457331357238355;0.0032763360815549;0.0041225554007786;0.1233357242555831;0.427734375;True;0.427734375
56;2435;0.0;0.0;0.005790945696388396;9.98335414643639e-06;0.0001190456939205;0.2986226349255583;0.642578125;True;0.642578125
57;1535;0.0;0.0;0.005720844811753901;1.841730119528616e-05;0.0001621196770452;0.2797795828163772;0.623046875;True;0.623046875
58;585;0.0;0.0;0.005642712230492816;0.0003734109503731;0.0013555147950715;0.1880767292183623;-0.517578125;True;0.517578125
59;535;0.0;0.0;0.005548804371709992;2.968821110522727e-05;0.0002238622094736;0.2651238756203474;-0.607421875;True;0.607421875
60;635;0.0;0.0;0.005512452107279693;0.0018388274453319;0.0028593139426655;0.1403846153846153;-0.453125;True;0.453125
61;415;0.0;0.0;0.005411261983048562;0.0002220888873184;0.0009795791567531;0.2037792726426799;-0.537109375;True;0.537109375
62;2215;0.0;0.0;0.005373713922746723;0.0052246234400613;0.0060712196462129;0.1096774193548387;0.40625;True;0.40625
63;1865;0.0;0.0;0.00535796333016492;0.0044194868571412;0.0052915163712765;0.1145626550868486;0.4140625;True;0.4140625
64;2235;0.0;0.0;0.005254041753289877;0.0054455921827615;0.006215308607036;0.1084706498138957;0.404296875;True;0.404296875
65;1445;0.0;0.0;0.005136815136815137;0.0024090538036404;0.0033205439188619;0.1323937655086849;0.44140625;True;0.44140625
66;605;0.0;0.0;0.005115899992909536;0.0010520450702098;0.0021071723037113;0.1569944168734491;-0.4765625;True;0.4765625
67;1975;0.0;0.0;0.005049999869951688;1.631686391154526e-05;0.0001500712461102;0.2835016671836228;0.626953125;True;0.626953125
68;525;0.0;0.0;0.004962762434026801;7.463328261592615e-05;0.0004624557783844;0.2369290865384615;-0.576171875;True;0.576171875
69;2335;0.0;0.0;0.004949784791965566;0.0006172382545422;0.0016439583031164;0.1729557614764268;0.498046875;True;0.498046875
70;1915;0.0;0.0;0.004837266321906117;0.0156538458128831;0.0162562216517586;0.0780862282878412;0.3515625;True;0.3515625
71;725;0.0;0.0;0.004699848654306604;0.0038913442582605;0.0047563450975521;0.1182876473325062;-0.419921875;True;0.419921875
72;575;0.0;0.0;0.004587737843551798;8.348951637883459e-05;0.0005081216560622;0.2335094215260546;-0.572265625;True;0.572265625
73;2025;0.0;0.0;0.004586816232471064;0.0010031111026021;0.0020512271898673;0.1584163694168734;0.478515625;True;0.478515625
74;1485;0.0;0.0;0.004545454545454546;0.0005317996813093;0.0015739121881174;0.1774309863523573;0.50390625;True;0.50390625
75;1145;0.0;0.0;0.004313274860354768;0.0010520450702098;0.0021071723037113;0.1569944168734491;-0.4765625;True;0.4765625
76;1405;0.0;0.0;0.0042378352774904504;0.029615212345663;0.0302042767384161;0.0601853287841191;0.31640625;True;0.31640625
77;1395;0.0;0.0;0.004179944650532886;0.1131017761320682;0.1146105448848182;0.0243602667493796;0.23046875;False;0.23046875
78;715;0.0;0.0;0.004092300933614018;0.0168468410066991;0.0174597629634865;0.0760041873449131;-0.34765625;True;0.34765625
79;2265;0.0;0.0;0.00407461107483746;0.0040606555864194;0.0049077222202394;0.1170401674937965;0.41796875;True;0.41796875
80;1965;0.0;0.0;0.004065535191549239;6.436358807385795e-06;9.49710209636566e-05;0.3121588089330025;0.65625;True;0.65625
81;1935;0.0;0.0;0.004014515847025293;0.0008686652051795;0.0018616847814245;0.1627171215880893;0.484375;True;0.484375
82;2415;0.0;0.0;0.003966329966329966;0.0001229511388042;0.0006760664495641;0.2217237903225806;0.55859375;True;0.55859375
83;1655;0.0;0.0;0.003929598080135715;0.0001298521440108;0.0006990203342948;0.2200633917493796;0.556640625;True;0.556640625
84;1415;0.0;0.0;0.0039145145508435834;0.0125089884502839;0.0131031334583924;0.084471929280397;0.36328125;True;0.36328125
85;1545;0.0;0.0;0.003798449612403101;4.114487298883416e-06;7.961144764160271e-05;0.3259799550248139;0.669921875;True;0.669921875
86;2245;0.0;0.0;0.003770423125261835;0.0052246234400613;0.0060712196462129;0.1096774193548387;0.40625;True;0.40625
87;1155;0.0;0.0;0.003672206966324613;0.0006172382545422;0.0016439583031164;0.1729557614764268;-0.498046875;True;0.498046875
88;2165;0.0;0.0;0.0036266322829790333;0.0020134213752702;0.0029644847384632;0.1376977357320099;0.44921875;True;0.44921875
89;2205;0.0;0.0;0.0036004655050894123;0.0061600249790247;0.0068626894253013;0.1048852357320099;0.3984375;True;0.3984375
90;1735;0.0;0.0;0.003410382720727549;0.0027511562101905;0.0036333685686419;0.1284768532878412;0.435546875;True;0.435546875
91;1215;0.0;0.0;0.0034044189911437983;0.0005874329623308;0.0016439583031164;0.1744416873449131;-0.5;True;0.5
92;2405;0.0;0.0;0.003392275786962694;0.0001997585576739;0.0009124828547646;0.2069895704094292;0.541015625;True;0.541015625
93;2145;0.0;0.0;0.0030947775628626696;0.0014614294827344;0.0026549086528683;0.1472035902605459;0.462890625;True;0.462890625
94;2385;0.0;0.0;0.0030239040060468635;0.0003200858539415;0.0012552506432775;0.1927264267990074;0.5234375;True;0.5234375
95;615;0.0;0.0;0.0029149971475552873;0.0016028854871773;0.0027214554091066;0.1444585530397022;-0.458984375;True;0.458984375
96;1845;0.0;0.0;0.0023796771236384764;0.0050117874606931;0.0059177755220965;0.1108900046526054;0.408203125;True;0.408203125
97;1595;0.0;0.0;0.0021609334452733263;1.2211680465352746e-07;8.19899178129774e-06;0.4352783808933002;0.76953125;True;0.76953125
98;555;0.0;0.0;0.0021474388725850713;7.776654880628724e-06;0.0001042478376481;0.3063226969602978;-0.650390625;True;0.650390625
99;1815;0.0;0.0;0.002129879468589146;0.014535816975187;0.0151642729481732;0.0801915322580645;0.35546875;True;0.35546875
100;1375;0.0;0.0;0.0021169536064119267;0.946473618223126;0.946473618223126;0.0;0.009765625;False;0.009765625
101;2395;0.0;0.0;0.00199645515774548;0.000288590960955;0.0011767396837353;0.1958553039702233;0.52734375;True;0.52734375
