modelo;modo;genotipo;fold;accuracy;precision;recall;f1_score;kappa;auc_roc;dia;bloco_teste;n_teste
random_forest;por_dia;CD202;4;0.75;1.0;0.5;0.6666666666666666;0.5;1.0;D10;B1;16
gradient_boosting;por_dia;CD202;1;0.25;0.3333333333333333;0.5;0.4;-0.5;0.25;D10;B4;16
gradient_boosting;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D10;B3;16
gradient_boosting;por_dia;CD202;3;0.5;0.5;1.0;0.6666666666666666;0.0;0.5;D10;B2;16
gradient_boosting;por_dia;CD202;4;0.75;1.0;0.5;0.6666666666666666;0.5;0.75;D10;B1;16
random_forest;por_dia;EMB48;1;0.75;1.0;0.5;0.6666666666666666;0.5;0.625;D02;B4;16
random_forest;por_dia;EMB48;2;1.0;1.0;1.0;1.0;1.0;1.0;D02;B3;16
random_forest;por_dia;EMB48;3;0.5;0.5;0.5;0.5;0.0;0.453125;D02;B2;16
random_forest;por_dia;EMB48;4;0.75;0.6666666666666666;1.0;0.8;0.5;0.5;D02;B1;16
gradient_boosting;por_dia;EMB48;1;0.375;0.4;0.5;0.4444444444444444;-0.25;0.5;D02;B4;16
gradient_boosting;por_dia;EMB48;2;0.75;1.0;0.5;0.6666666666666666;0.5;1.0;D02;B3;16
gradient_boosting;por_dia;EMB48;3;0.5;0.5;0.5;0.5;0.0;0.25;D02;B2;16
gradient_boosting;por_dia;EMB48;4;0.5;0.5;0.5;0.5;0.0;0.5;D02;B1;16
random_forest;por_dia;EMB48;1;1.0;1.0;1.0;1.0;1.0;1.0;D03;B4;16
random_forest;por_dia;EMB48;2;1.0;1.0;1.0;1.0;1.0;1.0;D03;B3;16
random_forest;por_dia;EMB48;3;1.0;1.0;1.0;1.0;1.0;1.0;D03;B2;16
random_forest;por_dia;EMB48;4;1.0;1.0;1.0;1.0;1.0;1.0;D03;B1;16
gradient_boosting;por_dia;EMB48;1;1.0;1.0;1.0;1.0;1.0;1.0;D03;B4;16
gradient_boosting;por_dia;EMB48;2;1.0;1.0;1.0;1.0;1.0;1.0;D03;B3;16
gradient_boosting;por_dia;EMB48;3;1.0;1.0;1.0;1.0;1.0;1.0;D03;B2;16
gradient_boosting;por_dia;EMB48;4;1.0;1.0;1.0;1.0;1.0;1.0;D03;B1;16
random_forest;por_dia;EMB48;1;0.875;0.8;1.0;0.8888888888888888;0.75;1.0;D04;B4;16
random_forest;por_dia;EMB48;2;0.75;1.0;0.5;0.6666666666666666;0.5;1.0;D04;B3;16
random_forest;por_dia;EMB48;3;0.75;1.0;0.5;0.6666666666666666;0.5;1.0;D04;B2;16
random_forest;por_dia;EMB48;4;1.0;1.0;1.0;1.0;1.0;1.0;D04;B1;16
gradient_boosting;por_dia;EMB48;1;0.75;0.6666666666666666;1.0;0.8;0.5;0.96875;D04;B4;16
gradient_boosting;por_dia;EMB48;2;0.5;0.0;0.0;0.0;0.0;0.5;D04;B3;16
gradient_boosting;por_dia;EMB48;3;0.75;1.0;0.5;0.6666666666666666;0.5;0.75;D04;B2;16
gradient_boosting;por_dia;EMB48;4;1.0;1.0;1.0;1.0;1.0;1.0;D04;B1;16
random_forest;por_dia;EMB48;1;1.0;1.0;1.0;1.0;1.0;1.0;D05;B4;16
random_forest;por_dia;EMB48;2;1.0;1.0;1.0;1.0;1.0;1.0;D05;B3;16
random_forest;por_dia;EMB48;3;0.6875;1.0;0.375;0.5454545454545454;0.375;1.0;D05;B2;16
random_forest;por_dia;EMB48;4;0.75;0.6666666666666666;1.0;0.8;0.5;0.875;D05;B1;16
gradient_boosting;por_dia;EMB48;1;1.0;1.0;1.0;1.0;1.0;1.0;D05;B4;16
gradient_boosting;por_dia;EMB48;2;1.0;1.0;1.0;1.0;1.0;1.0;D05;B3;16
gradient_boosting;por_dia;EMB48;3;0.6875;1.0;0.375;0.5454545454545454;0.375;0.6875;D05;B2;16
gradient_boosting;por_dia;EMB48;4;0.75;0.6666666666666666;1.0;0.8;0.5;0.75;D05;B1;16
