posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
66;1695;0.0;0.0;0.0046736817894313
67;2285;0.0;0.0;0.0046269374023789
68;625;0.0;0.0;0.0044347826086956
69;1415;0.0;0.0;0.0043208267620534
70;1915;0.0;0.0;0.0041556114136759
71;2395;0.0;0.0;0.0041377849457369
72;1965;0.0;0.0;0.0039873872067158
73;1495;0.0;0.0;0.0039753229226913
74;1285;0.0;0.0;0.0039077401727129
75;2105;0.0;0.0;0.0038561616161616
76;1375;0.0;0.0;0.0037953604019919
77;415;0.0;0.0;0.0036945812807881
78;1505;0.0;0.0;0.0036725114043662
79;425;0.0;0.0;0.0035802033036075
80;1925;0.0;0.0;0.0035628153907723
81;2265;0.0;0.0;0.0035076927860611
82;1935;0.0;0.0;0.0035065103662672
83;1735;0.0;0.0;0.0034373401534526
84;1395;0.0;0.0;0.0033338427153553
85;2295;0.0;0.0;0.003279253099287
86;1685;0.0;0.0;0.0031746031746031
87;1365;0.0;0.0;0.0031729469241169
88;2085;0.0;0.0;0.0031481237656352
89;2165;0.0;0.0;0.0031305719921104
90;2005;0.0;0.0;0.0030655449055279
91;585;0.0;0.0;0.0030296918767507
92;2215;0.0;0.0;0.0029723259073289
93;1125;0.0;0.0;0.0028495840498962
94;2315;0.0;0.0;0.0028108733371891
95;2205;0.0;0.0;0.0027237047397047
96;1725;0.0;0.0;0.0025685618729096
97;1845;0.0;0.0;0.0024163381998969
98;2065;0.0;0.0;0.0023499138853977
99;705;0.0;0.0;0.0023103913630229
100;1975;0.0;0.0;0.0022539564241986
101;2345;0.0;0.0;0.0021995646694924
102;895;0.0;0.0;0.0021412022657851
103;1895;0.0;0.0;0.0021359216197925
104;2450;0.0;0.0;0.0021123152709359
105;745;0.0;0.0;0.002072051337653
106;1405;0.0;0.0;0.0020465724751439
107;1425;0.0;0.0;0.002020173211617
108;1885;0.0;0.0;0.0020109428838081
109;1745;0.0;0.0;0.0019444444444444
110;2385;0.0;0.0;0.0018423704069253
111;2275;0.0;0.0;0.0018351254480286
112;2245;0.0;0.0;0.0017943409247757
113;2195;0.0;0.0;0.0017294862772695
114;525;0.0;0.0;0.0017085650723025
115;2425;0.0;0.0;0.0016981456981456
116;2405;0.0;0.0;0.0016952038596159
117;1135;0.0;0.0;0.0016503801722934
118;1535;0.0;0.0;0.0014677386105957
119;1715;0.0;0.0;0.0013689839572192
120;2365;0.0;0.0;0.0012812812812812
121;2015;0.0;0.0;0.0012734729309375
122;815;0.0;0.0;0.0012100840336134
123;995;0.0;0.0;0.0011797235023041
124;545;0.0;0.0;0.0011666666666666
125;1105;0.0;0.0;0.0011618489037843
126;1985;0.0;0.0;0.0011305836885916
127;685;0.0;0.0;0.0010950520833333
128;925;0.0;0.0;0.0009458128078817
129;1065;0.0;0.0;0.000907029478458
130;665;0.0;0.0;0.0009007741027445
131;1465;0.0;0.0;0.0007773279352226
132;1045;0.0;0.0;0.0007338410577276
133;615;0.0;0.0;0.0006150793650793
134;2375;0.0;0.0;0.0006095238095238
135;1145;0.0;0.0;0.0006095238095238
136;2135;0.0;0.0;0.0006024401723326
137;1215;0.0;0.0;0.0005431966407576
138;535;0.0;0.0;0.0005362379555927
139;835;0.0;0.0;0.0005079365079365
140;795;0.0;0.0;0.0005079365079365
141;1655;0.0;0.0;0.0005004887585532
142;1905;0.0;0.0;0.0004923076923076
143;1855;0.0;0.0;0.0004692082111436
144;1675;0.0;0.0;0.0004376068376068
