genotipo_avaliado;fold;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_nirrig;acerto
CD202;1;B2_CD202_NIRR_REP_RECUP00011.asd;B2;CD202;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;1.0;True
CD202;1;B3_CD202_IRR_REP_RECUP00000.asd;B3;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.0;True
CD202;1;B3_CD202_IRR_REP_RECUP00004.asd;B3;CD202;IRRIG;D10M;manha;D10;IRRIG;NIRRIG;0.752;False
CD202;1;B3_CD202_IRR_REP_RECUP00006.asd;B3;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.012;True
CD202;1;B3_CD202_NIRR_REP_RECUP00005.asd;B3;CD202;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.93;True
CD202;1;B3_CD202_NIRR_REP_RECUP00006.asd;B3;CD202;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.938;True
CD202;1;B4_CD202_IRR_REP_RECUP00001.asd;B4;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.006;True
CD202;1;B4_CD202_IRR_REP_RECUP00005.asd;B4;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.018;True
CD202;1;B4_CD202_NIRR_REP_RECUP00002.asd;B4;CD202;NIRRIG;D10M;manha;D10;NIRRIG;IRRIG;0.156;False
CD202;1;B4_CD202_NIRR_REP_RECUP00005.asd;B4;CD202;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.676;True
CD202;2;B1_CD202_IRRIG_REPROD00004.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.044;True
CD202;2;B1_CD202_NIRRIG_REPROD00000.asd;B1;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True
CD202;2;B1_CD202_NIRRIG_REPROD00002.asd;B1;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True
CD202;2;B2_CD202_IRRIG_REPROD00000.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.24;True
CD202;2;B2_CD202_IRRIG_REPROD00005.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.176;True
CD202;2;B2_CD202_NIRRIG_REPROD00002.asd;B2;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.632;True
CD202;2;B2_CD202_NIRRIG_REPROD00004.asd;B2;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.834;True
CD202;2;B3_CD202_IRRIG_REPROD00001.asd;B3;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.196;True
CD202;2;B3_CD202_IRRIG_REPROD00003.asd;B3;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.048;True
CD202;2;B3_CD202_IRRIG_REPROD00007.asd;B3;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.008;True
CD202;2;B3_CD202_NIRRIG_REPROD00006.asd;B3;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_IRRIG_REPROD00005.asd;B4;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.016;True
CD202;2;B4_CD202_NIRRIG_REPROD00002.asd;B4;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_NIRRIG_REPROD00006.asd;B4;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True
CD202;2;B1_CD202_IRRIG_REPROD00004.asd;B1;CD202;IRRIG;D03M;manha;D03;IRRIG;NIRRIG;0.532;False
CD202;2;B1_CD202_NIRRIG_REPROD00000.asd;B1;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;0.696;True
CD202;2;B1_CD202_NIRRIG_REPROD00002.asd;B1;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;0.744;True
CD202;2;B2_CD202_IRRIG_REPROD00000.asd;B2;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.058;True
CD202;2;B2_CD202_IRRIG_REPROD00005.asd;B2;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.068;True
CD202;2;B2_CD202_NIRRIG_REPROD00002.asd;B2;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
