dia;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D04;2050;0.0111573361887434;0.0391174299540388;0.0877432924937965;0.369140625;True;165;1.0351707697891683;True;0.369140625
D04;2053;0.0075399834195881;0.0294002015086983;0.0990258607320099;0.388671875;True;166;1.0302025482247104;True;0.388671875
D04;753;0.0054455921827615;0.024019160358804;0.1084706498138957;-0.404296875;True;35;1.0267597052236646;True;0.404296875
D04;559;0.0031371058149623;0.0170668541816652;0.1246122828784119;0.4296875;True;15;1.0183970634718322;True;0.4296875
D04;1575;0.2167195591346799;0.2957364043813895;0.0084832506203473;0.1796875;False;118;1.0147107312233736;True;0.1796875
D04;560;0.0035718166674686;0.0191774764004662;0.120800054280397;0.423828125;True;16;1.0116312256896118;True;0.423828125
D04;1585;0.3404239464449984;0.4178393262469729;0.0;0.138671875;False;119;1.0067415219622216;True;0.138671875
D04;1571;0.1837528942640673;0.2639195981341752;0.0123710840570719;0.193359375;False;117;1.0055251236380336;True;0.193359375
D04;549;0.0120431385798689;0.0411674620455186;0.0855565679280397;0.365234375;True;14;0.9975046677282758;False;0.365234375
D04;1794;0.0115927323178685;0.0404365543944699;0.0866470223325062;-0.3671875;True;139;0.9854419559416117;False;0.3671875
D04;2064;0.0107365258412945;0.0380979489627943;0.0888453784119106;0.37109375;True;167;0.9768857815722788;False;0.37109375
D04;1334;0.1291989357316533;0.2012050244385884;0.0210016671836228;-0.220703125;False;93;0.9692452349831086;False;0.220703125
D04;1602;0.4204566645130104;0.4885873194992546;0.0;0.1171875;False;120;0.9424068661205303;False;0.1171875
D04;1900;0.0187859264625441;0.0582903709147929;0.0729247441066997;0.341796875;False;150;0.9403944200337425;False;0.341796875
D04;1555;0.1750538191614764;0.2549967209518382;0.0135342354218362;0.197265625;False;116;0.9391961171096862;False;0.197265625
D04;1554;0.1666658316076763;0.2457452340958621;0.0147206498138957;0.201171875;False;115;0.9326877030947285;False;0.201171875
D04;2238;0.0048068218736867;0.0225601639884016;0.112108405707196;-0.41015625;True;184;0.9315579394937075;False;0.41015625
