data_etr;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_etr;p_spearman_etr;indice_X
02/03;D09M;1160;1.066176893423192;1.0004468943486562;-0.6975429606080396;0.00015138489515006254;810
02/03;D09M;1140;1.0659705613804062;1.0002532827137736;-0.7053707494427931;0.0001182065613023784;790
02/03;D09M;1139;1.0655662905222554;0.9998739352274345;-0.7053707494427931;0.0001182065613023784;789
02/03;D09M;1240;1.065402658004685;0.9997203906842845;-0.6984127149230122;0.00014733604765777863;890
02/03;D09M;1364;1.0652101011916975;0.9995397050337819;-0.6775386113636693;0.00027553892866133563;1014
02/03;D09M;1060;1.0649755827646028;0.999319644710301;-0.6901500489307723;0.00018991188915961542;710
02/03;D09M;1255;1.0645311302319302;0.9989025927569709;-0.7053707494427931;0.0001182065613023784;905
02/03;D09M;1301;1.0643854221467839;0.9987658676017312;-0.6958034519780943;0.00015977501709886057;951
02/03;D09M;1260;1.0641099472554514;0.9985073757874697;-0.7053707494427931;0.0001182065613023784;910
02/03;D09M;1480;1.0639043321317916;0.998314436873519;-0.6871059088283681;0.00020810535319031327;1130
02/03;D09M;1299;1.0637734684167228;0.9981916409302461;-0.6879756631433407;0.0002027584967460016;949
02/03;D09M;1270;1.0637599667507436;0.998178971644426;-0.7053707494427931;0.0001182065613023784;920
02/03;D09M;1660;1.063446879177933;0.9978851859773293;-0.6610132793791895;0.0004372491547191156;1310
02/03;D09M;1281;1.063217194575975;0.9976696614727878;-0.6966732062930668;0.00015553056685700125;931
02/03;D09M;1070;1.062870615417276;0.997344448982154;-0.6901500489307723;0.00018991188915961542;720
02/03;D09M;1126;1.0616794033183314;0.9962266753254082;-0.6910198032457449;0.00018497552501238696;776
02/03;D09M;1370;1.0612496647023588;0.9958234301731416;-0.6723200854738336;0.000319773595956836;1020
02/03;D09M;1080;1.060814926550589;0.9954154937073677;-0.6901500489307723;0.00018991188915961542;730
02/03;D09M;1476;1.060082571059308;0.9947282880651043;-0.6871059088283681;0.00020810535319031327;1126
02/03;D09M;1670;1.0594902751059787;0.994172507264846;-0.6610132793791895;0.0004372491547191156;1320
02/03;D09M;1110;1.0573471099371232;0.9921614686178036;-0.6918895575607177;0.00018015142902865115;760
02/03;D09M;1102;1.0570912486419206;0.9919213812179091;-0.6918895575607177;0.00018015142902865115;752
02/03;D09M;1093;1.0569939601278537;0.9918300905584;-0.6918895575607177;0.00018015142902865115;743
02/03;D09M;1680;1.0556910236916275;0.9906074803900528;-0.66449229663908;0.00039766354294567044;1330
02/03;D09M;1831;1.0547163835021984;0.9896929269452757;-0.6705805768438884;0.00033582884655308494;1481
02/03;D09M;1690;1.0529570529779608;0.9880420594673144;-0.6627527880091348;0.0004170494928981449;1340
02/03;D09M;1840;1.0507993795515973;0.9860174069994737;-0.6705805768438884;0.00033582884655308494;1490
