dia;genotipo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
D10;BR16;1795;8;0.9138111311898311;0.38168356804045606;0.6933861807360278;True;True
D10;BR16;1796;8;0.912107822959725;0.36914572916590477;0.6814742488922328;True;True
D10;BR16;1797;8;0.9099855483721618;0.3539618280693855;0.6702444960795104;True;True
D10;BR16;1798;8;0.9074727814255409;0.33661033201833673;0.6612909875187822;True;True
D10;BR16;1799;8;0.9050696459115307;0.32064651218402646;0.647512609398479;True;True
D10;BR16;1800;8;0.9031669208054123;0.30843978267212036;0.6357889389552953;True;True
D10;BR16;1801;8;0.9017096929108103;0.2993469858612788;0.629257601265106;True;True
D10;BR16;1802;8;0.9006677970081817;0.29298054241447236;0.6218974298230444;True;True
D10;BR16;1803;8;0.8999999803699892;0.2889585327981553;0.6218974298230444;True;True
D10;BR16;1804;8;0.8994787397429507;0.2858509475328756;0.6183299311524194;True;True
D10;BR16;1805;8;0.8988336679392227;0.2820433268441649;0.6160499077288415;True;True
D10;BR16;1806;8;0.8977673701033273;0.2758415251612692;0.6075285185349553;True;True
D10;BR16;1807;8;0.8965642146949229;0.2689804684443441;0.6022886486406781;True;True
D10;BR16;1808;8;0.895269009677958;0.26175478158442345;0.5998896866213824;True;True
D10;BR16;1809;8;0.8940688944770747;0.25520616576571253;0.5998896866213824;True;True
D10;BR16;1810;8;0.8933445358745491;0.2513210899930519;0.5975966145518001;True;True
D10;BR16;1811;8;0.8929960748586633;0.24947008906705703;0.5975966145518001;True;True
D10;BR16;1812;8;0.8927893965738308;0.24837771525482172;0.5973014862897899;True;True
D10;BR16;1813;8;0.8926669612028659;0.2477325198397452;0.5973014862897899;True;True
D10;BR16;1814;8;0.892351425840529;0.24607632651247635;0.5973014862897899;True;True
D10;BR16;1815;8;0.891706275712393;0.2427194223415397;0.5973014862897899;True;True
D10;BR16;1816;8;0.8904103564529985;0.23609463456912244;0.5953982261301538;True;True
D10;BR16;1817;8;0.8891213765323702;0.22966004169650178;0.5953982261301538;True;True
D10;BR16;1818;8;0.888619258123015;0.2271947244424251;0.5953982261301538;True;True
D10;BR16;1819;8;0.8881150527503875;0.22474222509501363;0.5953982261301538;True;True
D10;BR16;1820;8;0.8877282975443129;0.22287658862093257;0.5953982261301538;True;True
D10;BR16;1821;8;0.8873955297249901;0.22128214520656508;0.5953982261301538;True;True
D10;BR16;1822;8;0.8864452456498016;0.21678334949578565;0.5953982261301538;True;True
D10;BR16;1823;8;0.8849471103202173;0.2098528295039398;0.5912199908139842;True;True
D10;BR16;1824;8;0.8827938617387192;0.20023180637463078;0.5773072152359441;True;True
D10;BR16;1825;8;0.8801709126080883;0.18903888364049487;0.5641357940041668;True;True
D10;BR16;1826;8;0.8703582716162952;0.1519499862982056;0.5469584130757495;True;True
D10;BR16;1827;8;0.8699106805049865;0.15042679368632317;0.5469584130757495;True;True
D10;BR16;1828;8;0.8768115691758169;0.1755168089449673;0.5521241950093986;True;True
D10;BR16;1829;8;0.888899506304325;0.22856786061375678;0.5953982261301538;True;True
D10;BR16;1830;8;0.9034895385384717;0.3104827610103739;0.636675735257322;True;True
D10;BR16;1831;8;0.9175812739452084;0.41054649803996945;0.7215345908140337;True;True
D10;BR16;1832;8;0.9282763670928126;0.5005215014767418;0.7530997844590641;True;True
D10;BR16;1833;8;0.9408745068493647;0.6197049414883843;0.8034227781243213;True;True
D10;BR16;1834;8;0.9467758976164206;0.6787090729338602;0.8403167059607727;True;True
D10;BR16;1835;8;0.9453945063401296;0.6648047637939785;0.8336790911683063;True;True
D10;BR16;1836;8;0.9353139235535363;0.5656406634097488;0.7847439974528831;True;True
D10;BR16;1837;8;0.9320072676133414;0.5345227838996907;0.7698779703499056;True;True
D10;BR16;1838;8;0.9308668669188368;0.5239989564698105;0.7634604760913762;True;True
D10;BR16;1839;8;0.9299626980134285;0.5157357155012756;0.7620849801823604;True;True
D10;BR16;1840;8;0.9290201083476971;0.5071994353977174;0.7557097988790129;True;True
D10;BR16;1841;8;0.9278634751633493;0.4968364867138547;0.752593526034059;True;True
D10;BR16;1842;8;0.9261547338412178;0.48175876559388053;0.7501015559415084;True;True
D10;BR16;1843;8;0.9255638969918895;0.47661112967691466;0.7501015559415084;True;True
D10;BR16;1844;8;0.9260643891303219;0.48096942692357175;0.7501015559415084;True;True
D10;BR16;1845;8;0.9261707727248569;0.4818989800660332;0.7501015559415084;True;True
D10;BR16;1846;8;0.9259228839517094;0.4797347048022076;0.7501015559415084;True;True
D10;BR16;1847;8;0.9265191897609845;0.4849510790728621;0.7501015559415084;True;True
D10;BR16;1848;8;0.9305044893894515;0.5206784835569916;0.7634604760913762;True;True
D10;BR16;1849;8;0.9337125190213742;0.5504622785244881;0.7788926530894865;True;True
D10;BR16;1850;8;0.9362510028817183;0.5746109103588547;0.7867026343400246;True;True
D10;BR16;1851;8;0.938236529600479;0.5938167850180918;0.7970479805158794;True;True
D10;BR16;1852;8;0.9394111403068214;0.6052957509242898;0.79864832439284;True;True
D10;BR16;1853;8;0.9397878628375895;0.6089942012064562;0.79864832439284;True;True
D10;BR16;1854;8;0.9394136681097688;0.605320540977141;0.79864832439284;True;True
D10;BR16;1855;8;0.9401096084321644;0.612159089919637;0.7994426886991022;True;True
D10;BR16;1856;8;0.9398213954786451;0.6093237867849179;0.79864832439284;True;True
D10;BR16;1857;8;0.938430827616203;0.5957098704002457;0.7970479805158794;True;True
