genotipo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
EMB48;763;56;0.9339241332699318;0.004310131611717158;0.019494908153167987;False;False
EMB48;764;56;0.9334760974553451;0.004129844854558097;0.019291832326689975;False;False
EMB48;765;56;0.9330596538490182;0.0039693805130946325;0.019291832326689975;False;False
EMB48;766;56;0.9326762268354551;0.0038274365243042233;0.019291832326689975;False;False
EMB48;767;56;0.9322533432828992;0.003677063155190476;0.019291832326689975;False;False
EMB48;768;56;0.9319143369368517;0.0035610119591924505;0.019291832326689975;False;False
EMB48;769;56;0.931723261148248;0.0034973070509476574;0.019291832326689975;False;False
EMB48;770;56;0.9316260418926203;0.003465355803798249;0.019291832326689975;False;False
EMB48;771;56;0.9315279990558935;0.0034334450896443794;0.019291832326689975;False;False
EMB48;772;56;0.9314232795110421;0.00339970284989609;0.019291832326689975;False;False
EMB48;773;56;0.9312512171036276;0.003345017973326808;0.019291832326689975;False;False
EMB48;774;56;0.9311236907478195;0.0033050858054516573;0.019291832326689975;False;False
EMB48;775;56;0.9310966899669434;0.0032966956837518265;0.019291832326689975;False;False
EMB48;776;56;0.9310590371141013;0.0032850330176068207;0.019291832326689975;False;False
EMB48;777;56;0.931014418571655;0.0032712690291240762;0.019291832326689975;False;False
EMB48;778;56;0.9309619804816446;0.0032551704728260443;0.019291832326689975;False;False
EMB48;779;56;0.9309684243517958;0.0032571442428715857;0.019291832326689975;False;False
EMB48;780;56;0.9309863019092852;0.003262626777560814;0.019291832326689975;False;False
EMB48;781;56;0.9309637452763749;0.003255710907589767;0.019291832326689975;False;False
EMB48;782;56;0.9309096106259701;0.0032391761393174897;0.019291832326689975;False;False
EMB48;783;56;0.9307973747975067;0.003205176273372497;0.019291832326689975;False;False
EMB48;784;56;0.930729142947307;0.0031846905732180087;0.019291832326689975;False;False
EMB48;785;56;0.9306951338696734;0.0031745313583993622;0.019291832326689975;False;False
EMB48;786;56;0.9306091193348527;0.0031489891172594617;0.019291832326689975;False;False
EMB48;787;56;0.9305311670938179;0.0031260279970419516;0.019291832326689975;False;False
EMB48;788;56;0.9304530499467649;0.00310319518875468;0.019291832326689975;False;False
EMB48;789;56;0.9303527524369349;0.003074136635504168;0.019291832326689975;False;False
EMB48;790;56;0.9302287086554025;0.0030385942637766086;0.019291832326689975;False;False
EMB48;791;56;0.9300915996589191;0.0029998115692808254;0.019291832326689975;False;False
EMB48;792;56;0.9299358039674265;0.002956375378981885;0.019291832326689975;False;False
EMB48;793;56;0.9297515988494052;0.0029058721393627495;0.019291832326689975;False;False
EMB48;794;56;0.9295588369950907;0.0028539952386783724;0.019291832326689975;False;False
EMB48;795;56;0.9294226735611072;0.0028179391554249596;0.019291832326689975;False;False
EMB48;796;56;0.9293417324588928;0.0027967337329514773;0.019291832326689975;False;False
EMB48;797;56;0.9292761962983704;0.002779687416905418;0.019291832326689975;False;False
EMB48;798;56;0.9291716866456964;0.0027527300549207005;0.019291832326689975;False;False
EMB48;799;56;0.9290987511725162;0.002734080321974565;0.019291832326689975;False;False
EMB48;800;56;0.9289995313857952;0.002708923186789237;0.019291832326689975;False;False
EMB48;801;56;0.9288675687386662;0.00267584155044974;0.019291832326689975;False;False
EMB48;802;56;0.9287378575567741;0.0026437390968552426;0.019291832326689975;False;False
EMB48;803;56;0.928555607490542;0.0025993179663355813;0.019291832326689975;False;False
EMB48;804;56;0.9284030695371993;0.002562743699224755;0.019291832326689975;False;False
EMB48;805;56;0.9283630186229882;0.0025532308284020424;0.019291832326689975;False;False
EMB48;806;56;0.9283689150022935;0.002554628993107831;0.019291832326689975;False;False
EMB48;807;56;0.9283247361916968;0.002544172798378617;0.019291832326689975;False;False
EMB48;808;56;0.928294728852715;0.0025370964297242045;0.019291832326689975;False;False
EMB48;809;56;0.9282977668590989;0.002537811911285026;0.019291832326689975;False;False
EMB48;810;56;0.9282378183339666;0.0025237326517947804;0.019291832326689975;False;False
EMB48;811;56;0.9281254094137774;0.0024975542653173787;0.019291832326689975;False;False
EMB48;812;56;0.9280198028864381;0.0024732207905558703;0.019291832326689975;False;False
EMB48;813;56;0.9279073508043555;0.00244758455954139;0.019291832326689975;False;False
EMB48;814;56;0.9278495188901859;0.0024345095805199555;0.019291832326689975;False;False
EMB48;815;56;0.9278057046239948;0.002424652833636431;0.019291832326689975;False;False
EMB48;816;56;0.9277157275121302;0.0024045426809720313;0.019291832326689975;False;False
EMB48;817;56;0.9275645452986984;0.0023711479972928456;0.019291832326689975;False;False
EMB48;818;56;0.9273169938755328;0.0023175180158517546;0.019291832326689975;False;False
EMB48;819;56;0.9270413512258122;0.0022593040365971283;0.019291832326689975;False;False
EMB48;820;56;0.9267546193533773;0.0022003815725031265;0.019291832326689975;False;False
EMB48;821;56;0.9264283980506184;0.0021353095079148683;0.019291832326689975;False;False
EMB48;822;56;0.9261522509095105;0.0020818121646497103;0.019291832326689975;False;False
EMB48;823;56;0.9259813340243641;0.002049410638373833;0.019291832326689975;False;False
EMB48;824;56;0.9258927754466264;0.002032831780320703;0.019291832326689975;False;False
EMB48;825;56;0.9258838839088666;0.002031175047391742;0.019291832326689975;False;False
EMB48;826;56;0.9260086159075295;0.0020545467086304538;0.019291832326689975;False;False
EMB48;827;56;0.9261562275720954;0.002082572440585173;0.019291832326689975;False;False
EMB48;828;56;0.9261951680436478;0.0020900327451811623;0.019291832326689975;False;False
EMB48;829;56;0.9261992402744268;0.0020908145388630994;0.019291832326689975;False;False
EMB48;830;56;0.9262013176480755;0.0020912134753353815;0.019291832326689975;False;False
EMB48;831;56;0.9261880848455301;0.002088673635431898;0.019291832326689975;False;False
EMB48;832;56;0.9262074835608034;0.0020923980430691876;0.019291832326689975;False;False
EMB48;833;56;0.926157567679031;0.0020828287141232207;0.019291832326689975;False;False
EMB48;834;56;0.9261047688323001;0.0020727569132843976;0.019291832326689975;False;False
EMB48;835;56;0.9260749835889381;0.0020670978161685814;0.019291832326689975;False;False
EMB48;836;56;0.9260047037423444;0.0020538093737782065;0.019291832326689975;False;False
EMB48;837;56;0.9260060158651349;0.0020540566414933453;0.019291832326689975;False;False
EMB48;838;56;0.9260557729015385;0.0020634564964497316;0.019291832326689975;False;False
EMB48;839;56;0.9260342893947444;0.002059392384002846;0.019291832326689975;False;False
EMB48;840;56;0.9260368539983007;0.0020598770952074286;0.019291832326689975;False;False
EMB48;841;56;0.9261379125383645;0.0020790733212571436;0.019291832326689975;False;False
EMB48;842;56;0.9262559733207772;0.002101738383867434;0.019291832326689975;False;False
EMB48;843;56;0.92634938927441;0.002119856821593964;0.019291832326689975;False;False
EMB48;844;56;0.9264934004026772;0.0021481118620664597;0.019291832326689975;False;False
EMB48;845;56;0.9265428007101825;0.0021578954881810416;0.019291832326689975;False;False
EMB48;846;56;0.9265168806934497;0.0021527562372691557;0.019291832326689975;False;False
EMB48;847;56;0.9265459737870498;0.0021585255134502807;0.019291832326689975;False;False
