dia;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
D02;495;192;0.9765165370140073;0.0025775740203167583;0.010108230049081589;False;False
D02;496;192;0.9767971943952265;0.0028065240432785196;0.010819888745797451;False;False
D02;497;192;0.9770961688127554;0.0030739121588444266;0.011675173773685035;False;False
D02;498;192;0.9773523552912863;0.0033241709780693083;0.012196555771055727;False;False
D02;499;192;0.977619986096987;0.003608422170878183;0.012893508488625704;False;False
D02;500;192;0.9778743523327404;0.003902133273080432;0.013405821345205973;False;False
D02;501;192;0.9781047808561353;0.00418973723777461;0.013794511722591213;False;False
D02;502;192;0.9783344364033673;0.004498424902159361;0.013939766072841987;False;False
D02;503;192;0.97855073055878;0.004810854503263657;0.01395996399429768;False;False
D02;504;192;0.9787433659021086;0.005108140192859391;0.01395996399429768;False;False
D02;505;192;0.9790069209205594;0.005546189414899733;0.014290495590401195;False;False
D02;506;192;0.9794322281420135;0.006337370243708812;0.015566402838139847;False;False
D02;507;192;0.980138046619089;0.007919560141599618;0.0180077803219743;False;False
D02;508;192;0.9810547678943149;0.0106084425964001;0.022357739319921105;False;False
D02;509;192;0.9820202914636444;0.014481222323812293;0.027309205571934437;False;False
D02;510;192;0.982946148646583;0.01957494817442201;0.03304559739766775;False;False
D02;511;192;0.9837530038022695;0.025509454842213782;0.040652596644429266;False;False
D02;512;192;0.9844552185824786;0.03216598911347231;0.0492699355278056;False;False
D02;513;192;0.9850037592159443;0.03858197564877079;0.05668455018311526;False;True
D02;514;192;0.9850472567237448;0.039143386107721494;0.05730412912700698;False;True
D02;515;192;0.9850918036480714;0.03972694100607644;0.057828215758312825;False;True
D02;516;192;0.9849006580720961;0.03728372091011135;0.05521221053186886;False;True
D02;517;192;0.983747906212666;0.02546666927584919;0.0406304066896094;False;False
D02;518;192;0.981983981751437;0.01431188722717603;0.027104044970395234;False;False
D02;519;192;0.980351708261824;0.008475520085284655;0.018894882277085683;False;False
D02;520;192;0.9795978740081915;0.006676502804198706;0.016015797954867305;False;False
D02;521;192;0.979980833755545;0.007534753197373121;0.01742252402233627;False;False
D02;522;192;0.9810486104447649;0.010587523324609554;0.022340545616022837;False;False
D02;523;192;0.9817475786776058;0.013258248725097607;0.025701954759144795;False;False
D02;524;192;0.9823097493804859;0.015907337187878606;0.028594170527904486;False;False
D02;525;192;0.9824002516044166;0.016382362232240814;0.029192202379084195;False;False
D02;526;192;0.982189516014451;0.01529813884136995;0.02793987779487958;False;False
D02;527;192;0.9821552334272273;0.015128883925951462;0.027831181181090646;False;False
D02;528;192;0.9821734226193569;0.015218442909586894;0.02783121464868567;False;False
D02;529;192;0.9820452138681376;0.014598647322139191;0.027419254265299894;False;False
D02;530;192;0.98182853005902;0.013609715398034666;0.026234517181737874;False;False
D02;531;192;0.981554828488604;0.012458638273085331;0.02466473658117569;False;False
D02;532;192;0.9812911982688265;0.011444936103577039;0.023426710527381742;False;False
D02;533;192;0.9810373857254223;0.01054949841449164;0.022306207472291083;False;False
D02;534;192;0.9808497400566132;0.00993436125677952;0.021290882902460603;False;False
D02;535;192;0.9806247019422702;0.009245357217536042;0.020108406843230564;False;False
D02;536;192;0.9803862941855545;0.008569255571216499;0.01900027556109424;False;False
D02;537;192;0.9801604950831523;0.007976149325148865;0.01807633399544787;False;False
D02;538;192;0.979894599335058;0.007331976064657204;0.01704975386463937;False;False
D02;539;192;0.9795879250759224;0.006655610945730326;0.015984377107368733;False;False
D02;540;192;0.9792391398783191;0.005964548740528239;0.014963865503624638;False;False
D02;541;192;0.978909262880576;0.005379482852575581;0.014145281193118612;False;False
D02;542;192;0.9786312097853281;0.00493280119075629;0.01395996399429768;False;False
D02;543;192;0.9783501909975828;0.004520451579850574;0.013939766072841987;False;False
D02;544;192;0.9780904679750321;0.004171244968978558;0.013794511722591213;False;False
D02;545;192;0.9779356616276206;0.003976585975269015;0.013557129470088376;False;False
D02;546;192;0.9778555298176524;0.0038795683392951544;0.013365717886243668;False;False
D02;547;192;0.9778325546638577;0.0038522093651899058;0.013349624547910095;False;False
D02;548;192;0.9778143051774396;0.0038306211393156625;0.013349624547910095;False;False
D02;549;192;0.9778278436695835;0.0038466243767529005;0.013349624547910095;False;False
D02;550;192;0.9778378367880786;0.0038584814967624207;0.013349624547910095;False;False
D02;551;192;0.9778518386956011;0.0038751593021861533;0.013365717886243668;False;False
D02;552;192;0.9779039962510316;0.003937949054475556;0.0134836953434547;False;False
D02;553;192;0.9780005031411465;0.004056941461467423;0.013640634323720794;False;False
D02;554;192;0.9781092553937204;0.004195535864110329;0.013794511722591213;False;False
D02;555;192;0.9782197071806635;0.004341355388581649;0.01379626908766133;False;False
D02;556;192;0.9783411592299589;0.004507810453461031;0.013939766072841987;False;False
D02;557;192;0.9784818226121507;0.004708937046000161;0.01395996399429768;False;False
D02;558;192;0.9786186712663119;0.004913592404717621;0.01395996399429768;False;False
D02;559;192;0.97875588158385;0.005128105111915806;0.01395996399429768;False;False
D02;560;192;0.9790054996143174;0.005543725009602268;0.014290495590401195;False;False
D02;561;192;0.9794217404011719;0.006316510541468466;0.015533768729678448;False;False
D02;562;192;0.9800102564313748;0.007605265081218748;0.017526290653460282;False;False
D02;563;192;0.9806393765175562;0.009288739327184891;0.020163961908760707;False;False
D02;564;192;0.9812292632811807;0.011219415120346306;0.02324345496144472;False;False
D02;565;192;0.9816454261989422;0.012828076599539396;0.025129307646280137;False;False
D02;566;192;0.9820271468361238;0.01451342470668383;0.027309205571934437;False;False
D02;567;192;0.9824126351564328;0.016448488971002727;0.029259194171315346;False;False
D02;568;192;0.9828641729536105;0.019057377845355432;0.03232976175419685;False;False
D02;569;192;0.9833845405826668;0.022598746230741866;0.03708002281540125;False;False
D02;570;192;0.983993782201932;0.027616540650831276;0.043073402946657756;False;False
D02;571;192;0.9846072584604613;0.033827034796973264;0.051240212975326556;False;True
D02;572;192;0.9849909577450598;0.0384183131662731;0.056616135176986236;False;True
D02;573;192;0.9851223169093424;0.04013174667858998;0.05825288900413886;False;True
D02;574;192;0.9850676430059878;0.03940935422519514;0.057488325402471716;False;True
D02;575;192;0.9847994950884492;0.03605301934197953;0.05381713440349345;False;True
D02;576;192;0.9844224463785084;0.03181898288485928;0.048884444866551593;False;False
D02;577;192;0.9840037088181771;0.027707138191849896;0.04318186962878734;False;False
D02;578;192;0.9836340272346821;0.024529779031628313;0.03958345931854419;False;False
D02;579;192;0.9834094981709157;0.02278469134522188;0.03732540091777163;False;False
D02;580;192;0.9835274562977333;0.023685010080777558;0.038523358981502595;False;False
D02;581;192;0.9839559479135792;0.027274006768126902;0.04276681030690235;False;False
D02;582;192;0.9846202835550022;0.03397333895106106;0.051423851061716784;False;True
D02;583;192;0.9853463328311104;0.043234654073356575;0.06166500382785419;False;True
D02;584;192;0.9860611641005804;0.05485567327188435;0.07401906965831237;True;True
D02;585;192;0.9867367942957835;0.06871762772216905;0.08754028227215449;True;True
D02;586;192;0.9873239408574902;0.08357094097772555;0.09976949938609726;True;True
D02;587;192;0.9877994127742977;0.09789077440844873;0.11001313880094704;True;True
D02;588;192;0.988136575166003;0.10947626668241228;0.1201467421958663;True;True
D02;589;192;0.9883800725059562;0.11866231105996261;0.12883875065324685;True;True
D02;590;192;0.9885627108994963;0.1260374009756724;0.1352709102046594;True;True
D02;591;192;0.9886978858855486;0.13177801387963906;0.14106299919996854;True;True
D02;592;192;0.9888312351343548;0.13768620272321613;0.14677463710255526;True;True
D02;593;192;0.9889403564698118;0.14270834874743826;0.15102932057842924;True;True
D02;594;192;0.9890445338650404;0.14766526886348713;0.15579293541101447;True;True
D02;595;192;0.9891644181202646;0.1535715567931069;0.1608658135764363;True;True
D02;596;192;0.9892919912151596;0.16010134626778805;0.16676884773754863;True;True
D02;597;192;0.9894148383334043;0.1666352476713484;0.17226254686186268;True;True
D02;598;192;0.9895397517305313;0.17353430885697607;0.17831606586455806;True;True
D02;599;192;0.989677518355288;0.18145113013210556;0.18487643710926405;True;True
D02;600;192;0.9898113828527559;0.18946278515046938;0.19272723691795;True;True
D02;601;192;0.9899556667834722;0.19846144559838497;0.20160694646968183;True;True
