banda_nm;estratos;estratos_normais_p;estratos_normais_q;p_minimo;W_mediano;prop_estratos_normais_p;prop_estratos_normais_q
523;42;9;13;3.2839575166180635e-05;0.8961946908577566;0.21428571428571427;0.30952380952380953
524;42;9;13;2.7422891155842478e-05;0.8962594754355573;0.21428571428571427;0.30952380952380953
525;42;9;13;2.3296617010154803e-05;0.8961369535912257;0.21428571428571427;0.30952380952380953
526;42;6;12;1.956568674685403e-05;0.8992956950294024;0.14285714285714285;0.2857142857142857
527;42;6;12;1.61949045813433e-05;0.9050934129151815;0.14285714285714285;0.2857142857142857
528;42;4;12;1.351458499712935e-05;0.9052519997953652;0.09523809523809523;0.2857142857142857
529;42;5;12;1.1656357626643858e-05;0.9057550734025026;0.11904761904761904;0.2857142857142857
530;42;5;10;1.0195639041408374e-05;0.9051474112958819;0.11904761904761904;0.23809523809523808
531;42;4;9;9.025729528237046e-06;0.9066590338163156;0.09523809523809523;0.21428571428571427
532;42;5;9;8.138219578063613e-06;0.9069561064303722;0.11904761904761904;0.21428571428571427
533;42;5;10;7.474005082795479e-06;0.9087324831544465;0.11904761904761904;0.23809523809523808
534;42;5;10;7.025168667415331e-06;0.9096434685981125;0.11904761904761904;0.23809523809523808
535;42;7;10;6.848277032428387e-06;0.909775879783244;0.16666666666666666;0.23809523809523808
536;42;7;9;6.825283875249907e-06;0.9098942660972714;0.16666666666666666;0.21428571428571427
537;42;6;9;6.788764818996583e-06;0.9100918564766705;0.14285714285714285;0.21428571428571427
538;42;6;9;6.8191689040582764e-06;0.909745237185537;0.14285714285714285;0.21428571428571427
539;42;6;9;6.824882463480286e-06;0.9093859121238466;0.14285714285714285;0.21428571428571427
540;42;6;9;6.8426089512205245e-06;0.9095146082263469;0.14285714285714285;0.21428571428571427
541;42;6;8;6.924932328682499e-06;0.909020841445477;0.14285714285714285;0.19047619047619047
542;42;6;8;6.96232328898122e-06;0.90847059143653;0.14285714285714285;0.19047619047619047
543;42;6;8;6.9787337044919975e-06;0.9083635991072883;0.14285714285714285;0.19047619047619047
544;42;6;8;7.041573239786372e-06;0.9085209149130509;0.14285714285714285;0.19047619047619047
545;42;6;8;7.167739707108029e-06;0.9085366791662369;0.14285714285714285;0.19047619047619047
546;42;6;8;7.131743139962885e-06;0.907844690209447;0.14285714285714285;0.19047619047619047
547;42;5;8;6.9711765432514676e-06;0.9071524968740283;0.11904761904761904;0.19047619047619047
548;42;5;8;6.820000268214351e-06;0.9080264621826;0.11904761904761904;0.19047619047619047
549;42;5;8;6.68466957395229e-06;0.9086133285928086;0.11904761904761904;0.19047619047619047
550;42;4;8;6.582164926778298e-06;0.9085841813692117;0.09523809523809523;0.19047619047619047
551;42;4;8;6.452387050811435e-06;0.9081890192829435;0.09523809523809523;0.19047619047619047
552;42;4;8;6.317607279134237e-06;0.9078048261890268;0.09523809523809523;0.19047619047619047
553;42;4;8;6.239919945295865e-06;0.9073612189499041;0.09523809523809523;0.19047619047619047
554;42;4;8;6.200550731817785e-06;0.9066725947553498;0.09523809523809523;0.19047619047619047
555;42;4;8;6.170327641845452e-06;0.9058986446294562;0.09523809523809523;0.19047619047619047
556;42;4;8;6.127812094310005e-06;0.9056149696869115;0.09523809523809523;0.19047619047619047
557;42;4;8;6.1176850642650924e-06;0.9055526470234063;0.09523809523809523;0.19047619047619047
558;42;4;8;6.138693660355781e-06;0.9057446543957057;0.09523809523809523;0.19047619047619047
559;42;4;8;6.223061098829521e-06;0.9058853655298045;0.09523809523809523;0.19047619047619047
560;42;4;9;6.355636094448207e-06;0.9061864045199095;0.09523809523809523;0.21428571428571427
561;42;6;9;6.697368145236829e-06;0.9079058534768665;0.14285714285714285;0.21428571428571427
562;42;6;9;7.1457809040575555e-06;0.9081788314426289;0.14285714285714285;0.21428571428571427
563;42;6;9;7.67728148292921e-06;0.909082571575311;0.14285714285714285;0.21428571428571427
