banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos
719;1.141630651060975;True;100;91;0.91;0.0022683410930605763;confirmada;True;1.4158359875925973e-08;1.1232173550594643e-06;True;3
736;0.7513386870327655;False;100;61;0.61;0.0012621427577037307;tentativa;False;5.574667807526106e-11;3.38262118091469e-06;True;1
741;0.8809145062074556;False;100;83;0.83;0.0017701477964305518;confirmada;True;3.2173370295708084e-11;2.1430827924045e-05;True;2
754;1.03875043814232;True;100;90;0.9;0.003808220023392514;confirmada;True;5.257161795530841e-12;7.709393255029373e-05;True;3
764;1.0079350148300517;True;100;76;0.76;0.003795827317226737;confirmada;True;4.986330855368519e-12;7.709393255029373e-05;True;3
771;0.9701430165194681;False;100;77;0.77;0.0038884869895436085;confirmada;True;4.986330855368519e-12;7.938007063200073e-05;True;2
782;0.9365829345431412;False;100;60;0.6;0.0021714079172948032;tentativa;False;4.986330855368519e-12;8.448933372656579e-05;True;1
792;0.9256914254259753;False;100;59;0.59;0.0025358697950422678;tentativa;False;4.986330855368519e-12;0.0001055748951267;True;1
802;0.9193433410346822;False;100;75;0.75;0.0031383067573593237;confirmada;True;4.986330855368519e-12;0.0001130978970698;True;2
811;0.9111530552464614;False;100;74;0.74;0.003646592589796537;confirmada;True;4.986330855368519e-12;0.0001130978970698;True;2
821;0.8930549450271258;False;100;59;0.59;0.002578820619306277;tentativa;False;4.986330855368519e-12;0.0001240546830884;True;1
832;0.8698945525008313;False;100;50;0.5;0.001857347495666196;tentativa;False;4.986330855368519e-12;0.000122749912026;True;1
841;0.8489465249535233;False;100;24;0.24;0.0008305820977414427;rejeitada;False;4.986330855368519e-12;7.88613507158953e-05;True;1
851;0.8361301928336189;False;100;8;0.08;0.00044196752048524597;rejeitada;False;5.114240616992989e-12;5.437425714738672e-05;True;1
862;0.8330752249262884;False;100;8;0.08;0.00038843181901124615;rejeitada;False;5.114240616992989e-12;3.473102123691317e-05;True;1
871;0.8358176424114769;False;100;5;0.05;0.0003717350743177755;rejeitada;False;5.114240616992989e-12;2.388363692261006e-05;True;1
879;0.8392943869163004;False;100;5;0.05;0.0003783199293680062;rejeitada;False;5.257161795530841e-12;2.201710446387967e-05;True;1
889;0.8426109147162709;False;100;3;0.03;0.00036977051404732614;rejeitada;False;5.88562830176959e-12;2.1336259383515772e-05;True;1
901;0.8460330847646802;False;100;5;0.05;0.0003617264404798104;rejeitada;False;5.9212429233602905e-12;1.671826989946464e-05;True;1
914;0.8493154180434894;False;100;4;0.04;0.00040806179546470553;rejeitada;False;5.563490526629979e-12;1.5240553038609484e-05;True;1
922;0.8515951863830055;False;100;6;0.06;0.0004172358686172225;rejeitada;False;5.88562830176959e-12;1.2694643924592764e-05;True;1
932;0.8538198940423589;False;100;10;0.1;0.00044659414587103376;rejeitada;False;5.9212429233602905e-12;9.846173211053927e-06;True;1
941;0.857365405533791;False;100;17;0.17;0.0005379276216580524;rejeitada;False;5.9212429233602905e-12;1.2920083923270648e-08;True;1
950;0.8611974802047158;False;100;22;0.22;0.00065034027630742;rejeitada;False;5.9212429233602905e-12;9.414813835656082e-09;True;1
964;0.8649857619252016;False;100;15;0.15;0.0006252273695159295;rejeitada;False;6.42875811886333e-12;3.063059633994192e-09;True;1
972;0.8739210502824547;False;100;18;0.18;0.0006705818132150259;rejeitada;False;7.150285200817023e-12;2.0956620578829903e-09;True;1
985;0.8895119708039639;False;100;35;0.35;0.0008846831464911298;tentativa;False;6.800716512772245e-12;1.4088760477748852e-09;True;1
991;0.8964465531696355;False;100;30;0.3;0.0008033678405522934;rejeitada;False;6.800716512772245e-12;1.3297028200281612e-09;True;1
1002;0.9003893073656091;False;100;40;0.4;0.0009396455891411225;tentativa;False;6.800716512772245e-12;1.3043934952227379e-09;True;1
1013;0.9057455953607046;False;100;53;0.53;0.0011872416880003426;tentativa;False;5.257161795530841e-12;1.4316940842540886e-09;True;1
1024;0.9068160692999455;False;100;45;0.45;0.001020895186704868;tentativa;False;5.257161795530841e-12;1.4316940842540886e-09;True;1
1032;0.8983236807057045;False;100;34;0.34;0.0008726437110358932;rejeitada;False;5.114240616992989e-12;1.4316940842540886e-09;True;1
1042;0.8917417825510073;False;100;51;0.51;0.001120311777390249;tentativa;False;5.114240616992989e-12;1.4316940842540886e-09;True;1
1052;0.8943606024057049;False;100;43;0.43;0.0010375371405552856;tentativa;False;5.114240616992989e-12;2.024508465690525e-09;True;1
1062;0.8942224103562206;False;100;36;0.36;0.0008313524570669318;tentativa;False;5.114240616992989e-12;2.8746818873570204e-06;True;1
1070;0.8949621270212078;False;100;22;0.22;0.0006818994318579849;rejeitada;False;5.114240616992989e-12;3.38262118091469e-06;True;1
1077;0.8948963536098338;False;100;16;0.16;0.000619496959843619;rejeitada;False;5.9212429233602905e-12;3.38262118091469e-06;True;1
1088;0.884978980426225;False;100;14;0.14;0.0005415192918991351;rejeitada;False;1.444455360062874e-11;3.38262118091469e-06;True;1
1106;0.8563514461801134;False;100;16;0.16;0.0006687295670182635;rejeitada;False;1.444455360062874e-11;3.38262118091469e-06;True;1
1115;0.8419218756634227;False;100;12;0.12;0.0004777177872419436;rejeitada;False;5.563490526629979e-12;3.38262118091469e-06;True;1
1122;0.8343018404417386;False;100;4;0.04;0.0003946660070931425;rejeitada;False;4.986330855368519e-12;1.0254030751854861e-08;True;1
1131;0.825925127866645;False;100;16;0.16;0.0006706478742147342;rejeitada;False;4.986330855368519e-12;1.0028848465363165e-08;True;1
1141;0.8235672730435353;False;100;53;0.53;0.00166712876289476;tentativa;False;4.986330855368519e-12;1.1232100011826348e-08;True;1
1151;0.8364189119892139;False;100;66;0.66;0.0026007000030628972;confirmada;True;4.986330855368519e-12;4.5541074771388817e-08;True;2
1161;0.8452247809475377;False;100;70;0.7;0.0028119117826510024;confirmada;True;4.986330855368519e-12;4.5541074771388817e-08;True;2
1168;0.843932025655863;False;100;57;0.57;0.001979075072812831;tentativa;False;4.986330855368519e-12;1.5853590325265803e-08;True;1
1177;0.841892074645057;False;100;59;0.59;0.00178531913428547;tentativa;False;7.150285200817023e-12;1.4223988492252865e-08;True;1
1191;0.8429114323565441;False;100;31;0.31;0.0011089081587124336;rejeitada;False;9.824799225403252e-12;1.1076595035213891e-08;True;1
1202;0.8429672321798289;False;100;33;0.33;0.00120410092114282;rejeitada;False;9.824799225403252e-12;1.0197158839931498e-08;True;1
1211;0.8424912965355063;False;100;31;0.31;0.0009619921953640709;rejeitada;False;9.824799225403252e-12;9.51990049406762e-09;True;1
1221;0.8413022306165049;False;100;46;0.46;0.001118675288103486;tentativa;False;9.824799225403252e-12;9.414813835656082e-09;True;1
1232;0.8399494901505233;False;100;44;0.44;0.0011263146262062863;tentativa;False;9.824799225403252e-12;8.042134450211824e-09;True;1
1241;0.8395548380476741;False;100;47;0.47;0.0010927063211111417;tentativa;False;9.824799225403252e-12;4.453209935945057e-09;True;1
1251;0.8395924846056358;False;100;50;0.5;0.0012341656559636443;tentativa;False;9.824799225403252e-12;2.825839366545483e-09;True;1
1261;0.8394267060891178;False;100;64;0.64;0.001381707648877606;tentativa;False;9.824799225403252e-12;3.325945216282597e-09;True;1
