grupo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
todas;1464;168;0.9579484751931594;6.075013098027263e-05;0.0053037341195387175;False;False
todas;1465;168;0.9579990794803913;6.143370618291743e-05;0.0053037341195387175;False;False
todas;1466;168;0.9580746200428185;6.246919780896936e-05;0.0053037341195387175;False;False
todas;1467;168;0.958168452517177;6.37810196023344e-05;0.0053037341195387175;False;False
todas;1468;168;0.9582576461947815;6.505483192482317e-05;0.0053037341195387175;False;False
todas;1469;168;0.9583487023317196;6.638283908334307e-05;0.0053037341195387175;False;False
todas;1470;168;0.9584513630297302;6.791431006021356e-05;0.0053037341195387175;False;False
todas;1471;168;0.9585645361832807;6.964569651892712e-05;0.0053037341195387175;False;False
todas;1472;168;0.9586871514641037;7.157396755535361e-05;0.0053037341195387175;False;False
todas;1473;168;0.9588155753264809;7.365382187409815e-05;0.0053037341195387175;False;False
todas;1474;168;0.9589346154786389;7.563843678906147e-05;0.0053037341195387175;False;False
todas;1475;168;0.9590649033133699;7.787509775786415e-05;0.0053037341195387175;False;False
todas;1476;168;0.9592260270659273;8.073758681754396e-05;0.0053037341195387175;False;False
todas;1477;168;0.9594358152896019;8.463124022228913e-05;0.0053037341195387175;False;False
todas;1478;168;0.959653330501244;8.887720104912278e-05;0.005335493788857566;False;False
todas;1479;168;0.9598852066022877;9.365079297848482e-05;0.005335493788857566;False;False
todas;1480;168;0.9601272514636401;9.89220079927968e-05;0.005339185220874374;False;False
todas;1481;168;0.9603813577978826;0.0001047924798639772;0.00539693448614187;False;False
todas;1482;168;0.9606591817898193;0.00011163169331084236;0.005563517672147361;False;False
todas;1483;168;0.9609584936794433;0.00011952713182338415;0.005701166217901416;False;False
todas;1484;168;0.9612534921473158;0.00012788446639920966;0.005828689790772866;False;False
todas;1485;168;0.9615587522372315;0.00013718141948110217;0.005986363645866821;False;False
todas;1486;168;0.9618866853843342;0.000147964147557573;0.006193356462052699;False;False
todas;1487;168;0.9622219517908727;0.00015991232093185426;0.006430983730024179;False;False
todas;1488;168;0.9625503820777872;0.0001726026322919417;0.006679396204354197;False;False
todas;1489;168;0.9628771682040176;0.00018628299052655855;0.006968413552304115;False;False
todas;1490;168;0.9631992580472584;0.000200884801008207;0.007357405836925581;False;False
todas;1491;168;0.9635123339284241;0.00021623334062147393;0.007646458303700742;False;False
todas;1492;168;0.963831111448979;0.00023313194835334074;0.007969227101211698;False;False
todas;1493;168;0.9641582695343055;0.00025192314535393514;0.008034896794335946;False;False
todas;1494;168;0.9644859111584636;0.000272342189010803;0.0080544172831471;False;False
todas;1495;168;0.9648148826889432;0.00029459932114494044;0.008421619615407659;False;False
todas;1496;168;0.965161909748376;0.00032015920508757765;0.008755287061794957;False;False
todas;1497;168;0.965511820680981;0.00034829898501392197;0.009156216885998892;False;False
todas;1498;168;0.9658639500435051;0.0003792496435507293;0.00929609813958101;False;False
todas;1499;168;0.9662219478188094;0.00041368959036809443;0.00929609813958101;False;False
todas;1500;168;0.9666067462685727;0.0004543928091977858;0.00929609813958101;False;False
todas;1501;168;0.9670213204881154;0.0005029837145870543;0.00929609813958101;False;False
todas;1502;168;0.9674390879104543;0.0005574939401113917;0.00929609813958101;False;False
todas;1503;168;0.9678784333247386;0.0006215538182242355;0.009437623249467838;False;False
todas;1504;168;0.9683228426725198;0.0006942541231128755;0.00970742567458027;False;False
todas;1505;168;0.968761621165857;0.0007748267441997254;0.00970742567458027;False;False
todas;1506;168;0.9692061134299865;0.0008665067532651382;0.009898121565265119;False;False
todas;1507;168;0.9696672925884938;0.0009737362298340665;0.009985665036948352;False;False
todas;1508;168;0.9701327337496062;0.0010961466786924294;0.010265738986293026;False;False
todas;1509;168;0.9706056005160235;0.001237132976628323;0.010797275468360387;False;False
todas;1510;168;0.9711005983355478;0.0014052356753267814;0.011391851265198531;False;False
todas;1511;168;0.9715977543265346;0.0015983077545866308;0.012186353920658661;False;False
todas;1512;168;0.9720892202915364;0.0018166259798045059;0.013073332928347515;False;False
todas;1513;168;0.972609239810193;0.0020819202761996197;0.01397394190226183;False;False
todas;1514;168;0.9731357648974456;0.00239212960276588;0.014249740967878772;False;False
todas;1515;168;0.973633370304932;0.0027298941692836137;0.014939409594161412;False;False
todas;1516;168;0.9741246361077439;0.0031125309028889048;0.015736038353842133;False;False
