grupo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
todas;480;1924;0.9952022495985194;7.553977392676259e-06;1.232554306474066e-05;False;False
todas;481;1924;0.9951558787565052;6.759186822042812e-06;1.1081608450847168e-05;False;False
todas;482;1924;0.9951118848199348;6.085366191925107e-06;1.002496872260112e-05;False;False
todas;483;1924;0.9950848980842812;5.7069632995689526e-06;9.431895026120807e-06;False;False
todas;484;1924;0.9950667432353929;5.466239239279394e-06;9.085297147295005e-06;False;False
todas;485;1924;0.9950604048170434;5.384703343318205e-06;8.973658427136383e-06;False;False
todas;486;1924;0.9950605020999123;5.385945160314425e-06;8.973658427136383e-06;False;False
todas;487;1924;0.9950682349512193;5.485614347841722e-06;9.102746785941239e-06;False;False
todas;488;1924;0.9950841514034304;5.696848381292711e-06;9.422770991960768e-06;False;False
todas;489;1924;0.9951115269913134;6.080181609480406e-06;1.0024479486370028e-05;False;False
todas;490;1924;0.9951589013740684;6.8082426696979534e-06;1.1153119581110625e-05;False;False
todas;491;1924;0.9952148663910396;7.786632706728079e-06;1.2695058570349196e-05;False;False
todas;492;1924;0.9952784306042955;9.077506665502301e-06;1.4648281802474603e-05;False;False
todas;493;1924;0.995359723219856;1.1060271973185812e-05;1.7653399079380624e-05;False;False
todas;494;1924;0.9954623100415056;1.4223931502347032e-05;2.240651575369721e-05;False;False
todas;495;1924;0.9955906954915014;1.9557738761524746e-05;3.0296769033147472e-05;False;False
todas;496;1924;0.9957347677471081;2.8095771045532463e-05;4.277982658826064e-05;False;False
todas;497;1924;0.9958713719284996;3.9804709689395515e-05;5.954738116188928e-05;False;False
todas;498;1924;0.9959977173501867;5.517613702473172e-05;8.15906683761534e-05;False;False
todas;499;1924;0.9961256208456676;7.712621058612722e-05;0.000112347910448968;False;False
todas;500;1924;0.996271219728174;0.00011353559726875894;0.00016284021678197524;False;False
todas;501;1924;0.9964270049527754;0.00017284079383735154;0.00024364018430268592;False;False
todas;502;1924;0.996555812819415;0.0002459286006699937;0.000341502748797669;False;False
todas;503;1924;0.9966840061568023;0.00035099228699571523;0.0004821735972057682;False;False
todas;504;1924;0.996820202279227;0.0005148757337057032;0.0007016678603524234;False;False
todas;505;1924;0.9969461567384078;0.0007373797484908085;0.0009936700815733562;False;False
todas;506;1924;0.997055298672636;0.0010103939162010105;0.001349165313885594;False;False
todas;507;1924;0.997155937067157;0.0013550948848968937;0.0017930965218861477;False;False
