genotipo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
BR16;490;448;0.9829396348909009;4.023056860653163e-05;8.587641225486832e-05;False;False
BR16;491;448;0.9828953833828173;3.920337382833487e-05;8.428796839775412e-05;False;False
BR16;492;448;0.9828582397331181;3.8362345996305835e-05;8.299701649622708e-05;False;False
BR16;493;448;0.9828497775729645;3.8173392667573114e-05;8.267542593578929e-05;False;False
BR16;494;448;0.9828912824962679;3.9109579889080244e-05;8.425813902573906e-05;False;False
BR16;495;448;0.9829681900364603;4.0908314222945076e-05;8.703625775027007e-05;False;False
BR16;496;448;0.9830838420626777;4.3777752064870345e-05;9.180794425874139e-05;False;False
BR16;497;448;0.9832396705258217;4.798077301764684e-05;9.870467949768674e-05;False;False
BR16;498;448;0.9833911363063428;5.2471804632220336e-05;0.00010634354871609082;False;False
BR16;499;448;0.9835605481472105;5.8019870776491035e-05;0.00011542071286380515;False;False
BR16;500;448;0.9837383954693292;6.450839586376112e-05;0.00012685208045692622;False;False
BR16;501;448;0.9839012821227616;7.111773065819771e-05;0.00013825826121323557;False;False
BR16;502;448;0.9840907642365735;7.970633353508731e-05;0.00015306899820268172;False;False
BR16;503;448;0.9842890632100332;8.986420884922254e-05;0.00017081695305816072;False;False
BR16;504;448;0.9845194120297961;0.0001033848441688424;0.0001940002885547079;False;False
BR16;505;448;0.9848114996708406;0.00012365137557709158;0.00022786071096910586;False;False
BR16;506;448;0.9851519908036503;0.00015262347015380272;0.00027579800641889813;False;False
BR16;507;448;0.9855596507361705;0.00019689072795028303;0.00034752399571947543;False;False
BR16;508;448;0.9860185574580841;0.00026318104709407747;0.00044944573487922803;False;False
BR16;509;448;0.9864824800093817;0.0003542660056870749;0.0005883397389993446;False;False
BR16;510;448;0.9869708872007996;0.00048647605029040233;0.0007856396686185946;False;False
BR16;511;448;0.9874813918234099;0.0006808968071058025;0.0010587713050598945;False;False
BR16;512;448;0.988001417915134;0.0009638662920885318;0.0013680898028190858;False;False
BR16;513;448;0.9885124105685144;0.0013630413277752908;0.0018550748263219121;False;False
BR16;514;448;0.9890106229930794;0.0019201220677455648;0.0025228509679347554;False;False
BR16;515;448;0.9895411632653002;0.0027801871251017054;0.003434464560321395;False;False
BR16;516;448;0.9901925553537794;0.004411637714737474;0.005257564760561625;False;False
BR16;517;448;0.9907912576446475;0.006790395068546979;0.007904143181379032;False;False
BR16;518;448;0.9913114380000855;0.00992727300414929;0.011362074180530243;False;False
BR16;519;448;0.9917384702797473;0.013603360868818215;0.015329941286783605;False;False
BR16;520;448;0.9920279174336377;0.016867115857452045;0.01873007830191345;False;False
BR16;521;448;0.9922085808013755;0.01930096536950339;0.021262557236690245;False;False
BR16;522;448;0.9923293082010718;0.021124819490981668;0.023034026994153852;False;False
BR16;523;448;0.9922710150674006;0.020223175060030768;0.022121457092332323;False;False
BR16;524;448;0.9920228116244485;0.01680308717183984;0.018669085476404935;False;False
BR16;525;448;0.9916551197978557;0.01278931855482905;0.014452282289782029;False;False
BR16;526;448;0.9913417073260647;0.010150498696381214;0.011611083561783529;False;False
BR16;527;448;0.9910402681358471;0.008139596177655197;0.009405457746874572;False;False
BR16;528;448;0.9908192103495645;0.006929585953619509;0.008052453705877401;False;False
BR16;529;448;0.9905976946421702;0.0059025079033050015;0.006929618608860079;False;False
BR16;530;448;0.9903704941287524;0.005011549776561741;0.0059345777088499595;False;False
BR16;531;448;0.9902029347824599;0.004444499471527768;0.005290579463786102;False;False
BR16;532;448;0.990088419438254;0.004095541737278212;0.004895079314194413;False;False
BR16;533;448;0.9899889763258924;0.0038155697094634723;0.004581986139820436;False;False
BR16;534;448;0.9899063690686946;0.003598111533404154;0.004341015738242306;False;False
BR16;535;448;0.9898410700567379;0.00343533246222218;0.004154402641519865;False;False
BR16;536;448;0.9897594275291013;0.0032424971089009156;0.003930473741345022;False;False
BR16;537;448;0.9896787258124461;0.0030629021507202476;0.0037259859496602777;False;False
BR16;538;448;0.9896231264632669;0.0029452024270669296;0.0036128051303315027;False;False
BR16;539;448;0.9895722366663621;0.0028415870207020417;0.0035024609251561823;False;False
BR16;540;448;0.9895416756716642;0.0027811883700213516;0.003434464560321395;False;False
BR16;541;448;0.9895264770671398;0.0027516487484317296;0.0034100492948842764;False;False
BR16;542;448;0.9895137024329246;0.0027270723611969748;0.0033816356788482437;False;False
BR16;543;448;0.9895032753463666;0.0027071812991216336;0.0033630701662619444;False;False
BR16;544;448;0.9894759657680041;0.002655795532881498;0.0033052406783616213;False;False
BR16;545;448;0.98943903698553;0.0025879163411205853;0.003234501167360342;False;False
BR16;546;448;0.9894052219055373;0.002527340760874211;0.0031742657076258467;False;False
BR16;547;448;0.9893651474868235;0.002457454845136673;0.003105508248536855;False;False
BR16;548;448;0.9893235922125121;0.002387103846982659;0.0030447450187571106;False;False
BR16;549;448;0.9892897106338957;0.0023312939700896786;0.0029846965871747383;False;False
BR16;550;448;0.9892785144358629;0.002313151030089007;0.002967024867237369;False;False
BR16;551;448;0.9892889046332939;0.002329982955703987;0.0029846965871747383;False;False
BR16;552;448;0.9893261310979847;0.002391341435706644;0.0030463610463567245;False;False
BR16;553;448;0.9893371133033915;0.0024097617834943686;0.003060392946632712;False;False
BR16;554;448;0.989338903127908;0.0024127777828598426;0.0030622569508945157;False;False
BR16;555;448;0.9893497660142563;0.0024311669621515657;0.0030792974428840453;False;False
BR16;556;448;0.9893779528134153;0.002479565159005411;0.0031315197913301092;False;False
BR16;557;448;0.9893955247770737;0.002510242701592069;0.003160532707774913;False;False
BR16;558;448;0.9893901304239425;0.002500783392251002;0.0031505666300485173;False;False
BR16;559;448;0.9893585204108112;0.002446092739096766;0.0030949637309608063;False;False
BR16;560;448;0.9893348464381793;0.0024059475534513107;0.003059309478656225;False;False
BR16;561;448;0.9892920768384615;0.002335147192002255;0.0029877647478456794;False;False
BR16;562;448;0.9892333919067406;0.0022415063422851628;0.002889584857339327;False;False
BR16;563;448;0.9891789642793515;0.002158145215826103;0.0027959592272697805;False;False
BR16;564;448;0.9891351284348868;0.00209335205566544;0.0027277414651650685;False;False
