bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B2;CD202;NIRRIG;25/02;39.833333333333336;40.76590689571485;-0.9325735623815135
B3;CD202;NIRRIG;25/02;39.36666666666667;38.73184340328998;0.6348232633766884
B4;CD202;NIRRIG;25/02;38.833333333333336;38.54180211442391;0.29153121890942657
B1;BR16;IRRIG;26/02;42.699999999999996;40.72838937811565;1.971610621884345
B2;BR16;IRRIG;26/02;38.92;41.914165124705704;-2.9941651247057024
B3;BR16;IRRIG;26/02;45.699999999999996;42.188169886646776;3.51183011335322
B4;BR16;IRRIG;26/02;42.88333333333333;39.73743363265468;3.1458997006786547
B1;BR16;NIRRIG;26/02;44.36;42.44971430016009;1.9102856998399105
B2;BR16;NIRRIG;26/02;42.0;41.837467335152844;0.16253266484715567
B3;BR16;NIRRIG;26/02;39.26666666666667;39.18156749266447;0.08509917400220246
B4;BR16;NIRRIG;26/02;41.519999999999996;40.42003506265009;1.0999649373499025
B1;EMB48;IRRIG;26/02;40.43333333333334;38.59229580533973;1.8410375279936062
B2;EMB48;IRRIG;26/02;36.11666666666667;38.382347370131555;-2.265680703464888
B3;EMB48;IRRIG;26/02;37.333333333333336;38.08575413991214;-0.7524208065788045
B4;EMB48;IRRIG;26/02;38.1;38.04798425651255;0.05201574348745197
B1;EMB48;NIRRIG;26/02;39.833333333333336;36.50887325783033;3.324460075503005
B2;EMB48;NIRRIG;26/02;40.36666666666667;40.3272948257283;0.03937184093836521
B3;EMB48;NIRRIG;26/02;37.733333333333334;36.55804925078373;1.1752840825496023
B4;EMB48;NIRRIG;26/02;38.083333333333336;37.64825727197292;0.4350760613604123
B1;CD202;IRRIG;26/02;38.916666666666664;39.30102091782747;-0.3843542511608078
B2;CD202;IRRIG;26/02;38.86666666666667;39.609236333547436;-0.7425696668807689
B3;CD202;IRRIG;26/02;36.800000000000004;37.864963900931066;-1.0649639009310619
B4;CD202;IRRIG;26/02;38.36666666666667;41.0533526699582;-2.686686003291534
B1;CD202;NIRRIG;26/02;38.0;39.39102328075718;-1.3910232807571816
B2;CD202;NIRRIG;26/02;37.5;39.98360938855489;-2.483609388554889
B3;CD202;NIRRIG;26/02;38.239999999999995;38.61117006551884;-0.37117006551884657
B4;CD202;NIRRIG;26/02;38.879999999999995;39.27687722497279;-0.39687722497279765
B1;BR16;IRRIG;27/02;43.083333333333336;41.06511888113253;2.0182144522008088
B2;BR16;IRRIG;27/02;40.949999999999996;42.0616671691762;-1.1116671691762008
B3;BR16;IRRIG;27/02;44.6;41.83369320877362;2.766306791226384
B4;BR16;IRRIG;27/02;43.98;40.80432170097955;3.175678299020447
B1;BR16;NIRRIG;27/02;43.81666666666667;41.78849872131705;2.0281679453496224
B2;BR16;NIRRIG;27/02;42.84;42.728473129051885;0.11152687094811853
B3;BR16;NIRRIG;27/02;40.78333333333334;40.360897735425056;0.422435597908283
B4;BR16;NIRRIG;27/02;42.06666666666666;41.94877235109081;0.11789431557585317
B1;EMB48;IRRIG;27/02;40.92;40.12226051363484;0.7977394863651597
B2;EMB48;IRRIG;27/02;37.68333333333333;38.75948690864496;-1.0761535753116291
B3;EMB48;IRRIG;27/02;38.85;38.99928230766184;-0.14928230766183503
B4;EMB48;IRRIG;27/02;39.839999999999996;40.003919885794474;-0.1639198857944777
B1;EMB48;NIRRIG;27/02;40.01666666666667;39.483619505064716;0.5330471616019565
B2;EMB48;NIRRIG;27/02;40.7;41.49440224592758;-0.7944022459275786
B3;EMB48;NIRRIG;27/02;38.483333333333334;39.83586042367669;-1.352527090343358
B4;EMB48;NIRRIG;27/02;39.583333333333336;40.17777813937294;-0.5944448060396041
B1;CD202;IRRIG;27/02;38.68333333333333;41.78103988955307;-3.097706556219741
B2;CD202;IRRIG;27/02;40.86666666666667;39.77610278599463;1.0905638806720361
B3;CD202;IRRIG;27/02;36.800000000000004;38.5950147139114;-1.7950147139113923
B4;CD202;IRRIG;27/02;38.61666666666666;42.16859989132863;-3.5519332246619726
B1;CD202;NIRRIG;27/02;37.61666666666667;41.70834865757912;-4.0916819909124555
B2;CD202;NIRRIG;27/02;38.46666666666667;41.57781108086577;-3.111144414199103
B3;CD202;NIRRIG;27/02;38.5;40.853187842800004;-2.353187842800004
B4;CD202;NIRRIG;27/02;39.18333333333333;41.71456659171146;-2.53123325837813
B1;BR16;IRRIG;02/03;42.800000000000004;42.7704391728711;0.029560827128904066
B2;BR16;IRRIG;02/03;38.166666666666664;40.856419134681474;-2.6897524680148095
B3;BR16;IRRIG;02/03;43.400000000000006;41.80265734484164;1.5973426551583643
B4;BR16;IRRIG;02/03;41.7;40.70009075800677;0.9999092419932296
B1;BR16;NIRRIG;02/03;44.550000000000004;41.61989051611462;2.9301094838853814
B2;BR16;NIRRIG;02/03;45.21666666666667;44.52210547868471;0.6945611879819609
B3;BR16;NIRRIG;02/03;44.599999999999994;43.556208376590554;1.0437916234094402
B4;BR16;NIRRIG;02/03;46.76666666666667;43.08231744200731;3.684349224659364
B1;EMB48;IRRIG;02/03;40.11666666666667;39.92178195179021;0.19488471487645853
B2;EMB48;IRRIG;02/03;39.96;41.374123248007166;-1.414123248007165
B3;EMB48;IRRIG;02/03;38.99999999999999;40.98185162485573;-1.9818516248557358
B4;EMB48;IRRIG;02/03;37.03333333333333;41.153690327048224;-4.120356993714893
B1;EMB48;NIRRIG;02/03;39.72;39.317722120058754;0.402277879941245
B2;EMB48;NIRRIG;02/03;41.53333333333333;40.509849010733106;1.0234843226002255
B3;EMB48;NIRRIG;02/03;39.699999999999996;42.00279797915111;-2.3027979791511157
B4;EMB48;NIRRIG;02/03;41.55;40.03996494159337;1.510035058406629
B1;CD202;IRRIG;02/03;39.03333333333333;42.12228237702683;-3.0889490436934963
B2;CD202;IRRIG;02/03;37.54;40.2169913729652;-2.6769913729651975
B3;CD202;IRRIG;02/03;39.96666666666667;40.890164484543746;-0.9234978178770774
B4;CD202;IRRIG;02/03;40.71666666666667;43.18947552091701;-2.4728088542503386
B1;CD202;NIRRIG;02/03;39.36666666666667;38.086598270480295;1.2800683961863726
B2;CD202;NIRRIG;02/03;36.65;41.494696359999026;-4.844696359999027
B3;CD202;NIRRIG;02/03;38.616666666666674;40.14831141413503;-1.5316447474683557
B4;CD202;NIRRIG;02/03;39.71666666666667;41.83437465487001;-2.1177079882033425
B1;BR16;IRRIG;03/03;44.9;43.55205209008974;1.3479479099102605
B2;BR16;IRRIG;03/03;42.083333333333336;40.44387375744365;1.6394595758896884
B3;BR16;IRRIG;03/03;44.64;42.2128785122848;2.4271214877151976
B4;BR16;IRRIG;03/03;44.96;40.50135748384756;4.4586425161524375
B1;BR16;NIRRIG;03/03;46.58;42.15059185505426;4.429408144945739
B2;BR16;NIRRIG;03/03;46.86666666666667;43.26449397017471;3.602172696491955
B3;BR16;NIRRIG;03/03;43.580000000000005;42.30623266952847;1.2737673304715358
B4;BR16;NIRRIG;03/03;46.28;42.22566506242517;4.054334937574829
B1;EMB48;IRRIG;03/03;43.08;39.9817879929969;3.0982120070030987
B2;EMB48;IRRIG;03/03;41.050000000000004;40.53201763221123;0.5179823677887754
B3;EMB48;IRRIG;03/03;40.949999999999996;40.75504214232847;0.1949578576715254
B4;EMB48;IRRIG;03/03;40.9;40.7529037765991;0.14709622340090078
B1;EMB48;NIRRIG;03/03;42.059999999999995;39.71822934863964;2.3417706513603562
B2;EMB48;NIRRIG;03/03;43.23333333333334;39.69392070749747;3.5394126258358725
B3;EMB48;NIRRIG;03/03;40.13333333333333;40.91806916211123;-0.7847358287778974
B4;EMB48;NIRRIG;03/03;43.279999999999994;39.89349510083108;3.386504899168912
B1;CD202;IRRIG;03/03;41.666666666666664;42.34423508130507;-0.677568414638408
B2;CD202;IRRIG;03/03;38.050000000000004;39.40216061486248;-1.352160614862477
B3;CD202;IRRIG;03/03;39.06666666666667;42.55116479618829;-3.4844981295216186
B4;CD202;IRRIG;03/03;42.339999999999996;43.25459690061659;-0.9145969006165942
B1;CD202;NIRRIG;03/03;42.28;40.1599137415938;2.1200862584062037
B2;CD202;NIRRIG;03/03;37.35;39.3130757159805;-1.9630757159805015
B3;CD202;NIRRIG;03/03;38.78;40.02770999863358;-1.2477099986335816
B4;CD202;NIRRIG;03/03;38.94;39.8797111325367;-0.9397111325367007
