posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
112;1805;0.0;0.0;0.0
113;1775;0.0;0.0;0.0
114;1705;0.0;0.0;0.0
115;1525;0.0;0.0;0.0
116;1475;0.0;0.0;0.0
117;1465;0.0;0.0;0.0
118;1455;0.0;0.0;0.0
119;1435;0.0;0.0;0.0
120;1405;0.0;0.0;0.0
121;2154;0.0;0.0;0.0
122;1295;0.0;0.0;0.0
123;1285;0.0;0.0;0.0
124;2114;0.0;0.0;0.0
125;2294;0.0;0.0;0.0
126;2164;0.0;0.0;0.0
127;2174;0.0;0.0;0.0
128;2444;0.0;0.0;0.0
129;2424;0.0;0.0;0.0
130;2414;0.0;0.0;0.0
131;2404;0.0;0.0;0.0
132;2394;0.0;0.0;0.0
133;1265;0.0;0.0;0.0
134;2384;0.0;0.0;0.0
135;2374;0.0;0.0;0.0
136;2364;0.0;0.0;0.0
137;2354;0.0;0.0;0.0
138;2344;0.0;0.0;0.0
139;2334;0.0;0.0;0.0
140;2324;0.0;0.0;0.0
141;2314;0.0;0.0;0.0
142;2304;0.0;0.0;0.0
143;2284;0.0;0.0;0.0
144;2274;0.0;0.0;0.0
145;2264;0.0;0.0;0.0
146;2234;0.0;0.0;0.0
147;2224;0.0;0.0;0.0
148;2214;0.0;0.0;0.0
149;2194;0.0;0.0;0.0
150;2184;0.0;0.0;0.0
151;1275;0.0;0.0;0.0
152;585;0.0;0.0;0.0
153;1245;0.0;0.0;0.0
154;755;0.0;0.0;0.0
155;905;0.0;0.0;0.0
156;895;0.0;0.0;0.0
157;885;0.0;0.0;0.0
158;875;0.0;0.0;0.0
159;865;0.0;0.0;0.0
160;855;0.0;0.0;0.0
161;845;0.0;0.0;0.0
162;815;0.0;0.0;0.0
163;795;0.0;0.0;0.0
164;785;0.0;0.0;0.0
165;775;0.0;0.0;0.0
166;745;0.0;0.0;0.0
167;1235;0.0;0.0;0.0
168;695;0.0;0.0;0.0
169;685;0.0;0.0;0.0
170;675;0.0;0.0;0.0
171;665;0.0;0.0;0.0
172;645;0.0;0.0;0.0
173;615;0.0;0.0;0.0
