genotipo;dia;limiar_agrupamento_abs_rho;correlacao_maxima_aceita_top;posicao;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;grupo_spearman;vip_pls_da;significativa;vip_acima_de_1;abs_delta_cliff;rho_abs_max_outro_top;distancia_min_outro_top_nm
BR16;D05;0.95;0.95;5;1632;8.45137823729546e-10;1.18481044187922e-09;0.5911784661910671;0.892578125;132;1.1636980780547366;True;True;0.892578125;0.9399267399267397;40.0
BR16;D06;0.8;0.8;1;1919;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;1.0;153;1.2793529293405717;True;True;1.0;0.7203296703296702;268.0
BR16;D06;0.8;0.8;2;1651;1.520087063501115e-09;1.6916432811941327e-09;0.5727163461538463;0.87890625;126;1.2494844800152234;True;True;0.87890625;0.7829670329670333;81.0
BR16;D06;0.8;0.8;3;1570;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;1.0;118;1.0836169478675208;True;True;1.0;0.795787545787546;81.0
BR16;D06;0.8;0.8;4;1347;1.2865021608031123e-09;1.4348101858657874e-09;0.5779621588089331;-0.8828125;95;0.8937552596022256;True;False;0.8828125;0.795787545787546;223.0
BR16;D06;0.8;0.8;5;705;1.3589074305877969e-05;1.3852480815783156e-05;0.28912841191067;-0.6328125;31;0.7476387233929837;True;False;0.6328125;0.5732600732600732;642.0
BR16;D06;0.9;0.9;1;1927;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;1.0;157;1.2947152947954577;True;True;1.0;0.8974358974358981;276.0
BR16;D06;0.9;0.9;2;1651;1.520087063501115e-09;1.6916432811941327e-09;0.5727163461538463;0.87890625;129;1.2581401245085455;True;True;0.87890625;0.8858058608058612;50.0
BR16;D06;0.9;0.9;3;405;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;-1.0;0;1.1843128133622682;True;True;1.0;0.8974358974358981;345.0
BR16;D06;0.9;0.9;4;1601;7.496890411186199e-12;1.3086061475185444e-11;0.7402101426799007;0.99609375;124;1.1489982259043867;True;True;0.99609375;0.8858058608058612;50.0
BR16;D06;0.9;0.9;5;750;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;-1.0;37;1.0567829422708614;True;True;1.0;0.8541666666666667;345.0
BR16;D06;0.95;0.95;1;1926;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;1.0;161;1.3049732239460525;True;True;1.0;0.8964743589743597;275.0
BR16;D06;0.95;0.95;2;1651;1.520087063501115e-09;1.6916432811941327e-09;0.5727163461538463;0.87890625;133;1.270427311847276;True;True;0.87890625;0.9454670329670336;31.0
BR16;D06;0.95;0.95;3;1620;1.4396425455681949e-11;2.011380695477089e-11;0.7195903768610422;0.982421875;130;1.2161077790039578;True;True;0.982421875;0.9454670329670336;31.0
BR16;D06;0.95;0.95;4;405;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;-1.0;0;1.1922869812710373;True;True;1.0;0.8964743589743597;1175.0
BR16;D06;0.95;0.95;5;1580;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;1.0;126;1.1106266885011213;True;True;1.0;0.9445512820512824;40.0
BR16;D09;0.8;0.8;1;1934;1.1529554898372289e-08;1.7647102310866837e-07;0.5091065058933003;0.830078125;153;1.6297939672916175;True;True;0.830078125;0.7875915750915751;105.0
BR16;D09;0.8;0.8;2;739;1.0213278480687963e-06;6.505414336612116e-06;0.3691532258064516;-0.7109375;33;1.3776601332233755;True;True;0.7109375;0.7092948717948716;609.0
BR16;D09;0.8;0.8;3;2039;1.054034701684782e-07;9.69428328769277e-07;0.4398728287841191;0.7734375;164;0.9357582318119049;True;False;0.7734375;0.7875915750915751;105.0
BR16;D09;0.8;0.8;4;1348;0.0003370135191116;0.0010179892896878;0.1911707118486352;-0.521484375;95;0.9203019684607463;True;False;0.521484375;0.5641483516483514;586.0
BR16;D09;0.9;0.9;1;1931;2.1543869097921124e-08;2.832466379476681e-07;0.48951903691067;0.814453125;155;1.6396453275306673;True;True;0.814453125;0.8872252747252746;57.0
BR16;D09;0.9;0.9;2;733;2.968821110522727e-05;0.000120099646897;0.2651238756203474;-0.607421875;33;1.3653251618040403;True;True;0.607421875;0.8919413919413927;10.0
BR16;D09;0.9;0.9;3;1988;6.554203169988431e-10;5.937376722162505e-08;0.5991780397022334;0.8984375;161;1.3111906336835444;True;True;0.8984375;0.8989468864468866;57.0
BR16;D09;0.9;0.9;4;743;2.709622176407572e-07;2.129285472724877e-06;0.4104247441066998;-0.748046875;34;1.3066495660060065;True;True;0.748046875;0.8919413919413927;10.0
BR16;D09;0.9;0.9;5;552;3.615066672874847e-06;1.9409690434728565e-05;0.329981195719603;-0.673828125;15;0.9973736981765163;True;False;0.673828125;0.8989468864468866;181.0
BR16;D09;0.95;0.95;1;1935;8.398993224157852e-09;1.4850288881679097e-07;0.5190398185483871;0.837890625;160;1.6333642552554428;True;True;0.837890625;0.9269688644688644;39.0
BR16;D09;0.95;0.95;2;1974;1.7948189018726243e-09;5.937376722162505e-08;0.5674937965260546;0.875;164;1.400792421825243;True;True;0.875;0.9269688644688644;39.0
BR16;D09;0.95;0.95;3;736;2.7849192277653398e-06;1.543748469228841e-05;0.338053466191067;-0.681640625;35;1.3718453069186878;True;True;0.681640625;0.9362179487179494;10.0
BR16;D09;0.95;0.95;4;746;3.601629295138164e-07;2.666765951021073e-06;0.4015615307071961;-0.740234375;37;1.2098681558549567;True;True;0.740234375;0.9362179487179494;10.0
BR16;D09;0.95;0.95;5;709;0.0007153100391853;0.0019003897543641;0.1685328784119107;-0.4921875;33;1.140877030762892;True;True;0.4921875;0.9159340659340663;27.0
BR16;D10;0.8;0.8;1;1927;0.0013315590671429;0.0070303511217958;0.1499718905086849;0.466796875;152;1.484484677165864;True;True;0.466796875;0.6885531135531132;31.0
BR16;D10;0.8;0.8;2;1387;0.0001447635129671;0.0057568326799681;0.2167600418734491;-0.552734375;98;1.4551512877717694;True;True;0.552734375;0.7142857142857141;27.0
BR16;D10;0.8;0.8;3;2243;0.0016782439451431;0.0074990813322193;0.1430947580645161;-0.45703125;184;1.3721871517488076;True;True;0.45703125;0.5451923076923078;285.0
BR16;D10;0.8;0.8;4;1958;0.0035718166674686;0.0118540388106442;0.120800054280397;0.423828125;156;1.2777806817287574;True;True;0.423828125;0.6885531135531132;31.0
BR16;D10;0.8;0.8;5;1360;0.0099370102292331;0.0211638712151164;0.0910669975186104;-0.375;96;1.0263752625178415;True;True;0.375;0.7142857142857141;27.0
BR16;D10;0.9;0.9;1;1931;0.0009115030057515;0.0067429513718762;0.1612777217741935;0.482421875;155;1.4887831895364014;True;True;0.482421875;0.8660256410256411;20.0
BR16;D10;0.9;0.9;2;1393;4.216549447865922e-05;0.0057568326799681;0.2543763570099256;-0.595703125;101;1.4580300581397547;True;True;0.595703125;0.5699175824175824;518.0
BR16;D10;0.9;0.9;3;1911;0.0046094712250839;0.0140894567550629;0.1133326225186104;0.412109375;153;1.3936621116121266;True;True;0.412109375;0.8660256410256411;20.0
BR16;D10;0.9;0.9;4;2245;0.0016782439451431;0.0074990813322193;0.1430947580645161;-0.45703125;187;1.3772238341161136;True;True;0.45703125;0.5699175824175824;293.0
BR16;D10;0.9;0.9;5;1952;0.0002739553352513;0.0057568326799681;0.197428466191067;0.529296875;158;1.3642416500279957;True;True;0.529296875;0.8167124542124543;21.0
BR16;D10;0.95;0.95;1;1928;0.0012706965471169;0.0070247941189674;0.1513647642679901;0.46875;161;1.5003155922711886;True;True;0.46875;0.919184981684982;15.0
