posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
30;1480;0.0;0.0;0.008823529411764706;9.789954437531725e-08;4.0400797890095697e-07;0.4421787763647643;0.775390625;True;0.775390625
31;767;0.0;0.0;0.008820276497695853;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;-0.75;True;0.75
32;877;0.0;0.0;0.008820276497695853;3.355175078324666e-07;7.251279331553098e-07;0.4037686104218362;-0.7421875;True;0.7421875
33;1470;0.0;0.0;0.00878925881202921;1.1346271195482785e-07;4.382523958933181e-07;0.4375726969602978;0.771484375;True;0.771484375
34;675;0.0;0.0;0.008784425451092117;3.41788294665876e-08;1.761326111456562e-07;0.4750726969602978;-0.802734375;True;0.802734375
35;465;0.0;0.0;0.008285714285714287;1.1529554898372289e-08;7.961992288404568e-08;0.5091065058933003;-0.830078125;True;0.830078125
36;1560;0.0;0.0;0.008279569892473117;1.4138133590253876e-07;4.722689249773729e-07;0.4307071960297767;0.765625;True;0.765625
37;1357;0.0;0.0;0.008187393742949299;3.463959229986913e-09;2.9357770168194872e-08;0.5468362282878412;-0.859375;True;0.859375
38;1720;0.0;0.0;0.008134680134680135;0.5912081034113328;0.6087187851890781;0.0;-0.078125;False;0.078125
39;737;0.0;0.0;0.007800394033211371;7.161053390854917e-09;5.459970447822839e-08;0.5240413694168735;-0.841796875;True;0.841796875
40;475;0.0;0.0;0.007785467128027682;2.327660767544184e-08;1.2972913679981308e-07;0.4870967741935484;-0.8125;True;0.8125
41;887;0.0;0.0;0.007768090671316477;3.355175078324666e-07;7.251279331553098e-07;0.4037686104218362;-0.7421875;True;0.7421875
42;2046;0.0;0.0;0.007768090671316477;3.757708175153691e-09;3.1716294103869214e-08;0.5442802031637718;0.857421875;True;0.857421875
43;2426;0.0;0.0;0.007687443541102077;1.7948189018726243e-09;1.6809011724843623e-08;0.5674937965260546;0.875;True;0.875
44;1500;0.0;0.0;0.007212543554006968;1.635704831930318e-07;5.114071052269943e-07;0.4261592741935484;0.76171875;True;0.76171875
45;1400;0.0;0.0;0.0068293188293188315;2.285823180339581e-06;3.2310291818583603e-06;0.3441687344913152;0.6875;True;0.6875
46;1580;0.0;0.0;0.005636363636363637;1.4138133590253876e-07;4.722689249773729e-07;0.4307071960297767;0.765625;True;0.765625
47;1390;0.0;0.0;0.00446685340802988;3.148956441844384e-05;4.09025311097076e-05;0.2633180831265508;0.60546875;True;0.60546875
48;977;0.0;0.0;0.00398790078644888;1.8732392436990356e-06;2.7037394010040265e-06;0.3503363446029777;-0.693359375;True;0.693359375
49;2156;0.0;0.0;0.003974196080044684;8.828152186066631e-05;0.0001120454216189;0.2318083126550868;0.5703125;True;0.5703125
50;907;0.0;0.0;0.003157894736842105;4.773932691857704e-07;9.333971354623596e-07;0.3927913694168735;-0.732421875;True;0.732421875
51;1770;0.0;0.0;0.002787456445993032;1.841730119528616e-05;2.4229560456402768e-05;0.2797795828163772;0.623046875;True;0.623046875
52;1710;0.0;0.0;0.002702702702702703;0.4934796978852013;0.514030909275037;0.0;-0.099609375;False;0.099609375
53;897;0.0;0.0;0.002425251076040172;4.450365197390077e-07;8.939959862729724e-07;0.3949751861042184;-0.734375;True;0.734375
54;1217;0.0;0.0;0.0023125564588979226;1.7523697387050305e-06;2.561732240972215e-06;0.3524038461538462;-0.6953125;True;0.6953125
55;807;0.0;0.0;0.002231909328683523;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;-0.75;True;0.75
56;2166;0.0;0.0;0.002231909328683522;0.0002341133989498;0.0002908337863392;0.2021828473945409;0.53515625;True;0.53515625
57;967;0.0;0.0;0.0022222222222222222;1.4330783539290956e-06;2.139187557429822e-06;0.3586412453473945;-0.701171875;True;0.701171875
58;1381;0.0;0.0;0.0022164502164502163;0.0484054419272504;0.0525566762269935;0.0467073123449131;0.287109375;False;0.287109375
59;1057;0.0;0.0;0.002214532871972318;6.763059446472279e-07;1.1715401118846828e-06;0.3819595223325062;-0.72265625;True;0.72265625
60;635;0.0;0.0;0.0017422867513611623;6.763059446472279e-07;1.1715401118846828e-06;0.3819595223325062;-0.72265625;True;0.72265625
61;1147;0.0;0.0;0.0017422867513611623;3.355175078324666e-07;7.251279331553098e-07;0.4037686104218362;-0.7421875;True;0.7421875
62;2246;0.0;0.0;0.00172972972972973;0.0034211734819443;0.0038343315909659;0.1220649813895781;0.42578125;True;0.42578125
63;1087;0.0;0.0;0.001720430107526882;5.49047958631088e-07;1.020015727493081e-06;0.3884411833126551;-0.728515625;True;0.728515625
64;1846;0.0;0.0;0.001720430107526882;0.0499532058382993;0.0542084789282285;0.0458553039702233;0.28515625;False;0.28515625
65;867;0.0;0.0;0.0017142857142857142;3.125039718441435e-07;6.884485996265716e-07;0.4059815058933002;-0.744140625;True;0.744140625
66;837;0.0;0.0;0.0017112299465240643;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;-0.75;True;0.75
